indicators,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_harmonized,ids
Climatic impact index,GBF,1,Direct Drivers,Climate Change,NA,NA,climatic impact index,GBF_CY_GB_185
Ocean acidification,GBF,NA,Direct Drivers,Pollution,NA,NA,ocean acidification,GBF_CY_GB_186
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,"GBF,SDG",1,Ecosystems,Change In Ecosystems,Biodiversity,NA,level of water stress (freshwater withdrawal as a proportion of available freshwater resources),"GBF_CY_GB_187,SDG_6_4_2_98"
Eflow index,GBF,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,eflow index,GBF_CY_GB_189
Change in the quality of inland water ecosystems over time,GBF,NA,Ecosystems,State Of Ecosystems,NA,Change In Ecosystems,change in the quality of inland water ecosystems over time,GBF_CY_GB_190
Change in the quality of coastal water ecosystems over time,GBF,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,Change In Ecosystems,change in the quality of coastal water ecosystems over time,GBF_CY_GB_191
Level of erosion,GBF,NA,Ecosystems,State Of Ecosystems,Direct Drivers,Natural Drivers,level of erosion,GBF_CY_GB_192
Biofuel production,GBF,NA,Ecosystem Services,Nature Contribution,NA,NA,biofuel production,GBF_CY_GB_195
Maximum fish catch potential,GBF,1,Ecosystem Services,Nature Contribution,NA,NA,fish catch potential,GBF_CY_GB_196
Population involved in hunting and gathering,GBF,NA,Human Assets,Coverage Of Basic Needs,Ecosystem Services,Nature Contribution,population involved in hunting and gathering,GBF_CY_GB_197
"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",GBF,1,Human Assets,Coverage Of Basic Needs,Human Well-Being,Healthy Living Conditions,"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_CY_GB_198
"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",SDG,1,Human Assets,Coverage Of Basic Needs,Human Well-Being,Healthy Living Conditions,"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",SDG_2_1_2_16
Forestry Production & Trade (Wood Fuel),GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,forestry production and trade (wood fuel),GBF_CY_GB_199
Trends in the legal trade of medicinal plants,GBF,NA,Human Assets,Income,Ecosystem Services,Nature Contribution,trends in the legal trade of medicinal plants,GBF_CY_GB_200
Visitor management assessment,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,visitor management assessment,GBF_CY_GB_201
Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,GBF,NA,Human Well-Being,Cultural Diversity,Knowledge Systems,Information On Society And Socio-Economics,number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,GBF_CY_GB_202
"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves",GBF,NA,Human Well-Being,Cultural Diversity,Knowledge Systems,Ilk,"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",GBF_CY_GB_203
Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,GBF,1,Human Well-Being,Cultural Diversity,NA,NA,linguistic diversity index,"GBF_CY_GB_204,GBF_CY_GB_205"
"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF,NA,Governance,Legislation/Governance,Human Well-Being,Cultural Diversity,"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF_CY_GB_206
Cultural vitality index,GBF,NA,Human Well-Being,Cultural Diversity,NA,NA,cultural vitality index,GBF_CY_GB_207
UNESCO Culture 2030 (multiple indicators),GBF,NA,Governance,National/International Cooperation,NA,NA,unesco culture 2030 (multiple indicators),GBF_CY_GB_208
Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports,GBF,NA,Human Well-Being,Healthy Living Conditions,Governance,Legislation/Governance,processes and tools to monitor the implementation of a right to a healthy environment,GBF_CY_GB_209
Red List Index (for internationally traded species),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,red list index (internationally traded species),GBF_CY_GB_210
Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF,NA,Biodiversity,Genetic Resources,NA,NA,number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_CY_GC_211
Total number of internationally recognized certificates published in the ABS Clearing-House,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF_CY_GC_212
Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF_CY_T13_327
Number of checkpoint communiques published in the ABS Clearing-House,GBF,NA,Governance,Legislation/Governance,NA,NA,number of checkpoint communiques published in the abs clearing-house,GBF_CY_GC_213
Number of internationally recognized certificates of compliance for non-commercial purposes,GBF,NA,Governance,National/International Cooperation,NA,NA,number of internationally recognized certificates of compliance for non-commercial purposes,GBF_CY_GC_214
"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting.",GBF,1,Governance,Nature-Based Funding,NA,NA,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",GBF_CY_GC_215
"(a) Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting",SDG,1,Governance,Nature-Based Funding,NA,NA,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting","SDG_15_9_1_b_223,SDG_15_9_1_a_222"
Finance mobilized for capacity-building,GBF,NA,Governance,Legislation/Governance,NA,NA,finance mobilized for capacity-building,GBF_CY_GD_216
"Financial and technical assistance provided in dollars (including through South-South, NorthSouth and triangular cooperation)",GBF,NA,Governance,Legislation/Governance,NA,NA,"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",GBF_CY_GD_217
"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF,NA,Governance,Legislation/Governance,NA,NA,"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF_CY_GD_218
Number of scientists per population,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,number of scientists per population,GBF_CY_GD_219
Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA,joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,GBF_CY_GD_220
Nationally maintained research vessels,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,nationally maintained research vessels,GBF_CY_GD_221
Proportion of total research budget allocated to research in the field of marine technology,"GBF,SDG",1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,proportion of total research budget allocated to research in the field of marine technology,"GBF_CY_GD_222,GBF_CY_T19_367,SDG_14_a_1_209"
Volume of official development assistance flows for scholarships by sector and type of study,"GBF,SDG",NA,Human Assets,Coverage Of Basic Needs,NA,NA,volume of official development assistance flows for scholarships by sector and type of study,"GBF_CY_GD_223,SDG_4_b_1_74"
Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,GBF,NA,Human Assets,Information On Society And Socio-Economics,NA,NA,global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,GBF_CY_GD_224
"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies","GBF,SDG",1,Governance,Nature-Based Funding,NA,NA,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies","GBF_CY_GD_225,SDG_17_7_1_265"
"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF,1,Governance,Nature-Based Funding,NA,NA,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_CY_T19_368
Number of countries using natural capital accounts in planning processes,GBF,NA,Governance,Nature-Based Funding,NA,NA,number of countries using natural capital accounts in planning processes,GBF_CY_T1_226
Percentage of spatial plans utilizing information on key biodiversity areas,GBF,NA,Governance,Nature-Based Legislation,NA,NA,percentage of spatial plans utilizing information on key biodiversity areas,GBF_CY_T1_227
Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),GBF,NA,Ecosystems,State Of Ecosystems (Marine),NA,NA,habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF_CY_T1_228
Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1),GBF,NA,Governance,Nature-Based Legislation,NA,NA,other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),GBF_CY_T1_229
Number of countries using ocean accounts in planning processes,GBF,NA,Governance,Nature-Based Funding,NA,NA,number of countries using ocean accounts in planning processes,GBF_CY_T1_230
Proportion of transboundary basin area with an operational arrangement for water cooperation,"GBF,SDG",1,Ecosystem Services,Nature Contribution,NA,NA,proportion of transboundary basin area with an operational arrangement for water cooperation,"GBF_CY_T1_231,SDG_6_5_2_100"
Percent of total land area that is under cultivation,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,percent of total land area that is under cultivation,GBF_CY_T1_232
"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation.",GBF,NA,Knowledge Systems,Specific Information On Ilk And Iplc,NA,NA,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",GBF_CY_T1_234
Habitat distributional range,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,habitat distributional range,GBF_CY_T2_236
"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas",GBF,NA,Ecosystems,State Of Ecosystems,Biodiversity,Species Conservation,"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",GBF_CY_T2_237
Increase in secondary natural forest cover,GBF,NA,Ecosystems,Change In Ecosystems,NA,NA,increase in secondary natural forest cover,GBF_CY_T2_238
Annual Tropical Primary Tree Cover Loss,GBF,NA,Ecosystems,Change In Ecosystems,NA,NA,annual tropical primary tree cover loss,GBF_CY_T2_239
Global Ecosystem Restoration Index,GBF,1,Ecosystems,Area Conservation,NA,NA,global ecosystem restoration index,GBF_CY_T2_241
Percentage of cropped landscapes with at least 10 % natural land,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,percentage of cropped landscapes with at least 10 % natural land,GBF_CY_T2_243
Status of Key Biodiversity Areas,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,status of key biodiversity areas,GBF_CY_T2_246
Status of key biodiversity areas,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,status of key biodiversity areas,GBF_CY_T3_253
"Protected area downgrading, downsizing and degazettement (PD)",GBF,NA,Ecosystems,Change In Ecosystems,NA,NA,"protected area downgrading, downsizing and degazettement (pd)",GBF_CY_T3_252
IUCN Green List of Protected and Conserved Areas,GBF,NA,Ecosystems,Area Conservation,NA,NA,iucn green list of protected and conserved areas,GBF_CY_T3_254
Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),GBF,NA,Ecosystems,Area Conservation,NA,NA,number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),GBF_CY_T3_255
Protected area and OECM management effectiveness (MEPCA) indicator,GBF,NA,Ecosystems,Area Conservation,Governance,Nature-Based Legislation,protected area and oecm management effectiveness (mepca) indicator,GBF_CY_T3_256
Protected Area Isolation Index (PAI),GBF,NA,Ecosystems,State Of Ecosystems (Coverage),NA,NA,protected area isolation index (pai),GBF_CY_T3_257
Protected Areas Network metric (ProNet),GBF,NA,Ecosystems,Area Conservation,NA,NA,protected areas network metric (pronet),GBF_CY_T3_258
Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,GBF,NA,Ecosystems,State Of Ecosystems,Biodiversity,State Of Biodiversity,extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,GBF_CY_T3_259
Coverage of Protected areas and OECMS and traditional territories (by governance type),GBF,NA,Ecosystems,Area Conservation,NA,NA,coverage of protected areas and oecms and traditional territories (by governance type),GBF_CY_T3_260
Ramsar Management Effectiveness Tracking Tool (R-METT),GBF,NA,Ecosystems,Area Conservation,NA,Species Conservation,ramsar management effectiveness tracking tool (r-mett),GBF_CY_T3_261
Percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF,NA,Governance,Nature-Based Legislation,Ecosystems,Area Conservation,percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_CY_T3_262
Extent of indigenous peoples and local communities lands that have some form of recognition,GBF,NA,Knowledge Systems,Ilk,Human Well-Being,Equity,extent of indigenous peoples and local communities lands that have some form of recognition,GBF_CY_T3_263
"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation",GBF,NA,Governance,Nature-Based Legislation,NA,NA,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",GBF_CY_T3_265
"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF,NA,Ecosystems,Area Conservation,NA,NA,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures","GBF_CY_T3_267,GBF_CY_T5_284"
Species threat abatement and restoration metric,GBF,NA,Biodiversity,Species Conservation,NA,NA,species threat abatement and restoration metric,"GBF_CY_T4_268,GBF_CY_T15_335"
Changing status of evolutionary distinct and globally endangered species (EDGE Index),GBF,NA,Biodiversity,State Of Biodiversity,NA,Change In Biodiversity,changing status of evolutionary distinct and globally endangered species (edge index),GBF_CY_T4_269
Number of CMS daughter agreements,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of cms daughter agreements,GBF_CY_T4_271
Sustainable watershed and inland fisheries index,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,sustainable watershed and inland fisheries index,GBF_CY_T5_275
Red List Index (for internationally traded species and for migratory species),GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,red list index (internationally traded species and migratory species),GBF_CY_T5_276
Marine Stewardship Council Fish catch,GBF,1,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,marine stewardship council certified catch,GBF_CY_T5_277
Total catch of cetaceans under International Convention for the Regulation of Whaling,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,total catch of cetaceans under international convention for the regulation of whaling,GBF_CY_T5_278
By catch of vulnerable and non-target species,GBF,NA,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,by catch of vulnerable and non-target species,GBF_CY_T5_279
"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","GBF,SDG",1,Governance,Nature-Based Legislation,Governance,National/International Cooperation,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","GBF_CY_T5_280,GBF_CY_T9_309,SDG_14_6_1_207"
Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,GBF,NA,Ecosystem Services,Specific Monetary Valuation Of Nature Contribution,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,proportion of legal and illegal wildlife trade consisting of species threatened with extinction,GBF_CY_T5_281
Illegal trade by CITES species classification,GBF,NA,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,illegal trade by cites species classification,GBF_CY_T5_282
Number of countries incorporating trade in their national biodiversity policy,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of countries incorporating trade in their national biodiversity policy,GBF_CY_T5_283
Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF,NA,Governance,Nature-Based Legislation,NA,NA,implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_CY_T5_285
Number of MSC Chain of Custody Certification holders by distribution country,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,number of msc chain of custody certification holders by distribution country,"GBF_CY_T5_286,GBF_CY_T9_310"
Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),GBF_CY_T5_287
Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,GBF,NA,Direct Drivers,Invasive Alien Species,NA,NA,number of invasive alien species in national lists as per the global register of introduced and invasive species,GBF_CY_T6_288
"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF,NA,Biodiversity,State Of Biodiversity,Direct Drivers,Invasive Alien Species,"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF_CY_T6_289
Red List Index (impacts of invasive alien species),GBF,1,Biodiversity,State Of Biodiversity,Direct Drivers,Invasive Alien Species,red list index (impacts of invasive alien species),GBF_CY_T6_290
Trends in Loss of Reactive Nitrogen to the Environment.,GBF,NA,Direct Drivers,Pollution,NA,NA,trends in loss of reactive nitrogen to the environment,GBF_CY_T7_291
Trends in Nitrogen Deposition,GBF,1,Direct Drivers,Pollution,NA,NA,trends in nitrogen deposition,GBF_CY_T7_292
Municipal solid waste collected and managed,GBF,NA,Governance,Legislation/Governance,NA,NA,municipal solid waste collected and managed,GBF_CY_T7_293
Hazardous waste generation,GBF,NA,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,hazardous waste generation,GBF_CY_T7_294
Trends in the amount of litter in the water column including microplastics and on the seafloor,GBF,NA,Direct Drivers,Pollution,NA,NA,trends in the amount of litter in the water column including microplastics and on the seafloor,GBF_CY_T7_295
Underwater noise pollution,GBF,NA,Direct Drivers,Pollution,NA,NA,underwater noise pollution,GBF_CY_T7_299
"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF,NA,Direct Drivers,Pollution,NA,NA,"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF_CY_T7_300
Pesticide use per area of cropland,GBF,NA,Direct Drivers,Pollution,NA,NA,pesticide use per area of cropland,GBF_CY_T7_301
Above-ground biomass stock in forest (tonnes/ha),GBF,NA,Ecosystems,State Of Ecosystems (Coverage),NA,NA,above-ground biomass stock in forest,GBF_CY_T8_302
Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,"GBF,SDG",1,Governance,Legislation/Governance,NA,NA,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,"GBF_CY_T8_304,SDG_1_5_4_11,SDG_11_b_2_170,SDG_13_1_3_192"
"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",GBF,1,Governance,Nature-Based Legislation,NA,NA,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",GBF_CY_T8_305
"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the United Nations Framework Convention on Climate Change",SDG,1,Governance,Nature-Based Legislation,NA,NA,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",SDG_13_b_1_200
"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover",GBF,NA,Direct Drivers,Climate Change,NA,NA,"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF_CY_T8_307
Spawning stock biomass (related to commercially exploited species),GBF,NA,Ecosystem Services,Nature Contribution,Biodiversity,State Of Biodiversity,spawning stock biomass (related to commercially exploited species),GBF_CY_T9_311
Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size,GBF,1,Human Assets,State Of Economy,NA,NA,volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,GBF_CY_T9_313
Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,SDG,1,Human Assets,State Of Economy,NA,NA,volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,SDG_2_3_1_20
Agrobiodiversity Index,GBF,NA,Ecosystem Services,Nature Contribution,Biodiversity,State Of Biodiversity,agrobiodiversity index,GBF_CY_T10_314
Changes in soil organic carbon stocks,GBF,NA,Ecosystems,Abiotic Conditions,Ecosystem Services,Nature Contribution,soil organic carbon (soc) stocks,GBF_CY_T10_315
"Trends in carbon stocks (above and below ground), which is currently represented by soil organic carbon (SOC) stocks",UNCCD,NA,Ecosystems,Abiotic Conditions,Ecosystem Services,Nature Contribution,soil organic carbon (soc) stocks,UNCCD_1_3_4
Proportion of land that is degraded over total land area,"GBF,SDG,UNCCD",1,Direct Drivers,Land Conversion,NA,NA,proportion of land that is degraded over total land area,"GBF_CY_T10_319,SDG_15_3_1_215,UNCCD_1_1"
Air emission accounts,GBF,NA,Direct Drivers,Climate Change,NA,NA,air emission accounts,GBF_CY_T11_320
Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,"GBF,SDG",1,Governance,Legislation/Governance,NA,NA,proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,"GBF_CY_T11_321,SDG_6_b_1_103"
Proportion of population using safely managed drinking water services,"GBF,SDG",1,Human Assets,Coverage Of Basic Needs,NA,Information On Society And Socio-Economics,proportion of population using safely managed drinking water services,"GBF_CY_T11_322,SDG_6_1_1_92"
Mortality rate attributed to household and ambient air pollution,"GBF,SDG",NA,Human Well-Being,Healthy Living Conditions,Direct Drivers,Pollution,mortality rate attributed to household and ambient air pollution,"GBF_CY_T11_323,SDG_3_9_1_48"
Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,GBF,NA,Knowledge Systems,Information On Biodiversity,Biodiversity,Genetic Resources,total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,GBF_CY_T13_325
"Total number of permits, or their equivalent, granted for access to genetic resources",GBF,NA,Governance,Nature-Based Legislation,Biodiversity,Genetic Resources,"total number of permits, or their equivalent, granted for access to genetic resources",GBF_CY_T13_326
"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House",GBF,NA,Governance,Nature-Based Legislation,NA,NA,"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",GBF_CY_T13_328
Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,GBF_CY_T13_329
"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits","GBF,SDG",1,Human Well-Being,Equity,NA,NA,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits","GBF_CY_T13_330,SDG_15_6_1_219"
Estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity,GBF,NA,Governance,Nature-Based Funding,Biodiversity,Species Conservation,estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,GBF_CY_T13_331
Human Appropriation of Net Primary Production (HANPP),GBF,1,Ecosystems,State Of Ecosystems (Coverage),Direct Drivers,Land Conversion,human appropriation of net primary productivity,GBF_CY_T14_332
CO2 emission per unit of value added,"GBF,SDG",1,Direct Drivers,Climate Change,NA,NA,co2 emission per unit of value added,"GBF_CY_T14_333,SDG_9_4_1_133"
Change in water-use efficiency over time,"GBF,SDG",1,Human Assets,Infrastructure (Build-Up Area),NA,NA,change in water-use efficiency over time,"GBF_CY_T14_334,SDG_6_4_1_97"
Number of companies publishing sustainability reports,"GBF,SDG",1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,number of companies publishing sustainability reports,"GBF_CY_T15_336,SDG_12_6_1_181"
Recycling rate,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,recycling rate,GBF_CY_T16_341
Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,life cycle impact assessment (lcia),GBF_CY_T16_342
Levels of poverty in developing communities,GBF,NA,Human Assets,Income,NA,State Of Economy,levels of poverty in developing communities,GBF_CY_T16_343
Number of countries that have the necessary biosafety legal and administrative measures in place,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of countries that have the necessary biosafety legal and administrative measures in place,GBF_CY_T17_344
Number of countries that implement their biosafety measures,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of countries that implement their biosafety measures,GBF_CY_T17_345
Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of countries that have the necessary measures and means for detection and identification of products of biotechnology,GBF_CY_T17_346
Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,GBF_CY_T17_347
Number of countries that establish and implement risk management measures,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of countries that establish and implement risk management measures,"GBF_CY_T17_348,GBF_CY_T17_353"
Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol,GBF,NA,Governance,Nature-Based Legislation,NA,NA,percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,GBF_CY_T17_349
Number of countries with legal and technical measures for restoration and compensation,GBF,NA,Governance,Nature-Based Funding,NA,NA,number of countries with legal and technical measures for restoration and compensation,GBF_CY_T17_350
Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,GBF,NA,Governance,Nature-Based Legislation,NA,NA,percentage of parties to the nagoya - kuala lumpur supplementary protocol,GBF_CY_T17_351
Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF,NA,Governance,Nature-Based Legislation,NA,NA,percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_CY_T17_352
Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,GBF_CY_T17_354
Number of countries with biodiversity-relevant taxes,GBF,NA,Governance,Nature-Based Funding,NA,NA,number of countries with biodiversity-relevant taxes,GBF_CY_T18_355
Number of countries with biodiversity-relevant charges and fees,GBF,NA,Governance,Nature-Based Funding,NA,NA,number of countries with biodiversity-relevant charges and fees,GBF_CY_T18_356
Number of countries with biodiversity-relevant tradable permit schemes,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of countries with biodiversity-relevant tradable permit schemes,GBF_CY_T18_357
