indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
crop yield,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Ecosystem services,Coverage of basic needs,Specific monetary valuation of nature contribution,1,ga
crops and their dietary roles,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
cross-natrional comparative information on access to and ownership of land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
cultivated area,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
cultural continuity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
cultural identity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
culturally salient species,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
cumulative exposure indicators,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,Ecosystem services,Pollution,Nature contribution,1,ga
cumulative human impacts on marine ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
cumulative introduced invasive aliens,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Invasive alien species,NA,1,ga
cyclical patterns of abundance,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
"daily exposure natural terrestrial, coastal and marine areas",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
deaths due to unsafe water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
deaths from air pollution,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Healthy living conditions,NA,1,ga
deforestation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
deforestation rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,NA,1,NA,NA,NA,NA,NA,1,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,1,sua
"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",1,1,NA,NA,NA,NA,NA,1,1,Governance,Governance,Nature-based legislation,National/international cooperation,1,sua
degree of integrated water resources management,NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based legislation,NA,1,sua
degree of sustainable public procurement policies and action plan implementation,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA,1,sua
demand for greener products and services,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
democracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
demographic variation,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Cultural diversity,NA,1,ga
density of preferred and palatable species,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
depth of the food deficit (kcal/capit a/day) (3- year average),NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,1,ga
desertification,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,Change in ecosystems,1,ga
developing countries’ and least developed countries’ share of global exports,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,State of economy,NA,1,sua
development of crop varieties or landraces,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
dietary diversity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
dietary health and sustainability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
direct economic loss attributed to disasters in relation to global gross domestic product,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,State of economy,NA,1,sua
"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,1,sua
direct tangible damage loss,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Natural drivers,NA,1,ga
disability-adjusted life years (dalys) lost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
discontinued traditional land-management practices,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
dissolved organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
distance travelled to reach a resource,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
diversity and abundance of species for bioenergy use,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
diversity and economic value of bioinspired production,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
diversity of biological controllers of pests,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
diversity of competent hosts of vector-borne and zoonotic diseases,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,(Infectious) diseases,NA,1,ga
diversity of competent hosts of vector-borne diseases,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
diversity of life from which to learn,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
dollar value of all resources made available to strengthen statistical capacity in developing countries,1,1,NA,NA,NA,NA,NA,1,1,Governance,NA,National/international cooperation,NA,1,sua
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,National/international cooperation,NA,1,sua
domestic material consumption,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,2,ga
domestic material consumption,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,2,geo
"domestic material consumption, domestic material consumption per capita, and domestic material consumption per gross domestic product",NA,1,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,sua
"drinking water supply, treatment and distribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
drought-resistant vegetation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
droughts,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
dust emissions,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
dyes (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
ebfm performance index,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,1,ga
ecolabel index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
ecological footprint,1,NA,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,3,ga
ecological footprint,1,NA,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,3,va
ecological footprint,1,NA,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,3,geo
economic growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
"economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand",NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,Climate change,1,ga
economic value of bio-inspired production,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
electric power consumption (kwh per capita),NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
"elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles",NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
emergence (shannon’s information),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
emissions of ozone-depleting substances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
employment in materials production,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
empowerment of women and girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
encounter rates with supernatural forest dwelling entities,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
endemic species richness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
endemism (% endemics in community),NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
endemism richness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
energy consumption,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
energy content of bioenergy crops,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
energy intensity measured in terms of primary energy and gross domestic product,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Infrastructure (build-up area),NA,1,sua
energy production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
energy security from bio-energy and fuelwood,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"energy supply derived from cereals, roots and tubers",NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
energy use (kg of oil equivalent per capita),NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
energy-intensity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
enhanced vegetation index,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA,1,geo
environmental awareness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
environmental change,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
environmental component of the social sustainability index,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
environmental performance index,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
environmentally friendly policy processes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
equitability (commonness and rareness),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
estimated fisheries catch and fishing effort,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
ethnographic accounts,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
evapotranspiration,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
evapotranspiration (model ensemble),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Legislation/governance,NA,1,sua
existence of non-crop or urban in a place dominated by either,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
expansion of settlements,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
export and import data,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,NA,NA,1,ga
export and import of commodity data,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,NA,NA,1,ga
exposure to ambient pm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
exposure to high concentrations of pollutants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
exposure to pm concentrations (population-weighted annual mean concentration of pm2.5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
extent of agricultural land,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
extent of coral reefs,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
extent of each ecoregion globally,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,1,ga
extent of ecosystems that filter or add constituent components to water,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
extent of forests,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
extent of ice cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
extent of intact forest landscapes,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (integrity),NA,1,ga
extent of irrigated area,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
extent of marine calcification,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Direct drivers,State of ecosystems,Pollution,1,ga
extent of marine calcification benefits from coral reefs,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
extent of marine vegetation,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (marine),NA,1,ga
extent of marine wilderness,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (marine),NA,1,ga
extent of protected and intact habitat globally,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
extent of suitable habitat,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
extent of suitable habitat (mammals),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
extent of suitable habitat index (esh),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
extent of terrestrial wilderness,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Legislation/governance,NA,1,sua
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,1,1,NA,NA,NA,NA,NA,1,1,Human well-being,Knowledge systems,Equity,Information on society and socio-economics,2,sua
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,1,1,NA,NA,NA,NA,NA,1,1,Human well-being,Knowledge systems,Equity,Information on society and socio-economics,2,va
extinction risk of wild relatives of domesticated or farmed birds and mammals,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
extraction all of biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
extraction biomass animals,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
extraction biomass feed,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
extraction biomass food,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
extraction biomass forestry,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
extraction fossil-fuel,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
extraction of ind. and const. minerals,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
extraction of living biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
extraction of non-human materials,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
extraction of non-living materials,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
extraction ores,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
extraction other biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,ga
farm size distribution,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
farmland bird index,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,sua
"fatal and non-fatal occupational injuries per 1workers, by sex and migrant status",NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,1,sua
fertility rates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
fertilizer price,NA,NA,NA,NA,NA,NA,NA,NA,NA,Direct drivers,NA,Pollution,NA,1,geo
fertilizer use,1,NA,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Pollution,NA,1,ga
fertilizers used,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
fewer lives lost,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
fish catch potential,1,NA,NA,NA,NA,NA,NA,1,1,Ecosystem services,NA,Nature contribution,NA,1,ga
fisheries exploitation rates,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
fisheries management effectiveness index,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
fisheries management index,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
fisheries revenues,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
fisheries stock size,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
flax (t/ha/year)),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
floating plastic debris density,1,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,1,geo
floating plastic litter density,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,1,geo
floods,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
food loss index and (b) food waste index,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Information on society and socio-economics,NA,1,sua
food produced (kcal),NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,1,ga
food quality (nutrients),NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,1,ga
food security,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,2,ga
food security,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,2,geo
food security and climate change,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Direct drivers,Coverage of basic needs,Climate change,1,ga
food security index,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,1,ga
food waste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",1,NA,NA,NA,NA,NA,NA,1,1,Human assets,NA,Information on society and socio-economics,NA,1,sua
forest and its role in protecting water sources,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
forest and land management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
forest area,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
forest area as a percentage of total land area,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems (coverage),NA,3,ga
forest area as a percentage of total land area,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems (coverage),NA,3,sua
forest area as a percentage of total land area,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems (coverage),NA,3,geo
forest-specialist bird species per grid cell,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
forests and grazing lands loss,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
fossil-fuel energy consumption (% of total),NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
fraction of ocean not fished per year,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Direct drivers,State of ecosystems,Land conversion,1,ga
fraction of people die due to flood,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,Human well-being,Natural drivers,Healthy living conditions,1,ga
fraction of people infected with disease of flood,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Natural drivers,(Infectious) diseases,1,ga
fraction of species known to be medicinal,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
freshwater change over time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
freshwater withdrawal as a proportion of available freshwater resources,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
functional betadiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
"functional diversity (fd), rarity, redundancy, vulnerability",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
functional intactness (madingley),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
functional intactness (madingley) (madingley),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
functional richness (madingley),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
funding committed to environmental research,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA,1,ga
funding for environmental education,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
funding for environmental impact assessments,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
funding provided by the global environment facility,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA,1,ga
funding towards environmental education,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA,1,ga
funding towards environmental impact assessment,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA,1,ga
funding towards institutional capacity building in fisheries,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA,1,ga
funding towards nature reserves,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA,1,ga
funding towards species protection,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA,1,ga
gamma diversity (total diversity of species in a landscape),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
gender equality,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human well-being,NA,Equity,NA,1,geo
gender-disaggregated agricultural indices,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human well-being,NA,Equity,NA,1,geo
gene bank accession and available genetic resources,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic diversity,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,va
genetic resources and especially agrodiversity known to date and its linkage to food security,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (cohesion),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (complexity),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
"genetic variation (connectance, numbers of links by the number of nodes)",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (dissimilarity),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (hamming distance),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (homeostasis),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (nestedness),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (self-organization),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genuine progress indicator,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Healthy living conditions,NA,3,ga
genuine progress indicator,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Healthy living conditions,NA,3,va
genuine progress indicator,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Healthy living conditions,NA,3,ias
geographical overlay of linguistic diversity and biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
ghg emissions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
ghg emissions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,geo
ghg emissions change,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
ghg emissions from agriculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
gini index,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Equity,NA,1,ga
glacial mass balance,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA,1,ga
glacier mass balance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
global atmospheric co levels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
global bird richness (csar),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
global capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
global climate risk index,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Climate change,NA,1,ga
global cover of mangroves,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
global ecosystem restoration index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Area conservation,NA,1,ga
