indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2,source,mea
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,GBF_GD_CY_103,GBF,1,Human assets,NA,Information on society and socio-economics,NA,GBF,TRUE
global index on indigenous peoples' well-being,VA_3_63_79,IPBES,0,Knowledge systems,NA,Specific information on ILK and IPLC,NA,IPBES,FALSE
global land precipitation,IPCC_4_7_219,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
global linguistic diversity index and language threat level,GA_1_52_19,IPBES,0,Knowledge systems,NA,Specific information on ILK and IPLC,NA,IPBES,FALSE
global mammal and bird species remaining,GA_2.2_37_70;IPBES_GA2.2_sup_58,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
global mean ocean surface ph,IPCC_4_8_220,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
global mean sea level (gmsl),IPCC_1_16_6;IPCC_9_96_465,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
global mean surface temperature (gmst),IPCC_1_16_6;IPCC_1_47_20;IPCC_2_8_35,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
global monsoons,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
global precipitation climatology centre (gpcc) v8,IPCC_1_13_4,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
global saltmarsh extent,GBF_GA_CY_15,GBF,1,ecosystems,NA,State of ecosystems,NA,GBF,TRUE
global scale ecosystem carbon storage,GA_4_87_186,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
global seagrass extent (seagrass cover and composition),GBF_GA_CY_14,GBF,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
global surface air temperature (gmst),IPCC_1_13_4,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
global surface air temperature (gsat),IPCC_4_7_219;IPCC_9_11_426,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
global surface temperature,IPCC_7_82_356;IPCC_7_91_360,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
global temperature,IPCC_1_58_23,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
global temperature increase,GEO_4_20_39,GEO,0,Direct drivers,Direct drivers,Climate change,Natural drivers,GEO,FALSE
global temperature potential,GEO_12_18_124,GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
global temperatures,IPCC_1_92_33,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
global vegetation cover,IPCC_2_43_71,IPCC,0,ecosystems,NA,State of ecosystems (coverage),NA,IPCC,FALSE
global vegetation health products,GBF_GA_CY_26,GBF,1,Ecosystem services,NA,Nature contribution,NA,GBF,TRUE
global warming potential index,GEO_12_18_122,GEO,0,Direct drivers,NA,Climate change,NA,GEO,FALSE
globalization index,GA_2_24_29;IPBES_GA2.1_sup_2,IPBES,0,Human assets,NA,Information on society and socio-economics,NA,IPBES,FALSE
governance index,SUA_6_77_200,IPBES,0,Governance,NA,Legislation/governance,NA,IPBES,FALSE
grassland and savannah extent,GBF_GA_CY_4,GBF,1,ecosystems,NA,State of ecosystems,NA,GBF,TRUE
green consumption,GA_3_26_355,IPBES,0,Ecosystem services,Human well-being,Nature contribution,Healthy living conditions,IPBES,FALSE
green gross domestic product,VA_6_22_145,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,IPBES,FALSE
green status of species index,GBF_T4_C_28,GBF,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
green status of species index (pollinators),GBF_GB_CY_60,GBF,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,GBF,TRUE
greenhouse gas emissions,GA_2_83_42;GEO_4_20_39,IPBES;GEO,0,Direct drivers,Direct drivers,Climate change,Pollution,IPBES,FALSE
greenhouse gas emissions,GA_2_83_42;GEO_4_20_39,IPBES;GEO,0,Direct drivers,Direct drivers,Climate change,Pollution,GEO,FALSE
greenhouse gas index (national oceanic and atmospheric administration),GEO_2_23_6,GEO,0,Direct drivers,NA,Climate change,NA,GEO,FALSE
greenland blocking index,IPCC_9_47_438,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
greenland ice sheet fluctuations,IPCC_2_60_96,IPCC,0,ecosystems,NA,Change in ecosystems,NA,IPCC,FALSE
gross domestic product,GA_1_19_6;GA_2_20_26;GA_2_24_29;GA_6_139_289;SUA_1_11_4;SUA_4_149_137;VA_2_10_12;VA_2_38_29;VA_5_78_136;VA_6_61_155;IAS_2_5_11;IAS_3_8_84;IAS_3_34_90;IAS_6_85_153;IPBES_GA2.1_sup_1;IPBES_GA2.1_sup_29,IPBES,0,Human assets,NA,State of economy,NA,IPBES,FALSE
gross ecosystem product,VA_4_89_124,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,IPBES,FALSE
gross national happiness index,GA_1_19_6;GA_5_69_253;GA_6_140_290;SUA_1_12_5;VA_2_29_20;IAS_6_85_153,IPBES,0,Human well-being,NA,Wellness,NA,IPBES,FALSE
gross national happiness index of bhutan,VA_6_21_143,IPBES,0,Human well-being,NA,Wellness,NA,IPBES,FALSE
gross national product,IAS_6_85_153,IPBES,0,Human assets,NA,State of economy,NA,IPBES,FALSE
ground subsidence,IPCC_2_63_102,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
grounding line retreat,IPCC_9_55_443,IPCC,0,ecosystems,NA,Change in ecosystems,NA,IPCC,FALSE
growing degree days,IPCC_12_46_648,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",IPCC_sup_16,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
growing season of terrestrial biota,IPCC_2_26_47,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
growth in human appropriation of net primary productivity,GA_3_26_355,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
growth in information relevant to informing policy on invasive alien species prevention and control,IAS_6_11_138;IAS_6_119_174,IPBES,0,Direct drivers,Knowledge systems,Invasive alien species,Information on biodiversity,IPBES,FALSE
growth in marine species occurrence records accessible through ocean biodiversity information system (obis),GBF_T21_CY_250,GBF,1,Knowledge systems,NA,Information on biodiversity,NA,GBF,TRUE
growth in number of records and species in the living planet index database,GBF_T21_CY_248,GBF,1,Knowledge systems,NA,Information on biodiversity,NA,GBF,TRUE
growth rates,IAS_4_64_104,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population,SDG_G10.1.1_129;IPBES_SUA_sup_10.1.1_70,SDG;IPBES,1,Knowledge systems,NA,Information on society and socio-economics,NA,SDG,TRUE
growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population,SDG_G10.1.1_129;IPBES_SUA_sup_10.1.1_70,SDG;IPBES,1,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
habitat area and quality,GA_4_34_176,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
habitat conditions,SUA_4_89_132,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
habitat distributional range,GBF_T2_CY_115,GBF,1,ecosystems,NA,State of ecosystems,NA,GBF,TRUE
habitat loss,GEO_6_8_49,GEO,0,ecosystems,NA,Change in ecosystems,NA,GEO,FALSE
habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF_T1_CY_107,GBF,1,ecosystems,NA,State of ecosystems (marine),NA,GBF,TRUE
habitat quality,SUA_2_95_77,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
hadley circulation cell,IPCC_3_37_179,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
hadley/walker circulation,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
hallow coral reefs,GA_2.2_91_124,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
happiness,VA_3_41_70,IPBES,0,Human well-being,NA,Wellness,NA,IPBES,FALSE
happy planet index,GA_5_69_253;GA_5_108_263,IPBES,0,Human well-being,NA,Wellness,NA,IPBES,FALSE
hard coral cover and composition,GBF_GA_CY_12,GBF,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
harvest intensity,SUA_2_95_77,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
hazardous waste,GBF_T7_CY_173;SDG_G12.4.2.a_166;IPBES_SUA_sup_12.4.2.a_93,GBF;SDG;IPBES,1,Direct drivers,NA,Pollution,NA,GBF,TRUE
hazardous waste,GBF_T7_CY_173;SDG_G12.4.2.a_166;IPBES_SUA_sup_12.4.2.a_93,GBF;SDG;IPBES,1,Direct drivers,NA,Pollution,NA,SDG,TRUE
hazardous waste,GBF_T7_CY_173;SDG_G12.4.2.a_166;IPBES_SUA_sup_12.4.2.a_93,GBF;SDG;IPBES,1,Direct drivers,NA,Pollution,NA,IPBES,FALSE
health,GEO_22_21_257,GEO,0,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,GEO,FALSE
health associated with intake of pollinator dependent foods,GA_2.3_42_143,IPBES,0,Human well-being,Direct drivers,Healthy living conditions,Pollution,IPBES,FALSE
health condition and body size of wild animals decrease,GA_2.2_5_55,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
health of the forest,GA_2.3_41_142,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
health of the soil,GA_2.3_40_140,IPBES,0,ecosystems,NA,Abiotic conditions,NA,IPBES,FALSE
health worker density and distribution,SDG_G3.c.1_53,SDG,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,SDG,TRUE
heat index (hi),IPCC_12_7_581;IPCC_12_27_618;IPCC_12_49_649;IPCC_12_85_724,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
heat stress (humidity and temperature),IPCC_12_15_596,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
heat stress index,IPCC_12_54_663,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
heating degree day index,IPCC_12_56_664,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
heating degree days below 15.5°c,IPCC_sup_45,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
"hepatitis b incidence per 100,000 population",SDG_G3.3.4_35,SDG,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
"high blood pressure, smoking, low birth weight, high levels of blood sugar",GEO_5_19_45,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
high body mass index,GEO_5_19_45,GEO,0,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
highest five day precipitation amount (rx5day),IPCC_11_52_540,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
highest one day precipitation amount (rx1day),IPCC_11_52_540,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
historic land use change since 1970,GA_2.3_53_152,IPBES,0,Direct drivers,NA,Land conversion,NA,IPBES,FALSE
holistic health model,VA_3_63_79,IPBES,0,Human well-being,NA,Wellness,NA,IPBES,FALSE
human appropriation of fresh water,GA_3_15_329;IPBES_GA3_sup_14,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
human appropriation of net primary productivity,GBF_T14_CY_211;GA_1_52_19;VA_2_38_29;IPBES_GA3_sup_13,GBF;IPBES,1,Ecosystem services,NA,Nature contribution,NA,GBF,TRUE
human appropriation of net primary productivity,GBF_T14_CY_211;GA_1_52_19;VA_2_38_29;IPBES_GA3_sup_13,GBF;IPBES,1,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
human development index (hdi),GA_1_19_6;GA_1_31_9;GA_2_24_29;GA_2_22_30;GA_5_68_252;GA_3_77_402;GA_3_97_413;SUA_1_12_5;VA_5_78_136;IAS_2_18_24,IPBES,0,Knowledge systems,Human well-being,Information on society and socio-economics,Wellness,IPBES,FALSE
human footprint,GA_2.2_62_105,IPBES,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,IPBES,FALSE
human population density,IAS_3_8_84,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
human population size,IAS_2_5_11,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
humidity,IPCC_12_62_673,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
hunting success,SUA_2_97_80,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
hydrological deficits,IPCC_11_58_544,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
ice core measurements,IPCC_5_14_270,IPCC,0,ecosystems,Direct drivers,State of ecosystems,Climate change,IPCC,FALSE
ice core records,IPCC_2_58_90,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
ice cores,IPCC_2_63_105,IPCC,0,ecosystems,Direct drivers,State of ecosystems,Climate change,IPCC,FALSE
ideas and products mimicking or inspired by nature,GA_2.3_42_143,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPBES,FALSE
identity value - rural and iplc,GA_2.3_42_143,IPBES,0,Human well-being,NA,Wellness,NA,IPBES,FALSE
identity value - urban,GA_2.3_42_143,IPBES,0,Human well-being,NA,Wellness,NA,IPBES,FALSE
illegal trade by cites species classification,GBF_T5_CY_161,GBF,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,GBF,TRUE
impact of agricultural habitat conversion on birds,SUA_4_42_113,IPBES,0,Direct drivers,NA,Land conversion,NA,IPBES,FALSE
"impact of alien species on sensitive places, species and functions",IAS_6_97_160,IPBES,0,Direct drivers,NA,Invasive alien species,NA,IPBES,FALSE
impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,GEO_15_19_169,GEO,0,ecosystems,NA,State of ecosystems,NA,GEO,FALSE
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_T5_CY_164,GBF,1,Governance,NA,Nature-based legislation,NA,GBF,TRUE
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG_G12.b.1_173;IPBES_SUA_sup_12.b.1_100,SDG;IPBES,1,Governance,NA,Legislation/governance,NA,SDG,TRUE
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG_G12.b.1_173;IPBES_SUA_sup_12.b.1_100,SDG;IPBES,1,Governance,NA,Legislation/governance,NA,IPBES,FALSE
importance of forests to people,SUA_2_92_69,IPBES,0,Human well-being,Knowledge systems,Healthy living conditions,Specific information on human-nature relationship,IPBES,FALSE
improved health from natural medicines or bio-derived medicines,GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
improved water supply and sanitation,GEO_16_18_190,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
improved/unimproved sources of drinking water,GEO_16_16_184,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
improvement in conseration status of species threatened by invasive alien species,IAS_6_119_174,IPBES,0,Direct drivers,biodiversity,Invasive alien species,Change in biodiversity,IPBES,FALSE
including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,GEO_17_12_205,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
inclusion of historically disadvantaged stakeholders,VA_2_10_12,IPBES,0,Human well-being,NA,Equity,NA,IPBES,FALSE
inclusive and equitable quality education,GEO_22_21_257,GEO,0,Human assets,Human well-being,Coverage of basic needs,Equity,GEO,FALSE
inclusive societies,GEO_3_5_16,GEO,0,Human well-being,NA,Equity,NA,GEO,FALSE
inclusive wealth,GA_1_19_6;SUA_1_12_5;VA_2_7_9;VA_2_39_33;VA_3_114_99;VA_5_78_136,IPBES,0,Human assets,NA,Income,NA,IPBES,FALSE
income,GA_2_25_31;SUA_4_149_137,IPBES,0,Human assets,NA,Income,NA,IPBES,FALSE
increase in global tc maximum surface wind speeds,IPCC_11_79_569,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
increase in secondary natural forest cover,GBF_T2_CY_117,GBF,1,ecosystems,NA,Change in ecosystems,NA,GBF,TRUE
increase in the global mean sea level,GEO_2_26_7,GEO,0,ecosystems,NA,Change in ecosystems,NA,GEO,FALSE
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",GA_2.3_42_143,IPBES,0,Human well-being,Human well-being,Healthy living conditions,Wellness,IPBES,FALSE
"increased awareness, care, mental health, cultural security, life satisfaction - urban",GA_2.3_42_143,IPBES,0,Human well-being,Human well-being,Healthy living conditions,Wellness,IPBES,FALSE
increasingly unpredictable annual distribution of rainfall,GA_2.2_6_56,IPBES,0,Direct drivers,NA,Natural drivers,NA,IPBES,FALSE
index of coastal eutrophication potential (icep),GBF_T7_H_24;GBF_T7_CY_175;GBF_T8_CY_185;SDG_G14.1.1.a_183;GEO_7_19_66;GEO_20_8_234;IPBES_SUA_sup_14.1.1.a_110,GBF;SDG;IPBES;GEO,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),GBF,TRUE
index of coastal eutrophication potential (icep),GBF_T7_H_24;GBF_T7_CY_175;GBF_T8_CY_185;SDG_G14.1.1.a_183;GEO_7_19_66;GEO_20_8_234;IPBES_SUA_sup_14.1.1.a_110,GBF;SDG;IPBES;GEO,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),SDG,TRUE
index of coastal eutrophication potential (icep),GBF_T7_H_24;GBF_T7_CY_175;GBF_T8_CY_185;SDG_G14.1.1.a_183;GEO_7_19_66;GEO_20_8_234;IPBES_SUA_sup_14.1.1.a_110,GBF;SDG;IPBES;GEO,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),IPBES,FALSE
index of coastal eutrophication potential (icep),GBF_T7_H_24;GBF_T7_CY_175;GBF_T8_CY_185;SDG_G14.1.1.a_183;GEO_7_19_66;GEO_20_8_234;IPBES_SUA_sup_14.1.1.a_110,GBF;SDG;IPBES;GEO,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),GEO,FALSE
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF_GB_CY_85,GBF,1,Governance,Human well-being,Legislation/governance,Cultural diversity,GBF,TRUE
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",GBF_T2_CY_116,GBF,1,ecosystems,biodiversity,State of ecosystems,Species conservation,GBF,TRUE
index of sustaibale economic welfare,IAS_6_85_153,IPBES,0,Human assets,NA,State of economy,NA,IPBES,FALSE
index of sustainable economic welfare (isew),GA_6_139_289;VA_2_38_29;VA_2_39_33,IPBES,0,Human assets,NA,State of economy,NA,IPBES,FALSE
indian ocean basin (iob) index,IPCC_3_78_203,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
indian ocean dipole (ipo),IPCC_3_80_205,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
indian ocean dipole index (iod),IPCC_3_78_202,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
indicator based on task force for naturerelated financial disclosures,GBF_T15_C_57,GBF,1,Human assets,NA,State of economy,NA,GBF,TRUE
indicator of food price anomalies,SDG_G2.c.1_27;IPBES_SUA_sup_2.c.1_25,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
indicator of food price anomalies,SDG_G2.c.1_27;IPBES_SUA_sup_2.c.1_25,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
indicator on biodiversity information for monitoring the global biodiversity framework,GBF_T21_H_49,GBF,1,Knowledge systems,NA,Information on biodiversity,NA,GBF,TRUE
indicator on monetary benefits received,GBF_T13_H_35,GBF,1,Human assets,NA,Income,NA,GBF,TRUE
indicator on national implementation of the gender plan of action 2023-2030,GBF_T23_C_70,GBF,1,Human well-being,NA,Equity,NA,GBF,TRUE
indicator on non-monetary benefits,GBF_T13_H_36,GBF,1,Human assets,NA,Income,NA,GBF,TRUE
indicator(s) related to flows of financing related to different aspects of strategic plan implementation,RAMSAR_OG4.17_62,RAMSAR,1,Governance,NA,Nature-based funding,NA,RAMSAR,TRUE
indicator(s) related to the use of guidance and availability in various language versions,RAMSAR_OG4.14_47,RAMSAR,1,Governance,Human well-being,Nature-based legislation,Cultural diversity,RAMSAR,TRUE
indicator(s) related to whether and how wetland conservation and wise-use issues are included formal education programmes,RAMSAR_OG4.16_59,RAMSAR,1,Knowledge systems,NA,Specific information on human-nature relationship,NA,RAMSAR,TRUE
indicator(s) relating to (numbers of) ramsar sites at risk,RAMSAR_SG2.7_29,RAMSAR,1,ecosystems,NA,Area conservation,NA,RAMSAR,TRUE
indicators related to the relevant sectors especially using or linking to relevant aichi target indicators and other relevant international processes,RAMSAR_SG3.13_42,RAMSAR,1,Governance,NA,National/international cooperation,NA,RAMSAR,TRUE
individual deprivation measure,GA_3_97_413,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
"information provided through the financial reporting framework, adopted by decision xii/3",GA_1_52_19,IPBES,0,Governance,NA,Legislation/governance,NA,IPBES,FALSE
inland fishery production,GA_1_52_19;GA_1_52_19,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
installed renewable energy-generating capacity in developing countries (in watts per capita),SDG_G7.b.1_99;SDG_G12.a.1_172;IPBES_SUA_sup_7.b.1_43;IPBES_SUA_sup_12.a.1_99,SDG;IPBES,1,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems,SDG,TRUE
installed renewable energy-generating capacity in developing countries (in watts per capita),SDG_G7.b.1_99;SDG_G12.a.1_172;IPBES_SUA_sup_7.b.1_43;IPBES_SUA_sup_12.a.1_99,SDG;IPBES,1,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems,IPBES,FALSE
intact wilderness,GBF_GA_CY_51;GBF_GB_CY_73,GBF,1,ecosystems,NA,State of ecosystems,NA,GBF,TRUE
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",GBF_GC_CY_94;SDG_G15.9.1.b_206;IPBES_SUA_sup_15.9.1.b_132,GBF;SDG;IPBES,1,Governance,NA,Nature-based funding,NA,GBF,TRUE
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",GBF_GC_CY_94;SDG_G15.9.1.b_206;IPBES_SUA_sup_15.9.1.b_132,GBF;SDG;IPBES,1,Governance,NA,Nature-based funding,NA,SDG,TRUE
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",GBF_GC_CY_94;SDG_G15.9.1.b_206;IPBES_SUA_sup_15.9.1.b_132,GBF;SDG;IPBES,1,Governance,NA,Nature-based funding,NA,IPBES,FALSE
integration of education for sustainable development (esd) in curricula,GEO_4_9_33,GEO,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,GEO,FALSE
integration of education for sustainable development (esd) in higher education,GEO_4_9_33,GEO,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,GEO,FALSE
intensity of weather,SUA_2_97_80,IPBES,0,ecosystems,NA,Abiotic conditions,NA,IPBES,FALSE
inter-decadal pacific oscillation (ipo) index,IPCC_2_89_154,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
inter-tropical convergence zone (itcz) narrowing,IPCC_8_39_378,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
interannual variability of primary production (pp),IPCC_5_57_287,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",SDG_G7.a.1_98;IPBES_SUA_sup_7.a.1_42,SDG;IPBES,1,Governance,NA,Nature-based legislation,NA,SDG,TRUE
"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",SDG_G7.a.1_98;IPBES_SUA_sup_7.a.1_42,SDG;IPBES,1,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
international health regulations (ihr) capacity and health emergency preparedness,SDG_G3.d.1_54,SDG,1,Human well-being,NA,Healthy living conditions,NA,SDG,TRUE
international migrant stock,GA_2_24_29;IPBES_GA2.1_sup_24,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",GBF_GD_H_10;GBF_T19_H_45,GBF,1,Governance,NA,National/international cooperation,NA,GBF,TRUE
"international tourism, number of arrivals",IPBES_GA2.1_sup_36,IPBES,0,Human well-being,NA,Recreation,NA,IPBES,FALSE
"international tourism, number of departures",IPBES_GA2.1_sup_35,IPBES,0,Human well-being,NA,Recreation,NA,IPBES,FALSE
interventions to limit spread and reduce impact of alien species,IAS_6_97_160,IPBES,0,Direct drivers,NA,Invasive alien species,NA,IPBES,FALSE
invasive alien species are given new names by indigenous peoples and local communities,IAS_1_53_8,IPBES,0,Knowledge systems,NA,ILK,NA,IPBES,FALSE
invasive alien species impact,IAS_6_114_165,IPBES,0,Direct drivers,NA,Invasive alien species,NA,IPBES,FALSE
invertebrate abundance and biomass,GEO_6_16_56,GEO,0,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
investment costs of groundwater abstraction and desalination for continued water supply and sanitation of rapidly expanding cities,GEO_23_24_263,GEO,0,Governance,Human well-being,Legislation/governance,Healthy living conditions,GEO,FALSE
involvement of stakeholders in various aspects of wetland and/or basin-scale management,RAMSAR_SG3.9_34,RAMSAR,1,ecosystems,Governance,Restoration efforts,Nature-based legislation,RAMSAR,TRUE
isotope-composition of molecular oxygen trapped in polar firn and ice,IPCC_2_21_41,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
iucn green list of protected and conserved areas,GBF_T3_CY_133,GBF,1,ecosystems,NA,Area conservation,NA,GBF,TRUE
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,GBF_GD_CY_99,GBF,1,Knowledge systems,NA,Information on biodiversity,NA,GBF,TRUE
kelp canopy extent,GBF_GA_CY_16,GBF,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
labour share of gross domestic product,SDG_G10.4.1_132;IPBES_SUA_sup_10.4.1_73,SDG;IPBES,1,Human assets,NA,Income,NA,SDG,TRUE
labour share of gross domestic product,SDG_G10.4.1_132;IPBES_SUA_sup_10.4.1_73,SDG;IPBES,1,Human assets,NA,Income,NA,IPBES,FALSE
lake sediments,IPCC_9_66_448,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
land and ocean carbon sinks,GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
land cover change,GEO_6_18_58,GEO,0,Direct drivers,NA,Land conversion,NA,GEO,FALSE
land monsoon precipitation index,IPCC_4_34_236;IPCC_4_51_250,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
land not cultivated or urban,GA_2.2_37_70;IPBES_GA2.2_sup_11,IPBES,0,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area),IPBES,FALSE
