indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,indic_id,ipcc_sup,ga_sup,sua_sup,indic
"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of population satisfied with their last experience of public services,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
existence of independent national human rights institutions in compliance with the paris principles,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"total government revenue as a proportion of gross domestic product, by source",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
proportion of domestic budget funded by domestic taxes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
additional financial resources mobilized for developing countries from multiple sources,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
volume of remittances (in united states dollars) as a proportion of total gross domestic product,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
debt service as a proportion of exports of goods and services,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"fixed internet broadband subscriptions per 100 inhabitants, by speed6",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of individuals using the internet,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
worldwide weighted tariff-average,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
developing countries’ and least developed countries’ share of global exports,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
macroeconomic dashboard,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of countries with mechanisms in place to enhance policy coherence of sustainable development,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
amount in united states dollars committed to public-private partnerships for infrastructure,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
statistical capacity indicator for sustainable development goal monitoring,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
proportion of countries that have conducted at least one population and housing census in the last 10 years,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of countries that have achieved 100 per cent birth registration and 80 per cent death registration,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties that are in category 1 under the national legislation project,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties that have designated management authorities and scientific authorities,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties subject to cites recommendations on trade,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the trends and impact of trade upon appendix-ii species",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties that have adopted standard procedures for making non detriment findings,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number and proportion of annual export quotas based on population surveys,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of administrative measures, criminal prosecutions and other court actions for cites-related offences",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties meeting their obligations with regard to their assessed contributions to the trust fund,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the percentage of the work programme agreed by the conference of the parties that is fully funded,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties raising funds for cites implementation through user fees or other mechanisms,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties using incentive measures as part of their implementation of the convention,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of capacity building activities mandated by resolutions and decisions that are fully funded,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of visits to the cites website,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties with web pages on cites and its requirements,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the conservation status of species listed on the cites appendices has stabilized or improved,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
trends in awareness and attitudes to migratory species,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
trends in integration of migratory species values in national and sectoral policies,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
status of migratory species in trade,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
wild commodities index (migratory species),NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
proportion of migratory fish stocks in safe biological limits,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
trends in threats to migratory species,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
red list index (migratory species),NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
red list index (cms-listed bird species),NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
red list index (migratory bird species),NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
red list index (cms-listed bird and mammal species),NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
living planet index (migratory species),NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
wild bird index (migratory birds),NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
trends in distribution of migratory species,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
coverage of key habitats for migratory species in protected areas,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
management effectiveness of areas protected specifically for migratory species,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
trends in delivery of ecosystem services directly dependent on migratory species,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
trends in genetic diversity of selected species,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
trends in integration of migratory species concerns in national biodiversity strategies and action plans,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the strategic plan for migratory species",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
number of validated publications on migratory species conservation actively disseminated for policy-relevant use,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"aggregated international flows of funding, per annum, for achieving the goals of the strategic plan for migratory species",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the strategic plan for migratory species",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
the recognition of combating wildlife crime as a high priority for national law enforcement agencies,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the recognition of wildlife crime involving organized criminal groups as serious crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the existence of a national enforcement strategy and/or action plan for wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent of international cooperation to combat wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which proactive investigations are used to target prominent and emerging wildlife crime threats,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the level of staff resources in national law enforcement agencies to combat wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
participation in multi-disciplinary enforcement operations targeting wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
"the extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
"the adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the number (and type) of seizures of specimens of illicitly-traded wildlife,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the number (and type) of large-scale seizures of specimens of illicitly-traded wildlife,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the capacity of national law enforcement agencies to investigate wildlife crime cases,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent of national procedures and systems to collate information on wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which information on wildlife crime is verified and analyzed to generate intelligence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which criminal intelligence is used to support investigations into wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which follow-up investigations are conducted for wildlife crime cases,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the capacity of national law enforcement agencies to conduct financial investigations to support the investigation and prosecution of wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
"the comprehensiveness of national legislative provisions for wildlife conservation, management and use, including international trade in protected species of wildlife",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the category in which cites implementation legislation has been placed under the cites national legislation project,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which national provisions for international cooperation in criminal matters are applied to wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the existence of provisions against corruption in national legislation that can be used in the investigation and prosecution of wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the existence of national legislation for organized crime that can be used in the investigation and prosecution of wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which a combination of relevant national legislation and criminal law is used to prosecute wildlife crime in support of legislation enacted to combat wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the capacity of national law enforcement agencies to prepare wildlife crime case files and give evidence in court,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the percentage of wildlife crime cases that were prosecuted in court,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the percentage of wildlife crime cases that were resolved with administrative penalties,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the capacity of prosecutors to manage wildlife crime cases,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the existence of national guidelines for the prosecution of wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the percentage of wildlife crime cases that were brought to trial which resulted in convictions,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which national legislation penalizes wildlife crime offences in a manner that reflects the nature and severity of the crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the existence of national guidelines for the sentencing of offenders convicted with wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent of awareness of wildlife crime among the judiciary and the appropriateness of the verdicts handed down,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the existence of provisions for asset forfeiture and recovery in national legislation that can be applied to wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the use of asset forfeiture and recovery legislation in wildlife crime cases,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which the drivers of wildlife crime in the country are known and understood,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which activities to address the demand of illicit wildlife products are implemented,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent of awareness-raising materials and/or programmes in place to increase the awareness of the regulated community of the laws that apply to the sustainable use of wildlife,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which local communities are engaged in law enforcement activities to combat wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent to which livelihoods and social capacity building are considered in activities to combat wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the extent of awareness-raising materials and/or programmes in place to increase public awareness of wildlife crime,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
the overall conservation status of wetlands,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
status and trends in wetland ecosystem extent,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
trends in conservation status - qualitative assessment,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
the status of the ecological character of ramsar sites,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
trends in the status of ramsar site ecological character - qualitative assessment,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
trends in water quality,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
trends in dissolved nitrate (or nitrogen) concentration,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
trends in biological oxygen demand (bod),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
the frequency of threats affecting ramsar sites,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
the frequency of threats affecting ramsar sites - qualitative assessment,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
wetland sites with successfully implemented conservation or wise use management plans,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
overall population trends of wetland taxa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
trends in the status of waterbird biogeographic populations,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
changes in threat status of wetland taxa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
trends in the status of globally-threatened wetland-dependent birds,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
trends in the status of globally-threatened wetland-dependent amphibians,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
the proportion of candidate ramsar sites designated so far for wetland types/features,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
coverage of the wetland resource by designated ramsar sites,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
trends in land cover,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
trends in land productivity,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
monthly maximum value of daily maximum temperature,NA,NA,NA,NA,NA,NA,NA,IPCC_1,1,NA,NA,1
monthly minimum value of daily maximum temperature,NA,NA,NA,NA,NA,NA,NA,IPCC_2,1,NA,NA,1
monthly minimum value of daily minimum temperature,NA,NA,NA,NA,NA,NA,NA,IPCC_3,1,NA,NA,1
monthly maximum value of daily minimum temperature,NA,NA,NA,NA,NA,NA,NA,IPCC_4,1,NA,NA,1
percentage of days when daily maximum temperature is greater than the 90th percentile,NA,NA,NA,NA,NA,NA,NA,IPCC_5,1,NA,NA,1
percentage of days when daily maximum temperature is less than the 10th percentile,NA,NA,NA,NA,NA,NA,NA,IPCC_6,1,NA,NA,1
percentage of days when daily minimum temperature is greater than the 90th percentile,NA,NA,NA,NA,NA,NA,NA,IPCC_7,1,NA,NA,1
percentage of days when daily minimum temperature is less than the 10th percentile,NA,NA,NA,NA,NA,NA,NA,IPCC_8,1,NA,NA,1
number of icing days: annual count of days when tx (daily maximum temperature) <0°c,NA,NA,NA,NA,NA,NA,NA,IPCC_9,1,NA,NA,1
number of frost days: annual count of days when tn (daily minimum temperature) <0°c,NA,NA,NA,NA,NA,NA,NA,IPCC_10,1,NA,NA,1
warm spell duration index (wsdi),NA,NA,NA,NA,NA,NA,NA,IPCC_11,1,NA,NA,1
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,NA,NA,NA,NA,NA,NA,NA,IPCC_12,1,NA,NA,1
number of summer days: annual count of days when tx (daily maximum temperature) >25°c,NA,NA,NA,NA,NA,NA,NA,IPCC_13,1,NA,NA,1
number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,NA,NA,NA,NA,NA,NA,NA,IPCC_14,1,NA,NA,1
daily temperature range: monthly mean difference between tx and tn,NA,NA,NA,NA,NA,NA,NA,IPCC_15,1,NA,NA,1
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",NA,NA,NA,NA,NA,NA,NA,IPCC_16,1,NA,NA,1
one-in-20 year return value of monthly maximum value of daily maximum temperature,NA,NA,NA,NA,NA,NA,NA,IPCC_17,1,NA,NA,1
one-in-20 year return value of monthly minimum value of daily maximum temperature,NA,NA,NA,NA,NA,NA,NA,IPCC_18,1,NA,NA,1
one-in-20 year return value of monthly minimum value of daily minimum temperature,NA,NA,NA,NA,NA,NA,NA,IPCC_19,1,NA,NA,1
one-in-20 year return value of monthly maximum value of daily minimum temperature,NA,NA,NA,NA,NA,NA,NA,IPCC_20,1,NA,NA,1
maximum one-day precipitation,NA,NA,NA,NA,NA,NA,NA,IPCC_21,1,NA,NA,1
maximum five-day precipitation,NA,NA,NA,NA,NA,NA,NA,IPCC_22,1,NA,NA,1
annual count of days when precipitation is greater than or equal to 5 mm,NA,NA,NA,NA,NA,NA,NA,IPCC_23,1,NA,NA,1
annual count of days when precipitation is greater than or equal to 10 mm,NA,NA,NA,NA,NA,NA,NA,IPCC_24,1,NA,NA,1
annual count of days when precipitation is greater than or equal to 20 mm,NA,NA,NA,NA,NA,NA,NA,IPCC_25,1,NA,NA,1
annual count of days when precipitation is greater than or equal to 50 mm,NA,NA,NA,NA,NA,NA,NA,IPCC_26,1,NA,NA,1
maximum number of consecutive days with less than 1 mm of precipitation per day,NA,NA,NA,NA,NA,NA,NA,IPCC_27,1,NA,NA,1
maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,NA,NA,NA,NA,NA,NA,NA,IPCC_28,1,NA,NA,1
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,NA,NA,NA,NA,NA,NA,NA,IPCC_29,1,NA,NA,1
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,NA,NA,NA,NA,NA,NA,NA,IPCC_30,1,NA,NA,1
simple precipitation intensity index,NA,NA,NA,NA,NA,NA,NA,IPCC_31,1,NA,NA,1
one-in-20 year return value of maximum one-day precipitation,NA,NA,NA,NA,NA,NA,NA,IPCC_32,1,NA,NA,1
one-in-20 year return value of maximum five-day precipitation,NA,NA,NA,NA,NA,NA,NA,IPCC_33,1,NA,NA,1
standardized precipitation index,NA,NA,NA,NA,NA,NA,NA,IPCC_34,1,NA,NA,1
"potential evaporation, evaporative demand drought index",NA,NA,NA,NA,NA,NA,NA,IPCC_35,1,NA,NA,1
soil moisture anomalies,NA,NA,NA,NA,NA,NA,NA,IPCC_36,1,NA,NA,1
standardized soil moisture index,NA,NA,NA,NA,NA,NA,NA,IPCC_37,1,NA,NA,1
standardized runoff index,NA,NA,NA,NA,NA,NA,NA,IPCC_38,1,NA,NA,1
standardized streamflow index,NA,NA,NA,NA,NA,NA,NA,IPCC_39,1,NA,NA,1
palmer drought severity index (pdsi),NA,NA,NA,NA,NA,NA,NA,IPCC_40,1,NA,NA,1
standardized precipitation evapotranspiration index (spei),NA,NA,NA,NA,NA,NA,NA,IPCC_41,1,NA,NA,1
gross domestic product,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
globalization index,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
poverty gap,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
food security index,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
depth of the food deficit (kcal/capit a/day) (3- year average),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
access to improved sanitation facilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
domestic material consumption,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
per capita calorie intake,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
prevalence of obesity in the adult population (18 years and older),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
