indicators_raw,gbf,ga,va,sua,sdg,ipbes,indicators_cleaned,indicators_harmonized,indicators_categorized,indicators_categorized2,duplicated_indicator
ecological fiscal transfers redistribute tax revenues from national to state or local governments by using ecological indicators to acknowledge ecological public funcitons and to fund local (subnational) conservation actions,,,1,,,1,ecological fiscal transfers,nature-based legislation,legislative arrangements,governance,FALSE
eflow index,1,,,,,,ecological flow index (eflow),state of ecosystems,ecosystems,ecosystems,FALSE
ecological footprint,1,1,1,,1,1,ecological footprint,exploitation,exploitation,direct drivers,FALSE
ecological footprint (number of earths needed to support human society),,1,,,,1,ecological footprint,exploitation,exploitation,direct drivers,FALSE
ecological restoration,,,,1,,1,ecological restoration,restoration efforts,ecosystems,ecosystems,FALSE
"criteria for effectiveness from selected publications. 4 dimensions: ecological sustainability (where ecological objectives are met, including maintaining or improving species, habitats, diversity, and abundance), social sustainability (where social objectives are met including supporting equity, material, relational and subjective wellbeing), economic sustainability (where economic objectives are met including sustaining income, livelihoods and trade), institutional sustainability (where institutional objectives are met including enabling cost effective, participatory process, incorporation of indigenous and local knowledge, and integration between international and national regulations).",,,,1,,1,ecological sustainability,state of ecosystems,ecosystems,ecosystems,FALSE
economic (willingness to pay),,,1,,,1,economic (willingness to pay),information on socio-economics,scientific knowledge,scientific knowledge,FALSE
economic drivers,,,1,,,1,economic drivers,state of economy,financial assets,financial assets,FALSE
crop production breaks caused by climate change,,1,,,,1,economic impacts of climate change,climate change,climate change,direct drivers,FALSE
"economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand",,1,,,,1,economic impacts of climate change,climate change,climate change,direct drivers,FALSE
economic indicators,,,,1,,1,economic indicators,state of economy,financial assets,financial assets,FALSE
economic indicators such as increased prices or profits from sales of managed resources,,,,1,,1,economic indicators,state of economy,financial assets,financial assets,FALSE
economic perspective with economic indicators,,1,,,,1,economic indicators,state of economy,financial assets,financial assets,FALSE
billions of dollars each year,,1,,,,1,economic losses due to natural hazards,natural drivers,natural drivers,direct drivers,FALSE
"criteria for effectiveness from selected publications. 4 dimensions: ecological sustainability (where ecological objectives are met, including maintaining or improving species, habitats, diversity, and abundance), social sustainability (where social objectives are met including supporting equity, material, relational and subjective wellbeing), economic sustainability (where economic objectives are met including sustaining income, livelihoods and trade), institutional sustainability (where institutional objectives are met including enabling cost effective, participatory process, incorporation of indigenous and local knowledge, and integration between international and national regulations).",,,,1,,1,economic sustainability,state of economy,financial assets,financial assets,TRUE
economic value of bio-inspired production,,1,,,,1,economic value of bio-inspired production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
the economics of ecosystems and biodiversity (teeb),,,1,,,1,economics of ecosystems and biodiversity (teeb),monetary nature contribution,ecosystem services,ecosystem services,FALSE
likelihood of ecosystem accounting implementation at national level indicated by the system of environmental economic accounting and ecosystem accounting,,,1,,,1,ecosystem accounting,nature-based legislation,legislative arrangements,governance,FALSE
the system of environmental economic accounting-ecosystem accounting,,,1,,,1,ecosystem accounting,nature-based legislation,legislative arrangements,governance,FALSE
ecosystem area index,,,,,1,,ecosystem area index,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
ecosystem health index,,,,,1,,ecosystem health index,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
ecosystem intactness index,1,,,,,,ecosystem intactness index,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
ecosystem integrity index,1,,,,,,ecosystem integrity index,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
ecosystem services,,1,,,,1,ecosystem services,nature contribution,ecosystem services,ecosystem services,FALSE
providers of ecosystem services,,,1,,,1,ecosystem services,nature contribution,ecosystem services,ecosystem services,FALSE
services provided by ecosystems,1,,,,,,ecosystem services,nature contribution,ecosystem services,ecosystem services,FALSE
"measurements of ecosystem stocks and flows (organisms, material, energy) and include genetic diversity",,,1,,,1,"ecosystem stocks and flows (organisms, material, energy)",state of ecosystems (integrity),ecosystems,ecosystems,FALSE
ebfm performance index,,1,,,,1,ecosystem-based fisheries management performance index,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
"education, child mortality, life expectancy",,1,,,,1,education,access to education,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,,,,1,1,1,education for sustainable development,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",1,,,,,,education for sustainable development,information on human-nature relationship,scientific knowledge,scientific knowledge,TRUE
efforts to mitigate climate change through increased bioeconomy,,,,1,,1,efforts to mitigate climate change through increased bioeconomy,nature-based legislation,legislative arrangements,governance,FALSE
electric power consumption (kwh per capita),,1,,,,1,electric power consumption,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
emergence (shannon’s information),,1,,,,1,emergence,state of biodiveristy,biodiversity,biodiversity,FALSE
employment in materials production,,1,,,,1,employment in materials production,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
energy content of bioenergy crops,,1,,,,1,energy content of bioenergy crops,monetary nature contribution,ecosystem services,ecosystem services,FALSE
energy intensity measured in terms of primary energy and gdp,,,,1,1,1,energy intensity,exploitation,exploitation,direct drivers,FALSE
kwh x price,,1,,,,1,energy production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
energy security,,1,,,,1,energy security,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
increased energy security,,1,,,,1,energy security,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
energy security from bio-energy and fuelwood,,1,,,,1,energy security from bio-energy and fuelwood,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"energy supply derived from cereals, roots and tubers",,1,,,,1,"energy supply derived from cereals, roots and tubers",human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
energy use (kg of oil equivalent per capita),,1,,,,1,energy use,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
environmental awareness,,,1,,,1,environmental awareness,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
"local indicators of environmental change, protected areas, climate change mtigation",,1,,,,1,environmental change,change in ecosystems,ecosystems,ecosystems,TRUE
ecosystem accounting (or natural capital accounting),,,1,,,1,environmental economic accounting,monetary nature contribution,ecosystem services,ecosystem services,FALSE
the number of countries implementing the system of environemntal economic accounting,,,1,,,1,environmental economic accounting,nature-based funding,legislative arrangements,governance,FALSE
the system of environmental-economic accounting: pursues the consistent comparison and exhange of data and aims to underpin a range of applications,,,1,,,1,environmental economic accounting,nature-based funding,legislative arrangements,governance,FALSE
united nations system of environmental economic accounting (un seea),,,1,,,1,environmental economic accounting,nature-based funding,legislative arrangements,governance,FALSE
environmental performance index,,1,,,,1,environmental performance index,state of ecosystems,ecosystems,ecosystems,FALSE
environmental quality indicators,,1,,,,1,environmental quality indicators,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
environmental tolerances,,1,,,,1,environmental tolerances,state of ecosystems,ecosystems,ecosystems,FALSE
indicators on the impacts of environmentally harmful subsidies and trends and effectiveness of their removal at the global level,,1,,,,1,environmentally harmful subsidies,anti-nature legislation,legislative arrangements,governance,FALSE
trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),1,,,,1,,trends in potentially environmentally harmful elements of government support to agriculture,anti-nature legislation,legislative arrangements,governance,FALSE
indicators on the impacts of environmentally harmful subsidies and trends and effectiveness of their removal at the global level,,1,,,,1,environmentally harmful subsidies (removal),nature-based funding,legislative arrangements,governance,TRUE
removal harmful subsidies,,1,,,,1,environmentally harmful subsidies (removal),nature-based funding,legislative arrangements,governance,FALSE
equitability (commonness and rareness),,1,,,,1,equitability (commonness and rareness),state of biodiveristy,biodiversity,biodiversity,FALSE
equality,,,,1,,1,equity,equity,equity and freedom of choice and action,wellness,FALSE
equity,,1,,,,1,equity,equity,equity and freedom of choice and action,wellness,FALSE
"equity (osical indicators such as gender, age, race, ethnicity, income or dimensions of difference)",,1,,,,1,equity,equity,equity and freedom of choice and action,wellness,FALSE
establish maximum-minimum income ratios,,,1,,,1,establish maximum-minimum income ratios,information on society,scientific knowledge,scientific knowledge,FALSE
establishment success indicators,,1,,,,1,establishment success indicators,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,1,,,,,,estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,nature-based funding,legislative arrangements,governance,FALSE
european union forest law enforcement and governance and trade action plan,,,,1,,1,european union forest law enforcement and governance and trade action plan,nature-based legislation,legislative arrangements,governance,FALSE
eutrophication,,1,,,,1,eutrophication,pollution,pollution,direct drivers,FALSE
"evaluations of the quantity and quality of species, habitats and interactions, to those embedded in stories, songs, ceremonies, oral histories and what ex situ actors might view as ""art""",,,,1,,1,"evaluations of the quantity and quality of species, habitats and interactions, to those embedded in stories, songs, ceremonies, oral histories and what ex situ actors might view as ""art""",ILK,ILK,ILK,FALSE
evapotranspiration,,1,,,,1,evapotranspiration,state of ecosystems,ecosystems,ecosystems,FALSE
evapotranspiration (model ensamble),,1,,,,1,evapotranspiration,state of ecosystems,ecosystems,ecosystems,FALSE
evapotranspiration (model ensemble),,1,,,,1,evapotranspiration,state of ecosystems,ecosystems,ecosystems,FALSE
changing status of evolutionary distinct and globally endangered species (edge index),1,,,,,,evolutionary distinct and globally endangered species (edge index),state of biodiveristy,biodiversity,biodiversity,FALSE
existence of independent national human rights institutions in compliance with the paris principles,,,,,1,,existence of independent national human rights institutions in compliance with the paris principles,equity,equity and freedom of choice and action,wellness,FALSE
existence of non-crop or urban in a place dominated by either,,1,,,,1,existence of non-crop or urban in a place dominated by either,land conversion,land conversion,direct drivers,FALSE
exploitation rates,,1,,,,1,exploitation rates,exploitation,exploitation,direct drivers,FALSE
export and import data,,1,,,,1,exports of goods and services,monetary nature contribution,ecosystem services,ecosystem services,FALSE
export and import of commodity data,,1,,,,1,exports of goods and services,monetary nature contribution,ecosystem services,ecosystem services,FALSE
exposure to episodic stress,,1,,,,1,exposure to episodic stress,wellness/well-being,health,wellness,FALSE
agricultural land,,1,,,,1,extent of agricultural land,land conversion,land conversion,direct drivers,FALSE
extent of agricultural land - potential land for food and feed production,,1,,,,1,extent of agricultural land,land conversion,land conversion,direct drivers,FALSE
extent of agricultural land - potential land for material production,,1,,,,1,extent of agricultural land,land conversion,land conversion,direct drivers,FALSE
extent of each ecoregion globally,,1,,,,1,extent of ecoregions,state of ecosystems,ecosystems,ecosystems,FALSE
extent of forested land,,1,,,,1,extent of forested land,land conversion,land conversion,direct drivers,FALSE
extent of intact forest landscapes,,1,,,,1,extent of intact forest landscapes,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
extent of irrigated area,,1,,,,1,extent of irrigated area,land conversion,land conversion,direct drivers,FALSE
how much kw hrs that are dependent on water ag: irrigated area,,1,,,,1,extent of irrigated area,land conversion,land conversion,direct drivers,FALSE
extent of marine calcification,,1,,,,1,extent of marine calcification,pollution,pollution,direct drivers,FALSE
extent of marine wilderness,,1,,,,1,extent of marine wilderness,state of ecosystems (marine),ecosystems,ecosystems,FALSE
ecosystem extent,,1,,,,1,extent of natural ecosystems,state of ecosystems,ecosystems,ecosystems,FALSE
extent of natural ecosystems,1,,,,,,extent of natural ecosystems,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
extent of natural ecosystems by type,1,,,,,,extent of natural ecosystems,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
"indicators of ecosystem structure, community composition and species populations are ~20% lower in these 'hotspots' of rare and endemic species and are declining much faster",,1,,,,1,extent of natural ecosystems,state of ecosystems,ecosystems,ecosystems,FALSE
"indicators of the extent and structural condition of ecosystems, of the composition of ecological communities, and of species populations overwhelmingly show net declines over recent decades; most of the exceptions are themselves symptoms of damage (e.g. the biomass of prey fish has increased, but this is because humanity has harvested most of the bigger fish that prey on them; and terrestrial vegetation biomass - though still only around half its natural baseline level - has increased slightly in recent decades",,1,,,,1,extent of natural ecosystems,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
extent of natural habitat in agricultural areas,,1,,,,1,extent of natural habitat in agricultural areas,state of ecosystems,ecosystems,ecosystems,FALSE
extent of suitable habitat,,1,,,,1,extent of suitable habitat,state of biodiveristy,biodiversity,biodiversity,FALSE
extent of suitable habitat index,,1,,,,1,extent of suitable habitat,state of biodiveristy,biodiversity,biodiversity,FALSE
extent of suitable habitat (mammals),,1,,,,1,extent of suitable habitat (mammals),state of biodiveristy,biodiversity,biodiversity,FALSE
extent of terrestrial wilderness,,1,,,,1,extent of terrestrial wilderness,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
extent of terrestrial wildness,,1,,,,1,extent of terrestrial wildness,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,,,,1,1,1,extent of use of country-owned results frameworks and planning tools by providers of development cooperation,national/international cooperation,legislative arrangements,governance,FALSE
in-situ indicator: showing the extent to which wild species economically used across the world are conserved in situ (through conservation areas),,,,1,,1,extent to which wild species economically used across the world are conserved in situ (through conservation areas),monetary nature contribution,ecosystem services,ecosystem services,FALSE
extraction all of biomass,,1,,,,1,extraction all of biomass,exploitation,exploitation,direct drivers,FALSE
extraction other biomass,,1,,,,1,extraction all of biomass,exploitation,exploitation,direct drivers,FALSE
extraction biomass animals,,1,,,,1,extraction of living biomass,exploitation,exploitation,direct drivers,FALSE
extraction biomass feed,,1,,,,1,extraction of living biomass,exploitation,exploitation,direct drivers,FALSE
extraction biomass food,,1,,,,1,extraction of living biomass,exploitation,exploitation,direct drivers,FALSE
extraction biomass forstry,,1,,,,1,extraction of living biomass,exploitation,exploitation,direct drivers,FALSE
extraction of living biomass,,1,,,,1,extraction of living biomass,exploitation,exploitation,direct drivers,FALSE
extraction fossil fuel,,1,,,,1,extraction of nonliving materials,exploitation,exploitation,direct drivers,FALSE
extraction of ind. & const. minerals,,1,,,,1,extraction of nonliving materials,exploitation,exploitation,direct drivers,FALSE
extraction of nonliving materials,,1,,,,1,extraction of nonliving materials,exploitation,exploitation,direct drivers,FALSE
extraction ores,,1,,,,1,extraction of nonliving materials,exploitation,exploitation,direct drivers,FALSE
extreme climate events,,1,,,,1,extreme climate events,climate change,climate change,direct drivers,FALSE
near- or on-farm habitat diversity,,1,,,,1,farm habitat diversity,state of biodiveristy,biodiversity,biodiversity,FALSE
farm size distribution,,1,,,,1,farm size distribution,monetary nature contribution,ecosystem services,ecosystem services,FALSE
"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",,,,1,1,1,fatal and non-fatal occupational injuries,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
fertilizer use,1,,,,,,fertilizer use,pollution,pollution,direct drivers,FALSE
fertilizer use: fertilizer consumption measures the quantity of plant nutrients,,1,,,,1,fertilizer use,pollution,pollution,direct drivers,FALSE
fertilizers used per unit area,,1,,,,1,fertilizer use,pollution,pollution,direct drivers,FALSE
finance mobilized for capacity-building,1,,,,,,finance mobilized for capacity-building,information on socio-economics,scientific knowledge,scientific knowledge,FALSE
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",1,,,,,,"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",information on socio-economics,scientific knowledge,scientific knowledge,FALSE
"financial and technical assistance provided in dollars (including through south-south, north-south and triangular cooperation)",1,,,,,,"financial and technical assistance provided in dollars (including through south-south, north-south and triangular cooperation)",national/international cooperation,legislative arrangements,governance,FALSE
financial resources,,1,,,,1,financial resources,state of economy,financial assets,financial assets,FALSE
financial soundness indicators,,,,,1,,financial soundness indicators,state of economy,financial assets,financial assets,FALSE
annual mean levels of fine particulate matter (e.g. pm2.5 and pm10) in cities (population weighted),,,,1,1,1,fine particulate matter in cities,pollution,pollution,direct drivers,FALSE
fires: lowered fuel load,,1,,,,1,fire regulation,nature contribution,ecosystem services,ecosystem services,FALSE
fish abundance and biomass,1,,,,,,fish abundance and biomass,state of biodiveristy,biodiversity,biodiversity,FALSE
fish biometry and size distributions,,,,1,,1,fish biometry and size distributions,state of biodiveristy,biodiversity,biodiversity,FALSE
fish catch potential,,1,,,,1,fish catch potential,monetary nature contribution,ecosystem services,ecosystem services,FALSE
maximum fish catch potential,1,,,,,,fish catch potential,monetary nature contribution,ecosystem services,ecosystem services,FALSE
fish consumption,,,,1,,1,fish consumption,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
fish stocks biologically sustaiable,,1,,,,1,fish stocks within biologically sustainable levels,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
fish stocks biologically sustainable,,1,,,,1,fish stocks within biologically sustainable levels,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
fish stocks within biologically sustainable levels,,1,,,,1,fish stocks within biologically sustainable levels,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
proportion of fish stocks within biologically sustainable levels,1,1,,1,1,1,fish stocks within biologically sustainable levels,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
proportion of fish stocks within safe biological limits,,1,,,,1,fish stocks within biologically sustainable levels,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
fisheries management effectiveness index,,1,,,,1,fisheries management effectiveness index,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
fisheries management index,,1,,,,1,fisheries management index,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
fisheries revenues,,1,,,,1,fisheries revenues,monetary nature contribution,ecosystem services,ecosystem services,FALSE
fishing effort,,,,1,,1,fishing effort,exploitation,exploitation,direct drivers,FALSE
fishing pressure,,,,1,,1,fishing pressure,exploitation,exploitation,direct drivers,FALSE
"fixed internet broadband subscriptions per 100 inhabitants, by speed6",,,,,1,,fixed internet broadband subscriptions,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
fleshy algae cover,1,,,,,,fleshy algae cover,state of ecosystems (marine),ecosystems,ecosystems,FALSE
floating plastic debris density [by micro and macro plastics],1,,,,,,floating plastic debris density,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
floods: lowered flood peaks,,1,,,,1,flood regulation,nature contribution,ecosystem services,ecosystem services,FALSE
floodplain area,,1,,,,1,floodplain area,state of ecosystems,ecosystems,ecosystems,FALSE
food quantitative: kcal capita,,1,,,,1,food,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
food harvest intensity,,,,1,,1,food harvest intensity,monetary nature contribution,ecosystem services,ecosystem services,FALSE
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",1,,,,,,food insecurity experience scale,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale (fies)",,,,1,1,1,food insecurity experience scale,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
(a) food loss index and (b) food waste index,,,,1,1,1,food loss index,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
food prices,,1,,,,1,food prices,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
food produced,,1,,,,1,food produced,exploitation,exploitation,direct drivers,FALSE
food qualitative: dietary diversity,,1,,,,1,food quality,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
food quality,,1,,,,1,food quality,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
quality of food species,,,,1,,1,food quality,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
food security,,1,,1,,1,food security,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
food security and climate change,,1,,,,1,food security,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
food security index,,1,,,,1,food security index,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
food shortages,,1,,,,1,food shortages,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
reduced food spoilage,,1,,,,1,food waste,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
(a) food loss index and (b) food waste index,,,,1,1,1,food waste index,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,TRUE
food waste index,1,,,,,,food waste index,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"food, feed, timber and bioenergy production services",,1,,,,1,"food, feed, timber and bioenergy production services",nature contribution,ecosystem services,ecosystem services,FALSE
"foreign direct investment, official development assistance and south-south cooperation as a proportion of gross national income",,,,1,,1,official development assistance,national/international cooperation,legislative arrangements,governance,FALSE
above-ground biomass stock in forest (tonnes/ha),1,,,,,,forest above ground biomass,state of ecosystems,ecosystems,ecosystems,FALSE
forest above ground biomass,,1,,,,1,forest above ground biomass,state of ecosystems,biodiversity,biodiversity,FALSE
forest and cultivated land npp,,1,,,,1,forest and cultivated land npp,state of ecosystems,ecosystems,ecosystems,FALSE
area and percent of forests used for subsistence purposes,,,,1,,1,forest are used for subsistence purposes,nature contribution,ecosystem services,ecosystem services,FALSE
extent of forests,,1,,,,1,forest area,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
forest area,,1,,,,1,forest area,state of ecosystems (coverage),ecosystems,ecosystems,FALSE
forest area as a percentage of total land area,,1,,,,1,forest area,state of ecosystems,ecosystems,ecosystems,FALSE
forest area as a proportion of total land area,1,,,1,1,1,forest area,state of ecosystems,ecosystems,ecosystems,FALSE
forest distribution,1,,,,,,forest distribution,state of ecosystems,ecosystems,ecosystems,FALSE
forest fragmentation index,1,,,,,,forest fragmentation index,state of ecosystems (connectivity),ecosystems,ecosystems,FALSE
forest landscape integrity index,1,,,,,,forest landscape integrity index,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
global forest-specialist bird richness,,1,,,,1,forest-specialist bird richness,state of biodiveristy,biodiversity,biodiversity,FALSE
global forest-specialist bird richness (csar),,1,,,,1,forest-specialist bird richness,state of biodiveristy,biodiversity,biodiversity,FALSE
forest-specialist bird species per grid cell,,1,,,,1,forest-specialist birds,state of biodiveristy,biodiversity,biodiversity,FALSE
forest-specialist bird species per grid cell (csar),,1,,,,1,forest-specialist birds,state of biodiveristy,biodiversity,biodiversity,FALSE
forestry production & trade (wood fuel),1,,,,,,forestry production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
fossil fuel energy consumption (% of total),,1,,,,1,fossil-fuel consumption,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
amount of fossil-fuel subsidies (production and consumption) per unit of gdp,,,,,1,,fossil-fuel subsidies,anti-nature legislation,legislative arrangements,governance,FALSE
amount of fossil-fuel subsidies per unit of gdp (production and consumption),1,,,,,,fossil-fuel subsidies,anti-nature legislation,legislative arrangements,governance,FALSE
trends in the number and value of government fossil fuel support measures,1,,,,,,fossil-fuel subsidies,anti-nature legislation,legislative arrangements,governance,FALSE
fraction of cultivated and urban area,,1,,,,1,fraction of cultivated and urban area,land conversion,land conversion,direct drivers,FALSE
fraction of ocean not fished per year,,1,,,,1,fraction of ocean not fished per year,state of ecosystems,ecosystems,ecosystems,FALSE
fraction of species locally known and used medicinally,,1,,,,1,fraction of species locally known and used medicinally,nature contribution,ecosystem services,ecosystem services,FALSE
free flowing rivers,1,,,,,,free flowing rivers,state of ecosystems (freshwater/coastal),ecosystems,ecosystems,FALSE
freedom of choice and action,,1,,,,1,freedom of choice and action,equity,equity and freedom of choice and action,wellness,FALSE
indicators of the options that citizens have (also called 'freedoms'),,1,,,,1,freedoms,freedom of choice,equity and freedom of choice and action,wellness,FALSE
"freshwater, marine and urban pollution",,1,,,,1,"freshwater, marine and urban pollution",pollution,pollution,direct drivers,FALSE
tonnage of fuelwood or biomass estimates in forests,,1,,,,1,fuelwood biomass,monetary nature contribution,ecosystem services,ecosystem services,FALSE
full access to marine resources,,,,1,,1,full access to marine resources,access to food,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"functional diversity (fd), rarity, redundancy, vulnerability",,1,,,,1,functional diversity (fd),genetic resources,biodiversity,biodiversity,FALSE
functional intactness,,1,,,,1,functional intactness,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
functional intactness (madingley),,1,,,,1,functional intactness,state of biodiveristy,biodiversity,biodiversity,FALSE
functional intactness (madingley),,1,,,,1,functional intactness,state of ecosystems,ecosystems,ecosystems,TRUE
community weighted mean of traits,,1,,,,1,functional richness,genetic resources,biodiversity,biodiversity,FALSE
functional betadiversity,,1,,,,1,functional richness,genetic resources,biodiversity,biodiversity,FALSE
functional richness,,1,,,,1,functional richness,state of biodiveristy,biodiversity,biodiversity,FALSE
functional richness (madingley),,1,,,,1,functional richness,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
trait convergence assembly pattern (tcap),,1,,,,1,functional richness,genetic resources,biodiversity,biodiversity,FALSE
trait divergence assembly pattern (tdap),,1,,,,1,functional richness,genetic resources,biodiversity,biodiversity,FALSE
funding for environmental education,,1,,,,1,funding for environmental education,nature-based funding,legislative arrangements,governance,FALSE
funding for environmental impact assessments,,1,,,,1,funding for environmental impact assessments,nature-based funding,legislative arrangements,governance,FALSE
funding commmitted to environmental research,,1,,,,1,funding for environmental research,nature-based funding,legislative arrangements,governance,FALSE
funding provided by the global environment facility,,1,,,,1,funding provided by the global environment facility,nature-based funding,legislative arrangements,governance,FALSE
funding towards institutional capacity-building in fisheries,,1,,,,1,funding towards institutional capacity-building in fisheries,nature-based funding,legislative arrangements,governance,FALSE
funding towards nature reserves,,1,,,,1,funding towards nature reserves,nature-based funding,legislative arrangements,governance,FALSE
funding towards species protection,,1,,,,1,funding towards species protection,nature-based funding,legislative arrangements,governance,FALSE
gamma diversity (total diversity of species in a landscape),,1,,,,1,gamma diversity (total diversity of species in a landscape),state of biodiveristy,biodiversity,biodiversity,FALSE
gender,,,,1,,1,gender,equity,equity and freedom of choice and action,wellness,FALSE
gender equality,,1,,,,1,gender equality,equity,equity and freedom of choice and action,wellness,FALSE
indicator on national implementation of the gender plan of action,1,,,,,,gender plan of action,equity,equity and freedom of choice and action,wellness,FALSE
genetic diversity,,1,,,,1,genetic diversity,genetic resources,biodiversity,biodiversity,FALSE
genetic erosion and diversity,,1,,,,1,genetic erosion and diversity,genetic resources,biodiversity,biodiversity,FALSE
genetic resources and especially agrodiversity known to date and its linkage to food security,,1,,,,1,genetic resources and especially agrodiversity,nature contribution,ecosystem services,ecosystem services,FALSE
"elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles",,1,,,,1,genetic resources of interest to science,genetic resources,biodiversity,biodiversity,FALSE
in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations.,,1,,,,1,genetic resources of interest to science,genetic resources,biodiversity,biodiversity,FALSE
genetic scorecard for wild species,1,,,,,,genetic scorecard for wild species,genetic resources,biodiversity,biodiversity,FALSE
cohesion,,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
complexity,,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
connectance (numbers of links by the number of nodes),,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
dissimilarity,,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
endemism (% endemics in community),,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
hamming distance,,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
homeostasis,,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
neutral variation (markers not linked to traits under selection),,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
non-neutral variation (markers linked to traits under selection),,1,,,,1,genetic variation,genetic resources,biodiversity,biodiversity,FALSE
