Goal/target,Indicator name,indicator_type,indic_id,indicator_name
Goal B,"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves",complementary,GBF_GB_CY_82,"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves"
Goal B,Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,complementary,GBF_GB_CY_83,Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages
Goal B,"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",complementary,GBF_GB_CY_84,"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity"
Goal B,Cultural vitality index,complementary,GBF_GB_CY_85,Cultural vitality index
Goal B,UNESCO Culture 2030 (multiple indicators),complementary,GBF_GB_CY_86,UNESCO Culture 2030 (multiple indicators)
Goal B,Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports,complementary,GBF_GB_CY_87,Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports
Goal B,Red List Index (for internationally traded species),complementary,GBF_GB_CY_88,Red List Index (for internationally traded species)
Goal C,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,complementary,GBF_GC_CY_89,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints
Goal C,Total number of internationally recognized certificates published in the ABS Clearing-House,complementary,GBF_GC_CY_90,Total number of internationally recognized certificates published in the ABS Clearing-House
Goal C,Number of checkpoint communiques published in the ABS Clearing-House,complementary,GBF_GC_CY_91,Number of checkpoint communiques published in the ABS Clearing-House
Goal C,Number of internationally recognized certificates of compliance for non-commercial purposes,complementary,GBF_GC_CY_92,Number of internationally recognized certificates of compliance for non-commercial purposes
Goal C,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting.",complementary,GBF_GC_CY_93,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting."
Goal D,Finance mobilized for capacity-building,complementary,GBF_GD_CY_94,Finance mobilized for capacity-building
Goal D,"Financial and technical assistance provided in dollars (including through South-South, NorthSouth and triangular cooperation)",complementary,GBF_GD_CY_95,"Financial and technical assistance provided in dollars (including through South-South, NorthSouth and triangular cooperation)"
Goal D,"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",complementary,GBF_GD_CY_96,"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology"
Goal D,"Number of scientists per population
",complementary,GBF_GD_CY_97,"Number of scientists per population
"
Goal D,Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector,complementary,GBF_GD_CY_98,Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector
Goal D,Nationally maintained research vessels,complementary,GBF_GD_CY_99,Nationally maintained research vessels
Goal D,Proportion of total research budget allocated to research in the field of marine technology,complementary,GBF_GD_CY_100,Proportion of total research budget allocated to research in the field of marine technology
Goal D,Volume of official development assistance flows for scholarships by sector and type of study,complementary,GBF_GD_CY_101,Volume of official development assistance flows for scholarships by sector and type of study
Goal D,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,complementary,GBF_GD_CY_102,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories
Goal D,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",complementary,GBF_GD_CY_103,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
Target 1,Number of countries using natural capital accounts in planning processes,complementary,GBF_T1_CY_104,Number of countries using natural capital accounts in planning processes
Target 1,Percentage of spatial plans utilizing information on key biodiversity areas,complementary,GBF_T1_CY_105,Percentage of spatial plans utilizing information on key biodiversity areas
Target 1,Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),complementary,GBF_T1_CY_106,Habitat patches located within marine protected areas or integrated coastal zone management (ICZM)
Target 1,Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1),complementary,GBF_T1_CY_107,Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1)
Target 1,Number of countries using ocean accounts in planning processes,complementary,GBF_T1_CY_108,Number of countries using ocean accounts in planning processes
Target 1,Proportion of transboundary basin area with an operational arrangement for water cooperation,complementary,GBF_T1_CY_109,Proportion of transboundary basin area with an operational arrangement for water cooperation
Target 1,Percent of total land area that is under cultivation,complementary,GBF_T1_CY_110,Percent of total land area that is under cultivation
Target 1,Extent of natural ecosystems by type,complementary,GBF_T1_CY_111,Extent of natural ecosystems by type
Target 1,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation.",complementary,GBF_T1_CY_112,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation."
Target 1,Ecosystem Integrity Index,complementary,GBF_T1_CY_113,Ecosystem Integrity Index
Target 2,Habitat distributional range,complementary,GBF_T2_CY_114,Habitat distributional range
Target 2,"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas",complementary,GBF_T2_CY_115,"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas"
Target 2,Increase in secondary natural forest cover,complementary,GBF_T2_CY_116,Increase in secondary natural forest cover
Target 2,Annual Tropical Primary Tree Cover Loss,complementary,GBF_T2_CY_117,Annual Tropical Primary Tree Cover Loss
Target 2,Forest Landscape Integrity Index,complementary,GBF_T2_CY_118,Forest Landscape Integrity Index
Target 2,Global Ecosystem Restoration Index,complementary,GBF_T2_CY_119,Global Ecosystem Restoration Index
Target 2,Free flowing rivers,complementary,GBF_T2_CY_120,Free flowing rivers
Target 2,Percentage of cropped landscapes with at least 10 % natural land,complementary,GBF_T2_CY_121,Percentage of cropped landscapes with at least 10 % natural land
Target 2,Bioclimatic Ecosystem Resilience Index (BERI),complementary,GBF_T2_CY_122,Bioclimatic Ecosystem Resilience Index (BERI)
Target 2,Priority retention of intact / wilderness areas,complementary,GBF_T2_CY_123,Priority retention of intact / wilderness areas
Target 2,Status of Key Biodiversity Areas,complementary,GBF_T2_CY_124,Status of Key Biodiversity Areas
Target 2,Biodiversity Habitat Index,complementary,GBF_T2_CY_125,Biodiversity Habitat Index
Target 2,Red List Index,complementary,GBF_T2_CY_126,Red List Index
Target 2,Red List of Ecosystems,complementary,GBF_T2_CY_127,Red List of Ecosystems
Target 2,Living Planet Index,complementary,GBF_T2_CY_128,Living Planet Index
Target 2,Species habitat Index,complementary,GBF_T2_CY_129,Species habitat Index
Target 3,"Protected area downgrading, downsizing and degazettement (PD)",complementary,GBF_T3_CY_130,"Protected area downgrading, downsizing and degazettement (PD)"
Target 3,Status of key biodiversity areas,complementary,GBF_T3_CY_131,Status of key biodiversity areas
Target 3,IUCN Green List of Protected and Conserved Areas,complementary,GBF_T3_CY_132,IUCN Green List of Protected and Conserved Areas
Target 3,Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),complementary,GBF_T3_CY_133,Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves)
Target 3,Protected area and OECM management effectiveness (MEPCA) indicator,complementary,GBF_T3_CY_134,Protected area and OECM management effectiveness (MEPCA) indicator
Target 3,Protected Area Isolation Index (PAI),complementary,GBF_T3_CY_135,Protected Area Isolation Index (PAI)
Target 3,Protected Areas Network metric (ProNet),complementary,GBF_T3_CY_136,Protected Areas Network metric (ProNet)
Target 3,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,complementary,GBF_T3_CY_137,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species
Target 3,Coverage of Protected areas and OECMS and traditional territories (by governance type),complementary,GBF_T3_CY_138,Coverage of Protected areas and OECMS and traditional territories (by governance type)
Target 3,Ramsar Management Effectiveness Tracking Tool (R-METT),complementary,GBF_T3_CY_139,Ramsar Management Effectiveness Tracking Tool (R-METT)
Target 3,Percentage of biosphere reserves that have a positive conservation outcome and effective management,complementary,GBF_T3_CY_140,Percentage of biosphere reserves that have a positive conservation outcome and effective management
Target 3,Extent of indigenous peoples and local communities lands that have some form of recognition,complementary,GBF_T3_CY_141,Extent of indigenous peoples and local communities lands that have some form of recognition
Target 3,Species Protection Index,complementary,GBF_T3_CY_142,Species Protection Index
Target 3,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation",complementary,GBF_T3_CY_143,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation"
Target 3,Red List of Ecosystems,complementary,GBF_T3_CY_144,Red List of Ecosystems
Target 3,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",complementary,GBF_T3_CY_145,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures"
Target 4,Species threat abatement and restoration metric,complementary,GBF_T4_CY_146,Species threat abatement and restoration metric
Target 4,Changing status of evolutionary distinct and globally endangered species (EDGE Index),complementary,GBF_T4_CY_147,Changing status of evolutionary distinct and globally endangered species (EDGE Index)
Target 4,Percentage of threatened species that are improving in status,complementary,GBF_T4_CY_148,Percentage of threatened species that are improving in status
Target 4,Number of CMS daughter agreements,complementary,GBF_T4_CY_149,Number of CMS daughter agreements
Target 4,Proportion of local breeds classified as being at risk extinction,complementary,GBF_T4_CY_150,Proportion of local breeds classified as being at risk extinction
Target 4,Red List Index (wild relatives of domesticated animals),complementary,GBF_T4_CY_151,Red List Index (wild relatives of domesticated animals)
Target 4,Rate of invasive alien species establishment,complementary,GBF_T4_CY_152,Rate of invasive alien species establishment
Target 5,Sustainable watershed and inland fisheries index,complementary,GBF_T5_CY_153,Sustainable watershed and inland fisheries index
Target 5,Red List Index (for internationally traded species and for migratory species),complementary,GBF_T5_CY_154,Red List Index (for internationally traded species and for migratory species)
Target 5,Marine Stewardship Council Fish catch,complementary,GBF_T5_CY_155,Marine Stewardship Council Fish catch
Target 5,Total catch of cetaceans under International Convention for the Regulation of Whaling,complementary,GBF_T5_CY_156,Total catch of cetaceans under International Convention for the Regulation of Whaling
Target 5,By catch of vulnerable and non-target species,complementary,GBF_T5_CY_157,By catch of vulnerable and non-target species
Target 5,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",complementary,GBF_T5_CY_158,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
Target 5,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,complementary,GBF_T5_CY_159,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction
Target 5,Illegal trade by CITES species classification,complementary,GBF_T5_CY_160,Illegal trade by CITES species classification
Target 5,Number of countries incorporating trade in their national biodiversity policy,complementary,GBF_T5_CY_161,Number of countries incorporating trade in their national biodiversity policy
Target 5,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",complementary,GBF_T5_CY_162,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures"
Target 5,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,complementary,GBF_T5_CY_163,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats
Target 5,Number of MSC Chain of Custody Certification holders by distribution country,complementary,GBF_T5_CY_164,Number of MSC Chain of Custody Certification holders by distribution country
Target 5,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),complementary,GBF_T5_CY_165,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements)
Target 6,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,complementary,GBF_T6_CY_166,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species
Target 6,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",complementary,GBF_T6_CY_167,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)"
Target 6,Red List Index (impacts of invasive alien species),complementary,GBF_T6_CY_168,Red List Index (impacts of invasive alien species)
Target 7,Trends in Loss of Reactive Nitrogen to the Environment.,complementary,GBF_T7_CY_169,Trends in Loss of Reactive Nitrogen to the Environment.
Target 7,Trends in Nitrogen Deposition,complementary,GBF_T7_CY_170,Trends in Nitrogen Deposition
Target 7,Municipal solid waste collected and managed,complementary,GBF_T7_CY_171,Municipal solid waste collected and managed
Target 7,Hazardous waste generation,complementary,GBF_T7_CY_172,Hazardous waste generation
Target 7,Trends in the amount of litter in the water column including microplastics and on the seafloor,complementary,GBF_T7_CY_173,Trends in the amount of litter in the water column including microplastics and on the seafloor
Target 7,Index of coastal eutrophication; (b) plastic debris density,complementary,GBF_T7_CY_174,Index of coastal eutrophication; (b) plastic debris density
Target 7,Red List of Ecosystems,complementary,GBF_T7_CY_175,Red List of Ecosystems
Target 7,Underwater noise pollution,complementary,GBF_T7_CY_176,Underwater noise pollution
Target 7,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",complementary,GBF_T7_CY_177,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)"
Target 7,Pesticide use per area of cropland,complementary,GBF_T7_CY_178,Pesticide use per area of cropland
Target 8,Above-ground biomass stock in forest (tonnes/ha),complementary,GBF_T8_CY_179,Above-ground biomass stock in forest (tonnes/ha)
Target 8,National greenhouse inventories from land use and land use change,complementary,GBF_T8_CY_180,National greenhouse inventories from land use and land use change
Target 8,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,complementary,GBF_T8_CY_181,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
Target 8,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",complementary,GBF_T8_CY_182,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications"
Target 8,Index of coastal eutrophication,complementary,GBF_T8_CY_183,Index of coastal eutrophication
Target 8,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover",complementary,GBF_T8_CY_184,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover"
Target 9,Proportion of fish stocks within biologically sustainable levels,complementary,GBF_T9_CY_185,Proportion of fish stocks within biologically sustainable levels
Target 9,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",complementary,GBF_T9_CY_186,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
Target 9,Number of MSC Chain of Custody Certification holders by distribution country,complementary,GBF_T9_CY_187,Number of MSC Chain of Custody Certification holders by distribution country
Target 9,Spawning stock biomass (related to commercially exploited species),complementary,GBF_T9_CY_188,Spawning stock biomass (related to commercially exploited species)
Target 9,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities,complementary,GBF_T9_CY_189,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities
Target 9,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size,complementary,GBF_T9_CY_190,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size
Target 10,Agrobiodiversity Index,complementary,GBF_T10_CY_191,Agrobiodiversity Index
Target 10,Changes in soil organic carbon stocks,complementary,GBF_T10_CY_192,Changes in soil organic carbon stocks
Target 10,Red List Index (wild relatives of domesticated animals),complementary,GBF_T10_CY_193,Red List Index (wild relatives of domesticated animals)
Target 10,Red List Index (pollinating species),complementary,GBF_T10_CY_194,Red List Index (pollinating species)
Target 10,Proportion of local breeds classified as being at risk extinction,complementary,GBF_T10_CY_195,Proportion of local breeds classified as being at risk extinction
Target 10,Proportion of land that is degraded over total land area,complementary,GBF_T10_CY_196,Proportion of land that is degraded over total land area
Target 11,Air emission accounts,complementary,GBF_T11_CY_197,Air emission accounts
Target 11,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,complementary,GBF_T11_CY_198,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management
Target 11,Proportion of population using safely managed drinking water services,complementary,GBF_T11_CY_199,Proportion of population using safely managed drinking water services
Target 11,Mortality rate attributed to household and ambient air pollution,complementary,GBF_T11_CY_200,Mortality rate attributed to household and ambient air pollution
Target 12,None adopted,complementary,GBF_T12_CY_201,
Target 13,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,complementary,GBF_T13_CY_202,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country
Target 13,"Total number of permits, or their equivalent, granted for access to genetic resources",complementary,GBF_T13_CY_203,"Total number of permits, or their equivalent, granted for access to genetic resources"
Target 13,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,complementary,GBF_T13_CY_204,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House
Target 13,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House",complementary,GBF_T13_CY_205,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House"
Target 13,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,complementary,GBF_T13_CY_206,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House
Target 13,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",complementary,GBF_T13_CY_207,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
Target 13,Estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity,complementary,GBF_T13_CY_208,Estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity
Target 14,Human Appropriation of Net Primary Production (HANPP),complementary,GBF_T14_CY_209,Human Appropriation of Net Primary Production (HANPP)
Target 14,CO2 emission per unit of value added,complementary,GBF_T14_CY_210,CO2 emission per unit of value added
Target 14,Change in water-use efficiency over time,complementary,GBF_T14_CY_211,Change in water-use efficiency over time
Target 15,Species threat abatement and restoration metric,complementary,GBF_T15_CY_212,Species threat abatement and restoration metric
Target 15,Number of companies publishing sustainability reports,complementary,GBF_T15_CY_213,Number of companies publishing sustainability reports
Target 16,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)",complementary,GBF_T16_CY_214,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)"
Target 16,Recycling rate,complementary,GBF_T16_CY_215,Recycling rate
Target 16,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling,complementary,GBF_T16_CY_216,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling
Target 16,Levels of poverty in developing communities,complementary,GBF_T16_CY_217,Levels of poverty in developing communities
Target 17,Number of countries that have the necessary biosafety legal and administrative measures in place,complementary,GBF_T17_CY_218,Number of countries that have the necessary biosafety legal and administrative measures in place
Target 17,Number of countries that implement their biosafety measures,complementary,GBF_T17_CY_219,Number of countries that implement their biosafety measures
Target 17,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,complementary,GBF_T17_CY_220,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology
Target 17,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,complementary,GBF_T17_CY_221,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making
Target 17,Number of countries that establish and implement risk management measures,complementary,GBF_T17_CY_222,Number of countries that establish and implement risk management measures
Target 17,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol,complementary,GBF_T17_CY_223,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol
Target 17,Number of countries with legal and technical measures for restoration and compensation,complementary,GBF_T17_CY_224,Number of countries with legal and technical measures for restoration and compensation
Target 17,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,complementary,GBF_T17_CY_225,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol
Target 17,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,complementary,GBF_T17_CY_226,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity
Target 17,Number of countries that establish and implement risk management measures,complementary,GBF_T17_CY_227,Number of countries that establish and implement risk management measures
Target 17,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,complementary,GBF_T17_CY_228,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health
Target 18,Number of countries with biodiversity-relevant taxes,complementary,GBF_T18_CY_229,Number of countries with biodiversity-relevant taxes
Target 18,Number of countries with biodiversity-relevant charges and fees,complementary,GBF_T18_CY_230,Number of countries with biodiversity-relevant charges and fees
Target 18,Number of countries with biodiversity-relevant tradable permit schemes,complementary,GBF_T18_CY_231,Number of countries with biodiversity-relevant tradable permit schemes
Target 18,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),complementary,GBF_T18_CY_232,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate)
Target 18,Trends in the number and value of government fossil fuel support measures,complementary,GBF_T18_CY_233,Trends in the number and value of government fossil fuel support measures
Target 18,Amount of fossil-fuel subsidies per unit of GDP (production and consumption),complementary,GBF_T18_CY_234,Amount of fossil-fuel subsidies per unit of GDP (production and consumption)
Target 19,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area,complementary,GBF_T19_CY_235,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area
Target 19,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",complementary,GBF_T19_CY_236,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget"
Target 19,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system,complementary,GBF_T19_CY_237,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system
Target 19,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries",complementary,GBF_T19_CY_238,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries"
Target 19,Dollar value of all resources made available to strengthen statistical capacity in developing countries,complementary,GBF_T19_CY_239,Dollar value of all resources made available to strengthen statistical capacity in developing countries
Target 19,Amount of biodiversity-related philanthropic funding,complementary,GBF_T19_CY_240,Amount of biodiversity-related philanthropic funding
Target 19,Proportion of total research budget allocated to research in the field of marine technology,complementary,GBF_T19_CY_241,Proportion of total research budget allocated to research in the field of marine technology
Target 19,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",complementary,GBF_T19_CY_242,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
Target 19,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes,complementary,GBF_T19_CY_243,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes
Target 19,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities",complementary,GBF_T19_CY_244,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities"
Target 20,None adopted,complementary,GBF_T20_CY_245,
Target 21,Growth in number of records and species in the Living Planet Index database,complementary,GBF_T21_CY_246,Growth in number of records and species in the Living Planet Index database
Target 21,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,complementary,GBF_T21_CY_247,Growth in species occurrence records accessible through the Global Biodiversity Information Facility
Target 21,Growth in marine species occurrence records accessible through OBIS,complementary,GBF_T21_CY_248,Growth in marine species occurrence records accessible through OBIS
Target 21,Proportion of known species assessed through the IUCN Red List.,complementary,GBF_T21_CY_249,Proportion of known species assessed through the IUCN Red List.
Target 21,Number of assessments on the IUCN Red List of threatened species,complementary,GBF_T21_CY_250,Number of assessments on the IUCN Red List of threatened species
Target 21,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors),complementary,GBF_T21_CY_251,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors)
Target 21,"Species Status Information Index
",complementary,GBF_T21_CY_252,"Species Status Information Index
"
Target 22,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary,GBF_T22_CY_253,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
Target 22,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,complementary,GBF_T22_CY_254,Number of countries with systems to track and make public allocations for gender equality and women's empowerment
Target 22,"Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary,GBF_T22_CY_255,"Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
Target 22,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,complementary,GBF_T22_CY_256,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control
Target 22,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),complementary,GBF_T22_CY_257,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE)
Target 22,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",complementary,GBF_T22_CY_258,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill"
Target 22,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],complementary,GBF_T22_CY_259,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure]
Target 22,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",complementary,GBF_T22_CY_260,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group"
Target 23,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary,GBF_T23_CY_261,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
Target 23,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary,GBF_T23_CY_262,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
