Goal/target,indicators_harmonized,indic_id,indicators_orig,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2
Goal A,forest landscape integrity index,GBF_CY_GA_23,"Forest Landscape Integrity Index
",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal A,biomass of selected natural ecosystems,GBF_CY_GA_24,"Biomass of selected natural ecosystems 
",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal A,biodiversity habitat index,GBF_CY_GA_25,Biodiversity Habitat Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Goal A,global vegetation health products,GBF_CY_GA_26,"Global Vegetation Health Products
",GBF,NA,Ecosystem Services,Nature Contribution,NA,NA
Goal A,bioclimatic ecosystem resilience index (beri),GBF_CY_GA_27,Bioclimatic Ecosystem Resilience Index (BERI),GBF,NA,Ecosystems,State Of Biodiversity,NA,NA
Goal A,relative magnitude of fragmentation (rmf),GBF_CY_GA_28,"Relative Magnitude of Fragmentation (RMF) 
",GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
Goal A,ecosystem intactness index,GBF_CY_GA_29,"Ecosystem Intactness Index
",GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
Goal A,biodiversity intactness index,GBF_CY_GA_30,"Biodiversity Intactness Index 
",GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Goal A,ocean health index,GBF_CY_GA_31,"Ocean Health Index 
",GBF,1,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA
Goal A,extent of physical damage indicator to predominant seafloor habitats physical damage,GBF_CY_GA_32,Extent of physical damage indicator to predominant seafloor habitats physical damage,GBF,NA,Direct Drivers,Land Conversion,NA,NA
Goal A,river fragmentation index,GBF_CY_GA_33,River Fragmentation Index,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,State Of Ecosystems (Freshwater/Coastal)
Goal A,dendritic connectivity index,GBF_CY_GA_34,Dendritic Connectivity Index,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal A,percentage of threatened species that are improving in status,GBF_CY_GA_35,Percentage of threatened species that are improving in status according to the Red List,GBF,NA,Biodiversity,Species Conservation,NA,Change In Biodiversity
Goal A,number of threatened species by species group,GBF_CY_GA_36,Number of threatened species by species group,GBF,NA,Biodiversity,Species Conservation,NA,NA
Goal A,wild bird index,GBF_CY_GA_37,Wild bird index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Goal A,mean species abundance (msa),GBF_CY_GA_38,Mean Species Abundance (MSA),GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Goal A,species protection index,GBF_CY_GA_39,Species Protection Index,GBF,1,Biodiversity,Species Conservation,NA,NA
Goal A,changes in plankton biomass and abundance,GBF_CY_GA_40,Changes in plankton biomass and abundance,GBF,NA,Biodiversity,Change In Biodiversity,NA,NA
Goal A,fish abundance and biomass,GBF_CY_GA_41,Fish abundance and biomass,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,genetic scorecard for wild species,GBF_CY_GA_42,Genetic scorecard for wild species,GBF,NA,Biodiversity,Genetic Resources,NA,NA
Goal A,species richness/local species richness (predicts),GBF_CY_GA_43,Species richness/Changes in local terrestrial diversity (PREDICTS),NA,NA,NA,NA,NA,NA
Goal A,marine species richness,GBF_CY_GA_44,"Marine species richness 
",GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF_CY_GA_45,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.,GBF,NA,Biodiversity,Species Conservation,Human Assets,Information On Biodiversity
Goal A,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_CY_GA_46,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF,1,Biodiversity,Genetic Resources,NA,NA
Goal A,proportion of local breeds classified as being at risk of extinction,GBF_CY_GA_47,Proportion of local breeds classified as being at risk extinction,"GBF,SDG",1,Biodiversity,Species Conservation,NA,NA
Goal A,red list index (wild relatives of farmed and domesticated species),GBF_CY_GA_48,Red List Index (wild relatives of domesticated animals),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution
Goal A,cms connectivity indicator,GBF_CY_GA_49,CMS Connectivity Indicator,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,species status index,GBF_CY_GA_50,Species Status Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Goal A,intact wilderness,GBF_CY_GA_51,"Intact Wilderness 
",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal A,loss of phylogenetic diversity,GBF_CY_GA_52,Expected Loss of Phylogenetic diversity,GBF,1,Biodiversity,Genetic Diversity,NA,NA
Goal A,proportion of populations maintained within species,GBF_CY_GA_53,Proportion of populations maintained within species,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,free flowing rivers,GBF_CY_GA_54,Free flowing rivers,GBF,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA
Goal B,levels of poverty in biodiversity depended communities,GBF_CY_GB_55,Levels of poverty in biodiversity depended communities,GBF,NA,Human Assets,Income,NA,State Of Economy
Goal B,ecological footprint,GBF_CY_GB_56,Ecological footprint,GBF,1,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA
Goal B,number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,GBF_CY_GB_57,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA
Goal B,loss of phylogenetic diversity,GBF_CY_GB_58,Expected loss of Phylogenetic Diversity,GBF,1,Biodiversity,Genetic Diversity,NA,NA
Goal B,red list index (pollinators),GBF_CY_GB_59,Red List Index (pollinating species),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution
Goal B,green status index (pollinators),GBF_CY_GB_60,Green status index (pollinators),GBF,NA,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution
Goal B,air quality index,GBF_CY_GB_61,Air quality index,GBF,NA,Ecosystems,Abiotic Conditions,Human Well-Being,Healthy Living Conditions
Goal B,air pollution emissions account,GBF_CY_GB_62,Air pollution emissions account,GBF,NA,Direct Drivers,Pollution,NA,NA
Goal B,zoonotic disease in wildlife,GBF_CY_GB_63,Zoonotic disease in wildlife,GBF,NA,Direct Drivers,(Infectious) Diseases,NA,NA
Goal B,climatic impact index,GBF_CY_GB_64,Climatic impact index,GBF,1,Direct Drivers,Climate Change,NA,NA
Goal B,ocean acidification,GBF_CY_GB_65,Ocean acidification,GBF,NA,Direct Drivers,Pollution,NA,NA
Goal B,level of water stress (freshwater withdrawal as a proportion of available freshwater resources),GBF_CY_GB_66,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,"GBF,SDG",1,Ecosystems,Change In Ecosystems,Biodiversity,NA
Goal B,proportion of bodies of water with good ambient water quality,GBF_CY_GB_67,Proportion of bodies of water with good ambient water quality,"GBF,SDG",1,Ecosystems,State Of Ecosystems,Human Well-Being,Healthy Living Conditions
Goal B,eflow index,GBF_CY_GB_68,Eflow index,GBF,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA
Goal B,change in the quality of inland water ecosystems over time,GBF_CY_GB_69,Change in the quality of inland water ecosystems over time,GBF,NA,Ecosystems,State Of Ecosystems,NA,Change In Ecosystems
Goal B,change in the quality of coastal water ecosystems over time,GBF_CY_GB_70,Change in the quality of coastal water ecosystems over time,GBF,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,Change In Ecosystems
Goal B,level of erosion,GBF_CY_GB_71,Level of erosion,GBF,NA,Ecosystems,State Of Ecosystems,Direct Drivers,Natural Drivers
Goal B,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_CY_GB_72,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","GBF,SDG",1,Direct Drivers,Natural Drivers,NA,NA
Goal B,intact wilderness,GBF_CY_GB_73,Intact wilderness,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal B,biofuel production,GBF_CY_GB_74,Biofuel production,GBF,NA,Ecosystem Services,Nature Contribution,NA,NA
Goal B,fish catch potential,GBF_CY_GB_75,Maximum fish catch potential,GBF,1,Ecosystem Services,Nature Contribution,NA,NA
Goal B,population involved in hunting and gathering,GBF_CY_GB_76,Population involved in hunting and gathering,GBF,NA,Human Assets,Coverage Of Basic Needs,Ecosystem Services,Nature Contribution
Goal B,"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_CY_GB_77,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale","GBF,SDG",1,Human Assets,Coverage Of Basic Needs,Human Well-Being,Healthy Living Conditions
Goal B,forestry production and trade (wood fuel),GBF_CY_GB_78,Forestry Production & Trade (Wood Fuel),GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal B,trends in the legal trade of medicinal plants,GBF_CY_GB_79,Trends in the legal trade of medicinal plants,GBF,NA,Human Assets,Income,Ecosystem Services,Nature Contribution
Goal B,visitor management assessment,GBF_CY_GB_80,Visitor management assessment,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA
Goal B,number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,GBF_CY_GB_81,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,GBF,NA,Human Well-Being,Cultural Diversity,Knowledge Systems,Information On Society And Socio-Economics
Goal B,"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",GBF_CY_GB_82,"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves",GBF,NA,Human Well-Being,Cultural Diversity,Knowledge Systems,Ilk
Goal B,linguistic diversity index - trends of bilinguistic diversity and numbers of speakers of indigenous languages,GBF_CY_GB_83,Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,NA,NA,NA,NA,NA,NA
Goal B,"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF_CY_GB_84,"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF,NA,Governance,Legislation/Governance,Human Well-Being,Cultural Diversity
Goal B,cultural vitality index,GBF_CY_GB_85,Cultural vitality index,GBF,NA,Human Well-Being,Cultural Diversity,NA,NA
Goal B,unesco culture 2030 (multiple indicators),GBF_CY_GB_86,UNESCO Culture 2030 (multiple indicators),GBF,NA,Governance,National/International Cooperation,NA,NA
Goal B,processes and tools to monitor the implementation of a right to a healthy environment (e.g. included in nbsaps and reported in national reports,GBF_CY_GB_87,Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports,NA,NA,NA,NA,NA,NA
Goal B,red list index (internationally traded species),GBF_CY_GB_88,Red List Index (for internationally traded species),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution
Goal C,number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_CY_GC_89,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF,NA,Biodiversity,Genetic Resources,NA,NA
Goal C,total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF_CY_GC_90,Total number of internationally recognized certificates published in the ABS Clearing-House,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA
Goal C,number of checkpoint communiques published in the abs clearing-house,GBF_CY_GC_91,Number of checkpoint communiques published in the ABS Clearing-House,GBF,NA,Governance,Legislation/Governance,NA,NA
Goal C,number of internationally recognized certificates of compliance for non-commercial purposes,GBF_CY_GC_92,Number of internationally recognized certificates of compliance for non-commercial purposes,GBF,NA,Governance,National/International Cooperation,NA,NA
Goal C,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",GBF_CY_GC_93,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting.","GBF,SDG",1,Governance,Nature-Based Funding,NA,NA
Goal D,finance mobilized for capacity-building,GBF_CY_GD_94,Finance mobilized for capacity-building,GBF,NA,Governance,Legislation/Governance,NA,NA
Goal D,"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",GBF_CY_GD_95,"Financial and technical assistance provided in dollars (including through South-South, NorthSouth and triangular cooperation)",GBF,NA,Governance,Legislation/Governance,NA,NA
Goal D,"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF_CY_GD_96,"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF,NA,Governance,Legislation/Governance,NA,NA
Goal D,number of scientists per population,GBF_CY_GD_97,"Number of scientists per population
",GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA
Goal D,joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,GBF_CY_GD_98,Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA
Goal D,nationally maintained research vessels,GBF_CY_GD_99,Nationally maintained research vessels,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA
Goal D,proportion of total research budget allocated to research in the field of marine technology,GBF_CY_GD_100,Proportion of total research budget allocated to research in the field of marine technology,"GBF,SDG",1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA
Goal D,volume of official development assistance flows for scholarships by sector and type of study,GBF_CY_GD_101,Volume of official development assistance flows for scholarships by sector and type of study,"GBF,SDG",NA,Human Assets,Coverage Of Basic Needs,NA,NA
Goal D,global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,GBF_CY_GD_102,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,GBF,NA,Human Assets,Information On Society And Socio-Economics,NA,NA
Goal D,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_CY_GD_103,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies","GBF,SDG",1,Governance,Nature-Based Funding,NA,NA
Target 1,number of countries using natural capital accounts in planning processes,GBF_CY_T1_104,Number of countries using natural capital accounts in planning processes,GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 1,percentage of spatial plans utilizing information on key biodiversity areas,GBF_CY_T1_105,Percentage of spatial plans utilizing information on key biodiversity areas,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 1,habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF_CY_T1_106,Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),GBF,NA,Ecosystems,State Of Ecosystems (Marine),NA,NA
Target 1,other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),GBF_CY_T1_107,Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1),GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 1,number of countries using ocean accounts in planning processes,GBF_CY_T1_108,Number of countries using ocean accounts in planning processes,GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 1,proportion of transboundary basin area with an operational arrangement for water cooperation,GBF_CY_T1_109,Proportion of transboundary basin area with an operational arrangement for water cooperation,"GBF,SDG",1,Ecosystem Services,Nature Contribution,NA,NA
Target 1,percent of total land area that is under cultivation,GBF_CY_T1_110,Percent of total land area that is under cultivation,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 1,extent of natural ecosystems,GBF_CY_T1_111,Extent of natural ecosystems by type,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 1,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",GBF_CY_T1_112,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation.",GBF,NA,Knowledge Systems,Specific Information On Ilk And Iplc,NA,NA
Target 1,ecosystem integrity index,GBF_CY_T1_113,Ecosystem Integrity Index,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
Target 2,habitat distributional range,GBF_CY_T2_114,Habitat distributional range,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 2,"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",GBF_CY_T2_115,"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas",GBF,NA,Ecosystems,State Of Ecosystems,Biodiversity,Species Conservation
Target 2,increase in secondary natural forest cover,GBF_CY_T2_116,Increase in secondary natural forest cover,GBF,NA,Ecosystems,Change In Ecosystems,NA,NA
Target 2,annual tropical primary tree cover loss,GBF_CY_T2_117,Annual Tropical Primary Tree Cover Loss,GBF,NA,Ecosystems,Change In Ecosystems,NA,NA
Target 2,forest landscape integrity index,GBF_CY_T2_118,Forest Landscape Integrity Index,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 2,global ecosystem restoration index,GBF_CY_T2_119,Global Ecosystem Restoration Index,GBF,1,Ecosystems,Area Conservation,NA,NA
Target 2,free flowing rivers,GBF_CY_T2_120,Free flowing rivers,GBF,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA
Target 2,percentage of cropped landscapes with at least 10 % natural land,GBF_CY_T2_121,Percentage of cropped landscapes with at least 10 % natural land,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 2,bioclimatic ecosystem resilience index (beri),GBF_CY_T2_122,Bioclimatic Ecosystem Resilience Index (BERI),GBF,NA,Ecosystems,State Of Biodiversity,NA,NA
Target 2,priority retention of intact / wilderness areas,GBF_CY_T2_123,Priority retention of intact / wilderness areas,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
Target 2,status of key biodiversity areas,GBF_CY_T2_124,Status of Key Biodiversity Areas,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Target 2,biodiversity habitat index,GBF_CY_T2_125,Biodiversity Habitat Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Target 2,red list index,GBF_CY_T2_126,Red List Index,"GBF,SDG",1,Biodiversity,State Of Biodiversity,NA,NA
Target 2,red list of ecosystems,GBF_CY_T2_127,Red List of Ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 2,living planet index,GBF_CY_T2_128,Living Planet Index,GBF,1,Ecosystems,State Of Biodiversity,NA,NA
Target 2,species habitat index,GBF_CY_T2_129,Species habitat Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Target 3,"protected area downgrading, downsizing and degazettement (pd)",GBF_CY_T3_130,"Protected area downgrading, downsizing and degazettement (PD)",GBF,NA,Ecosystems,Change In Ecosystems,NA,NA
Target 3,status of key biodiversity areas,GBF_CY_T3_131,Status of key biodiversity areas,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Target 3,iucn green list of protected and conserved areas,GBF_CY_T3_132,IUCN Green List of Protected and Conserved Areas,GBF,NA,Ecosystems,Area Conservation,NA,NA
Target 3,number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),GBF_CY_T3_133,Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),GBF,NA,Ecosystems,Area Conservation,NA,NA
Target 3,protected area and oecm management effectiveness (mepca) indicator,GBF_CY_T3_134,Protected area and OECM management effectiveness (MEPCA) indicator,GBF,NA,Ecosystems,Area Conservation,Governance,Nature-Based Legislation
Target 3,protected area isolation index (pai),GBF_CY_T3_135,Protected Area Isolation Index (PAI),GBF,NA,Ecosystems,State Of Ecosystems (Coverage),NA,NA
Target 3,protected areas network metric (pronet),GBF_CY_T3_136,Protected Areas Network metric (ProNet),GBF,NA,Ecosystems,Area Conservation,NA,NA
Target 3,extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,GBF_CY_T3_137,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,GBF,NA,Ecosystems,State Of Ecosystems,Biodiversity,State Of Biodiversity
Target 3,coverage of protected areas and oecms and traditional territories (by governance type),GBF_CY_T3_138,Coverage of Protected areas and OECMS and traditional territories (by governance type),GBF,NA,Ecosystems,Area Conservation,NA,NA
Target 3,ramsar management effectiveness tracking tool (r-mett),GBF_CY_T3_139,Ramsar Management Effectiveness Tracking Tool (R-METT),GBF,NA,Ecosystems,Area Conservation,NA,Species Conservation
Target 3,percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_CY_T3_140,Percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF,NA,Governance,Nature-Based Legislation,Ecosystems,Area Conservation
Target 3,extent of indigenous peoples and local communities lands that have some form of recognition,GBF_CY_T3_141,Extent of indigenous peoples and local communities lands that have some form of recognition,GBF,NA,Knowledge Systems,Ilk,Human Well-Being,Equity
Target 3,species protection index,GBF_CY_T3_142,Species Protection Index,GBF,1,Biodiversity,Species Conservation,NA,NA
Target 3,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",GBF_CY_T3_143,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation",GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 3,red list of ecosystems,GBF_CY_T3_144,Red List of Ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 3,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF_CY_T3_145,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF,NA,Ecosystems,Area Conservation,NA,NA
Target 4,species threat abatement and restoration metric,GBF_CY_T4_146,Species threat abatement and restoration metric,GBF,NA,Biodiversity,Species Conservation,NA,NA
Target 4,changing status of evolutionary distinct and globally endangered species (edge index),GBF_CY_T4_147,Changing status of evolutionary distinct and globally endangered species (EDGE Index),GBF,NA,Biodiversity,State Of Biodiversity,NA,Change In Biodiversity
Target 4,percentage of threatened species that are improving in status,GBF_CY_T4_148,Percentage of threatened species that are improving in status,GBF,NA,Biodiversity,Species Conservation,NA,Change In Biodiversity
Target 4,number of cms daughter agreements,GBF_CY_T4_149,Number of CMS daughter agreements,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 4,proportion of local breeds classified as being at risk of extinction,GBF_CY_T4_150,Proportion of local breeds classified as being at risk extinction,"GBF,SDG",1,Biodiversity,Species Conservation,NA,NA
Target 4,red list index (wild relatives of farmed and domesticated species),GBF_CY_T4_151,Red List Index (wild relatives of domesticated animals),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution
Target 4,rate of invasive alien species establishment,GBF_CY_T4_152,Rate of invasive alien species establishment,GBF,1,Direct Drivers,Invasive Alien Species,NA,NA
Target 5,sustainable watershed and inland fisheries index,GBF_CY_T5_153,Sustainable watershed and inland fisheries index,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA
Target 5,red list index (internationally traded species and migratory species),GBF_CY_T5_154,Red List Index (for internationally traded species and for migratory species),GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Target 5,marine stewardship council certified catch,GBF_CY_T5_155,Marine Stewardship Council Fish catch,GBF,1,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA
Target 5,total catch of cetaceans under international convention for the regulation of whaling,GBF_CY_T5_156,Total catch of cetaceans under International Convention for the Regulation of Whaling,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA
Target 5,by catch of vulnerable and non-target species,GBF_CY_T5_157,By catch of vulnerable and non-target species,GBF,NA,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA
Target 5,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",GBF_CY_T5_158,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","GBF,SDG",1,Governance,Nature-Based Legislation,Governance,National/International Cooperation
Target 5,proportion of legal and illegal wildlife trade consisting of species threatened with extinction,GBF_CY_T5_159,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,GBF,NA,Ecosystem Services,Specific Monetary Valuation Of Nature Contribution,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems
Target 5,illegal trade by cites species classification,GBF_CY_T5_160,Illegal trade by CITES species classification,GBF,NA,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA
Target 5,number of countries incorporating trade in their national biodiversity policy,GBF_CY_T5_161,Number of countries incorporating trade in their national biodiversity policy,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 5,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF_CY_T5_162,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF,NA,Ecosystems,Area Conservation,NA,NA
Target 5,implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_CY_T5_163,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 5,number of msc chain of custody certification holders by distribution country,GBF_CY_T5_164,Number of MSC Chain of Custody Certification holders by distribution country,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA
Target 5,trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),GBF_CY_T5_165,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA
Target 6,number of invasive alien species in national lists as per the global register of introduced and invasive species,GBF_CY_T6_166,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,GBF,NA,Direct Drivers,Invasive Alien Species,NA,NA
Target 6,"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF_CY_T6_167,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF,NA,Biodiversity,State Of Biodiversity,Direct Drivers,Invasive Alien Species
Target 6,red list index (impacts of invasive alien species),GBF_CY_T6_168,Red List Index (impacts of invasive alien species),GBF,1,Biodiversity,State Of Biodiversity,Direct Drivers,Invasive Alien Species
Target 7,trends in loss of reactive nitrogen to the environment,GBF_CY_T7_169,Trends in Loss of Reactive Nitrogen to the Environment.,GBF,NA,Direct Drivers,Pollution,NA,NA
Target 7,trends in nitrogen deposition,GBF_CY_T7_170,Trends in Nitrogen Deposition,GBF,1,Direct Drivers,Pollution,NA,NA
Target 7,municipal solid waste collected and managed,GBF_CY_T7_171,Municipal solid waste collected and managed,GBF,NA,Governance,Legislation/Governance,NA,NA
Target 7,hazardous waste generation,GBF_CY_T7_172,Hazardous waste generation,GBF,NA,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA
Target 7,trends in the amount of litter in the water column including microplastics and on the seafloor,GBF_CY_T7_173,Trends in the amount of litter in the water column including microplastics and on the seafloor,GBF,NA,Direct Drivers,Pollution,NA,NA
