indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ga,sua,va,ias,geo,ipcc,ipbes,var,ILK_indicators,indicator,Categories,Categories_2,Subcategories,Subcategories_2
total official international support (official development assistance plus other official flows) to infrastructure,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human assets,NA,Infrastructure (build-up area),Information on society and socio-economics
proportion of medium and high-tech industry value added in total value added,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human assets,NA,State of economy,NA
"proportion of population covered by a mobile network, by technology",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human assets,NA,Infrastructure (build-up area),NA
growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Governance,Equity,Broken governance
labour share of gross domestic product,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
redistributive impact of fiscal policy,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
financial soundness indicators,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA
proportion of members and voting rights of developing countries in international organizations,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human well-being,NA,Equity,NA
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,Income
"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human well-being,NA,Equity,NA
number of people who died or disappeared in the process of migration towards an international destination,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Broken governance,NA
"proportion of the population who are refugees, by country of origin",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,National/international cooperation,NA
remittance costs as a proportion of the amount remitted,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Income,State of economy
"proportion of urban population living in slums, informal settlements or inadequate housing",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Governance,Coverage of basic needs,Broken governance
"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),Coverage of basic needs
ratio of land consumption rate to population growth rate,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,1,NA,1,Ecosystem services,Human assets,Nature contribution,Coverage of basic needs
proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Human well-being,Infrastructure (build-up area),Equity
"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human assets,NA,State of economy,Information on society and socio-economics
"damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Natural drivers,NA
"proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA
"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Broken governance,NA
number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Legislation/governance,NA
"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Nature-based legislation,NA
food loss index and (b) food waste index,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,Human assets,NA,Information on society and socio-economics,NA
"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
"hazardous waste generated per capita and (b) proportion of hazardous waste treated, by type of treatment",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
"national recycling rate, tons of material recycled",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Nature-based legislation,NA
number of countries implementing sustainable public procurement policies and action plans,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Legislation/governance,NA
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Nature-based legislation,NA
total greenhouse gas emissions per year,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,1,Direct drivers,NA,Climate change,NA
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human assets,NA,State of economy,NA
number of countries using ecosystem-based approaches to managing marine areas,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Nature-based legislation,NA
average marine acidity (ph) measured at agreed suite of representative sampling stations,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,ecosystems,NA,Abiotic conditions,NA
coverage of protected areas in relation to marine areas,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,1,NA,1,ecosystems,NA,Area conservation,NA
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Nature-based legislation,NA
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,ecosystems,NA,Area conservation,NA
coverage by protected areas of important sites for mountain biodiversity,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,1,ecosystems,NA,Area conservation,NA
proportion of traded wildlife that was poached or illicitly trafficked,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,Governance,NA,Nature-based legislation,NA
"number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
official development assistance on conservation and sustainable use of biodiversity and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
"number of victims of intentional homicide per 100,000 population, by sex and age",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"conflict-related deaths per 100,000 population, by sex, age and cause",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Governance,Equity,Broken governance
proportion of population that feel safe walking alone around the area they live after dark,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Knowledge systems,Equity,Information on society and socio-economics
proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
unsentenced detainees as a proportion of overall prison population,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,Governance,Information on society and socio-economics,Legislation/governance
total value of inward and outward illicit financial flows (in current united states dollars),NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Governance,State of economy,Broken governance
"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA
"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Governance,State of economy,Legislation/governance
proportion of population satisfied with their last experience of public services,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
"proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Equity,NA
existence of independent national human rights institutions in compliance with the paris principles,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Equity,NA
"total government revenue as a proportion of gross domestic product, by source",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
proportion of domestic budget funded by domestic taxes,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human assets,NA,State of economy,NA
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,National/international cooperation,NA
additional financial resources mobilized for developing countries from multiple sources,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Information on society and socio-economics,NA
volume of remittances (in united states dollars) as a proportion of total gross domestic product,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
debt service as a proportion of exports of goods and services,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,National/international cooperation,NA
"fixed internet broadband subscriptions per 100 inhabitants, by speed6",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
proportion of individuals using the internet,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,National/international cooperation,NA
worldwide weighted tariff-average,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
developing countries’ and least developed countries’ share of global exports,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human assets,NA,State of economy,NA
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Legislation/governance,NA
macroeconomic dashboard,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA
number of countries with mechanisms in place to enhance policy coherence of sustainable development,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Nature-based legislation,NA
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Legislation/governance,NA
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Nature-based legislation,NA
amount in united states dollars committed to public-private partnerships for infrastructure,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human assets,NA,Infrastructure (build-up area),NA
statistical capacity indicator for sustainable development goal monitoring,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Legislation/governance,NA
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Legislation/governance,NA
proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties that are in category 1 under the national legislation project,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties that have designated management authorities and scientific authorities,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties subject to cites recommendations on trade,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to a) the population status of appendix-ii species; b) the trends and impact of trade upon appendix-ii species; and c) the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties that have adopted standard procedures for making non detriment findings,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number and proportion of annual export quotas based on population surveys,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of administrative measures, criminal prosecutions and other court actions for cites-related offences",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties meeting their obligations with regard to their assessed contributions to the trust fund,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the percentage of the work programme agreed by the conference of the parties that is fully funded,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties raising funds for cites implementation through user fees or other mechanisms,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties using incentive measures as part of their implementation of the convention,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of capacity building activities mandated by resolutions and decisions that are fully funded,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of visits to the cites website,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties with web pages on cites and its requirements,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the conservation status of species listed on the cites appendices has stabilized or improved,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap),NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
red list index of species survival for cms-listed bird species,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
