indicators_harmonized,ga,sua,va,geo,ipcc,km_gbf,sdg,ipbes,var,indic,ILK_indicators
official development assistance on conservation and sustainable use of biodiversity and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
"total government revenue as a proportion of gross domestic product, by source",NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
proportion of domestic budget funded by domestic taxes,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",NA,1,NA,NA,NA,1,NA,1,NA,NA,NA
volume of remittances (in united states dollars) as a proportion of total gross domestic product,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",NA,1,NA,NA,NA,1,1,1,NA,NA,NA
proportion of individuals using the internet,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
worldwide weighted tariff-average,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
developing countries’ and least developed countries’ share of global exports,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
number of countries with mechanisms in place to enhance policy coherence of sustainable development,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
amount in united states dollars committed to public-private partnerships for infrastructure,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
statistical capacity indicator for sustainable development goal monitoring,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
dollar value of all resources made available to strengthen statistical capacity in developing countries,NA,1,NA,NA,NA,1,1,1,NA,NA,NA
"proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"proportion of total government spending on essential services (education, health and social protection)",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
maternal mortality ratio,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of births attended by skilled health personnel,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
under-five child mortality rate,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA
neonatal mortality rate,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"number of new hiv infections per uninfected population, by sex, age and key populations",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
tuberculosis incidence per 1population,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
malaria incidence per population,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
hepatitis b incidence per 1population,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
number of people requiring interventions against neglected tropical diseases,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
suicide mortality rate,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
death rate due to road traffic injuries,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
adolescent birth rate (aged years; aged 15-19 years) per women in that age group,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
coverage of essential health services,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of population with large household expenditures on health as a share of total household expenditure or income,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
mortality rate attributed to household and ambient air pollution,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
mortality rate attributed to unintentional poisoning,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
age-standardized prevalence of current tobacco use among persons aged 15 years and older,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of the target population covered by all vaccines included in their national programme,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
total net official development assistance to medical research and basic health sectors,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
health worker density and distribution,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
international health regulations (ihr) capacity and health emergency preparedness,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
percentage of bloodstream infections due to selected antimicrobial-resistant organisms,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of children and young people (a) in grades (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"completion rate (primary education, lower secondary education, upper secondary education)",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of children aged months who are developmentally on track in health, learning and psychosocial well-being, by sex",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"participation rate in organized learning (one year before the official primary entry age), by sex",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of youth and adults with information and communications technology (ict) skills, by type of skill",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of schools offering basic services, by type of service",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
volume of official development assistance flows for scholarships by sector and type of study,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"proportion of teachers with the minimum required qualifications, by education level",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of time spent on unpaid domestic and care work, by sex, age and location",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of seats held by women in (a) national parliaments and (b) local governments,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
proportion of women in managerial positions,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of individuals who own a mobile telephone, by sex",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA
proportion of domestic and industrial wastewater flows safely treated,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
proportion of population with access to electricity,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
number of commercial bank branches per adults and (b) number of automated teller machines (atms) per adults,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
researchers (in full-time equivalent) per million inhabitants,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
redistributive impact of fiscal policy,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
financial soundness indicators,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
number of people who died or disappeared in the process of migration towards an international destination,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
remittance costs as a proportion of the amount remitted,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of urban population living in slums, informal settlements or inadequate housing",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
number of countries implementing sustainable public procurement policies and action plans,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"number of victims of intentional homicide per 1population, by sex and age",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"conflict-related deaths per 1population, by sex, age and cause",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of population that feel safe walking alone around the area they live after dark,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"number of victims of human trafficking per 1population, by sex, age and form of exploitation",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
unsentenced detainees as a proportion of overall prison population,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
total value of inward and outward illicit financial flows (in current united states dollars),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of population satisfied with their last experience of public services,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
existence of independent national human rights institutions in compliance with the paris principles,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
additional financial resources mobilized for developing countries from multiple sources,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
debt service as a proportion of exports of goods and services,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"fixed internet broadband subscriptions per 100 inhabitants, by speed6",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
macroeconomic dashboard,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
monthly maximum value of daily maximum temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
monthly minimum value of daily maximum temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
monthly minimum value of daily minimum temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
monthly maximum value of daily minimum temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
percentage of days when daily maximum temperature is greater than the 90th percentile,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
percentage of days when daily maximum temperature is less than the 10th percentile,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
percentage of days when daily minimum temperature is greater than the 90th percentile,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
percentage of days when daily minimum temperature is less than the 10th percentile,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
number of icing days: annual count of days when tx (daily maximum temperature) <0°c,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
number of frost days: annual count of days when tn (daily minimum temperature) <0°c,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
warm spell duration index (wsdi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
number of summer days: annual count of days when tx (daily maximum temperature) >25°c,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
daily temperature range: monthly mean difference between tx and tn,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
one-in-20 year return value of monthly maximum value of daily maximum temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
one-in-20 year return value of monthly minimum value of daily maximum temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
one-in-20 year return value of monthly minimum value of daily minimum temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
one-in-20 year return value of monthly maximum value of daily minimum temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
maximum one-day precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
maximum five-day precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
annual count of days when precipitation is greater than or equal to 5 mm,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
annual count of days when precipitation is greater than or equal to 10 mm,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
annual count of days when precipitation is greater than or equal to 20 mm,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
annual count of days when precipitation is greater than or equal to 50 mm,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
maximum number of consecutive days with less than 1 mm of precipitation per day,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
simple precipitation intensity index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
one-in-20 year return value of maximum one-day precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
one-in-20 year return value of maximum five-day precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
standardized precipitation index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"potential evaporation, evaporative demand drought index",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
soil moisture anomalies,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
standardized soil moisture index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
standardized runoff index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
standardized streamflow index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
palmer drought severity index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
standardized precipitation evapotranspiration index (spei),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
red list of ecosystems,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA
extent of natural ecosystems,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
proportion of populations within species with a genetically effective population size > 500,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
services provided by ecosystems,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
indicator on monetary benefits received,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
indicator on non-monetary benefits,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
percent of land and seas covered by biodiversity-inclusive spatial plans,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
area under restoration,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
coverage of protected areas and oecms,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
rate of invasive alien species establishment,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
index of coastal eutrophication potential (icep) potential,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
pesticide environment concentration,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
benefits from the sustainable use of wild species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
percentage of the population in traditional employment,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
average share of the built-up area of cities that is green/blue space for public use for all,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
positive incentives in place to promote biodiversity conservation and sustainable use,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
indicator on biodiversity information for monitoring the global biodiversity framework,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
ecosystem intactness index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
ecosystem integrity index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
protected connected (protconn) index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
protected area connectedness (parc-connectedness) index,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
evolutionarily distinct and globally endangered (edge),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
living planet index (for used species),NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
priority retention of intact / wilderness areas,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
maintenance and restoration of connectivity of natural ecosystems,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
protected area management effectiveness (pame),1,NA,NA,NA,NA,1,NA,1,NA,1,NA
connectivity indicator,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of protected areas that have completed a site-level assessment of governance and equity (sage),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
species protection index,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
trends in effective and sustainable management of human-wildlife conflict and coexistence,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
green status of species index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
conservation status of species listed in the cites appendices has stabilized or improved,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
sustainable use of wild species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
rate of invasive species impact and rate of impact,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
rate of invasive alien species spread,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
fertilizer use,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
floating plastic debris density,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
national greenhouse inventories from land use and land use change,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
bioclimatic ecosystem resilience index (beri),NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
level of water stress,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA
recreation and cultural ecosystem services provided,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of countries with implementation of the system of environmental economic accounting,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
indicator based on task force for naturerelated financial disclosures,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
food waste index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
material footprint per capita,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
global environmental impacts of consumption,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
indicator on national implementation of the gender plan of action,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
forest distribution,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
tree cover loss,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
grassland and savannah extent,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
peatland extent and condition,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"permafrost thickness, depth and extent",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
continuous global mangrove forest area,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trends in mangrove forest fragmentation,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trends in mangrove extent,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
hard coral cover and composition,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
global coral reef extent,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
global seagrass extent (seagrass cover and composition),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
global saltmarsh extent,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
kelp canopy extent,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
macroalgal canopy cover and composition,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
cover of key benthic groups,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
fleshy algae cover,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
change in the extent of inland water ecosystems over time,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
forest fragmentation index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
forest landscape integrity index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
biomass of selected natural ecosystems,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
global vegetation health products,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
relative magnitude of fragmentation (rmf),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
extent of physical damage indicator to predominant seafloor habitats physical damage,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
river fragmentation index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
dendritic connectivity index,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
percentage of threatened species that are improving in status,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
number of threatened species by species group,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
wild bird index,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
changes in plankton biomass and abundance,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
fish abundance and biomass,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
