Goal/target,indicators_harmonized,indic_id,indicators_orig
Goal D,nationally maintained research vessels,GBF_CY_GD_99,Nationally maintained research vessels
Goal D,proportion of total research budget allocated to research in the field of marine technology,GBF_CY_GD_100,Proportion of total research budget allocated to research in the field of marine technology
Goal D,volume of official development assistance flows for scholarships by sector and type of study,GBF_CY_GD_101,Volume of official development assistance flows for scholarships by sector and type of study
Goal D,global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,GBF_CY_GD_102,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories
Goal D,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_CY_GD_103,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
Target 1,number of countries using natural capital accounts in planning processes,GBF_CY_T1_104,Number of countries using natural capital accounts in planning processes
Target 1,percentage of spatial plans utilizing information on key biodiversity areas,GBF_CY_T1_105,Percentage of spatial plans utilizing information on key biodiversity areas
Target 1,habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF_CY_T1_106,Habitat patches located within marine protected areas or integrated coastal zone management (ICZM)
Target 1,other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),GBF_CY_T1_107,Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1)
Target 1,number of countries using ocean accounts in planning processes,GBF_CY_T1_108,Number of countries using ocean accounts in planning processes
Target 1,proportion of transboundary basin area with an operational arrangement for water cooperation,GBF_CY_T1_109,Proportion of transboundary basin area with an operational arrangement for water cooperation
Target 1,percent of total land area that is under cultivation,GBF_CY_T1_110,Percent of total land area that is under cultivation
Target 1,extent of natural ecosystems,GBF_CY_T1_111,Extent of natural ecosystems by type
Target 1,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",GBF_CY_T1_112,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation."
Target 1,ecosystem integrity index,GBF_CY_T1_113,Ecosystem Integrity Index
Target 2,habitat distributional range,GBF_CY_T2_114,Habitat distributional range
Target 2,"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",GBF_CY_T2_115,"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas"
Target 2,increase in secondary natural forest cover,GBF_CY_T2_116,Increase in secondary natural forest cover
Target 2,annual tropical primary tree cover loss,GBF_CY_T2_117,Annual Tropical Primary Tree Cover Loss
Target 2,forest landscape integrity index,GBF_CY_T2_118,Forest Landscape Integrity Index
Target 2,global ecosystem restoration index,GBF_CY_T2_119,Global Ecosystem Restoration Index
Target 2,free flowing rivers,GBF_CY_T2_120,Free flowing rivers
Target 2,percentage of cropped landscapes with at least 10 % natural land,GBF_CY_T2_121,Percentage of cropped landscapes with at least 10 % natural land
Target 2,bioclimatic ecosystem resilience index (beri),GBF_CY_T2_122,Bioclimatic Ecosystem Resilience Index (BERI)
Target 2,priority retention of intact / wilderness areas,GBF_CY_T2_123,Priority retention of intact / wilderness areas
Target 2,status of key biodiversity areas,GBF_CY_T2_124,Status of Key Biodiversity Areas
Target 2,biodiversity habitat index,GBF_CY_T2_125,Biodiversity Habitat Index
Target 2,red list index,GBF_CY_T2_126,Red List Index
Target 2,red list of ecosystems,GBF_CY_T2_127,Red List of Ecosystems
Target 2,living planet index,GBF_CY_T2_128,Living Planet Index
Target 2,species habitat index,GBF_CY_T2_129,Species habitat Index
Target 3,"protected area downgrading, downsizing and degazettement (pd)",GBF_CY_T3_130,"Protected area downgrading, downsizing and degazettement (PD)"
Target 3,status of key biodiversity areas,GBF_CY_T3_131,Status of key biodiversity areas
Target 3,iucn green list of protected and conserved areas,GBF_CY_T3_132,IUCN Green List of Protected and Conserved Areas
Target 3,number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),GBF_CY_T3_133,Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves)
Target 3,protected area and oecm management effectiveness (mepca) indicator,GBF_CY_T3_134,Protected area and OECM management effectiveness (MEPCA) indicator
Target 3,protected area isolation index (pai),GBF_CY_T3_135,Protected Area Isolation Index (PAI)
Target 3,protected areas network metric (pronet),GBF_CY_T3_136,Protected Areas Network metric (ProNet)
Target 3,extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,GBF_CY_T3_137,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species
Target 3,coverage of protected areas and oecms and traditional territories (by governance type),GBF_CY_T3_138,Coverage of Protected areas and OECMS and traditional territories (by governance type)
Target 3,ramsar management effectiveness tracking tool (r-mett),GBF_CY_T3_139,Ramsar Management Effectiveness Tracking Tool (R-METT)
Target 3,percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_CY_T3_140,Percentage of biosphere reserves that have a positive conservation outcome and effective management
Target 3,extent of indigenous peoples and local communities lands that have some form of recognition,GBF_CY_T3_141,Extent of indigenous peoples and local communities lands that have some form of recognition
Target 3,species protection index,GBF_CY_T3_142,Species Protection Index
Target 3,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",GBF_CY_T3_143,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation"
Target 3,red list of ecosystems,GBF_CY_T3_144,Red List of Ecosystems
Target 3,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF_CY_T3_145,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures"
Target 4,species threat abatement and restoration metric,GBF_CY_T4_146,Species threat abatement and restoration metric
Target 4,changing status of evolutionary distinct and globally endangered species (edge index),GBF_CY_T4_147,Changing status of evolutionary distinct and globally endangered species (EDGE Index)
Target 4,percentage of threatened species that are improving in status,GBF_CY_T4_148,Percentage of threatened species that are improving in status
Target 4,number of cms daughter agreements,GBF_CY_T4_149,Number of CMS daughter agreements
Target 4,proportion of local breeds classified as being at risk of extinction,GBF_CY_T4_150,Proportion of local breeds classified as being at risk extinction
Target 4,red list index (wild relatives of farmed and domesticated species),GBF_CY_T4_151,Red List Index (wild relatives of domesticated animals)
Target 4,rate of invasive alien species establishment,GBF_CY_T4_152,Rate of invasive alien species establishment
Target 5,sustainable watershed and inland fisheries index,GBF_CY_T5_153,Sustainable watershed and inland fisheries index
Target 5,red list index (internationally traded species and migratory species),GBF_CY_T5_154,Red List Index (for internationally traded species and for migratory species)
Target 5,marine stewardship council certified catch,GBF_CY_T5_155,Marine Stewardship Council Fish catch
Target 5,total catch of cetaceans under international convention for the regulation of whaling,GBF_CY_T5_156,Total catch of cetaceans under International Convention for the Regulation of Whaling
Target 5,by catch of vulnerable and non-target species,GBF_CY_T5_157,By catch of vulnerable and non-target species
Target 5,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",GBF_CY_T5_158,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
Target 5,proportion of legal and illegal wildlife trade consisting of species threatened with extinction,GBF_CY_T5_159,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction
Target 5,illegal trade by cites species classification,GBF_CY_T5_160,Illegal trade by CITES species classification
Target 5,number of countries incorporating trade in their national biodiversity policy,GBF_CY_T5_161,Number of countries incorporating trade in their national biodiversity policy
Target 5,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF_CY_T5_162,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures"
Target 5,implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_CY_T5_163,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats
Target 5,number of msc chain of custody certification holders by distribution country,GBF_CY_T5_164,Number of MSC Chain of Custody Certification holders by distribution country
Target 5,trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),GBF_CY_T5_165,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements)
Target 6,number of invasive alien species in national lists as per the global register of introduced and invasive species,GBF_CY_T6_166,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species
Target 6,"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF_CY_T6_167,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)"
Target 6,red list index (impacts of invasive alien species),GBF_CY_T6_168,Red List Index (impacts of invasive alien species)
Target 7,trends in loss of reactive nitrogen to the environment,GBF_CY_T7_169,Trends in Loss of Reactive Nitrogen to the Environment.
Target 7,trends in nitrogen deposition,GBF_CY_T7_170,Trends in Nitrogen Deposition
Target 7,municipal solid waste collected and managed,GBF_CY_T7_171,Municipal solid waste collected and managed
Target 7,hazardous waste generation,GBF_CY_T7_172,Hazardous waste generation
Target 7,trends in the amount of litter in the water column including microplastics and on the seafloor,GBF_CY_T7_173,Trends in the amount of litter in the water column including microplastics and on the seafloor
Target 7,index of coastal eutrophication potential (icep); (b) plastic debris density,GBF_CY_T7_174,Index of coastal eutrophication; (b) plastic debris density
Target 7,red list of ecosystems,GBF_CY_T7_175,Red List of Ecosystems
Target 7,underwater noise pollution,GBF_CY_T7_176,Underwater noise pollution
Target 7,"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF_CY_T7_177,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)"
Target 7,pesticide use per area of cropland,GBF_CY_T7_178,Pesticide use per area of cropland
Target 8,above-ground biomass stock in forest,GBF_CY_T8_179,Above-ground biomass stock in forest (tonnes/ha)
Target 8,national greenhouse inventories from land use and land use change,GBF_CY_T8_180,National greenhouse inventories from land use and land use change
Target 8,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,GBF_CY_T8_181,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
Target 8,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",GBF_CY_T8_182,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications"
Target 8,index of coastal eutrophication potential (icep),GBF_CY_T8_183,Index of coastal eutrophication
Target 8,"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF_CY_T8_184,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover"
Target 9,proportion of fish stocks within biologically sustainable levels,GBF_CY_T9_185,Proportion of fish stocks within biologically sustainable levels
Target 9,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",GBF_CY_T9_186,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
Target 9,number of msc chain of custody certification holders by distribution country,GBF_CY_T9_187,Number of MSC Chain of Custody Certification holders by distribution country
Target 9,spawning stock biomass (related to commercially exploited species),GBF_CY_T9_188,Spawning stock biomass (related to commercially exploited species)
Target 9,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_CY_T9_189,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities
Target 9,volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size,GBF_CY_T9_190,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size
Target 10,agrobiodiversity index,GBF_CY_T10_191,Agrobiodiversity Index
Target 10,soil organic carbon (soc) stocks,GBF_CY_T10_192,Changes in soil organic carbon stocks
Target 10,red list index (wild relatives of farmed and domesticated species),GBF_CY_T10_193,Red List Index (wild relatives of domesticated animals)
Target 10,red list index (pollinators),GBF_CY_T10_194,Red List Index (pollinating species)
Target 10,proportion of local breeds classified as being at risk of extinction,GBF_CY_T10_195,Proportion of local breeds classified as being at risk extinction
Target 10,proportion of land that is degraded over total land area,GBF_CY_T10_196,Proportion of land that is degraded over total land area
Target 11,air emission accounts,GBF_CY_T11_197,Air emission accounts
Target 11,proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,GBF_CY_T11_198,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management
Target 11,proportion of population using safely managed drinking water services,GBF_CY_T11_199,Proportion of population using safely managed drinking water services
Target 11,mortality rate attributed to household and ambient air pollution,GBF_CY_T11_200,Mortality rate attributed to household and ambient air pollution
Target 13,total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,GBF_CY_T13_202,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country
Target 13,"total number of permits, or their equivalent, granted for access to genetic resources",GBF_CY_T13_203,"Total number of permits, or their equivalent, granted for access to genetic resources"
Target 13,total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF_CY_T13_204,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House
Target 13,"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",GBF_CY_T13_205,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House"
Target 13,number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,GBF_CY_T13_206,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House
Target 13,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",GBF_CY_T13_207,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
Target 13,estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity,GBF_CY_T13_208,Estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity
Target 14,human appropriation of net primary productivity,GBF_CY_T14_209,Human Appropriation of Net Primary Production (HANPP)
Target 14,co2 emission per unit of value added,GBF_CY_T14_210,CO2 emission per unit of value added
Target 14,change in water-use efficiency over time,GBF_CY_T14_211,Change in water-use efficiency over time
Target 15,species threat abatement and restoration metric,GBF_CY_T15_212,Species threat abatement and restoration metric
Target 15,number of companies publishing sustainability reports,GBF_CY_T15_213,Number of companies publishing sustainability reports
Target 16,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_CY_T16_214,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)"
Target 16,recycling rate,GBF_CY_T16_215,Recycling rate
Target 16,life cycle impact assessment (lcia) e.g. lime ; lifecycle impact assessment method based on endpoint modelling,GBF_CY_T16_216,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling
Target 16,levels of poverty in developing communities,GBF_CY_T16_217,Levels of poverty in developing communities
Target 17,number of countries that have the necessary biosafety legal and administrative measures in place,GBF_CY_T17_218,Number of countries that have the necessary biosafety legal and administrative measures in place
Target 17,number of countries that implement their biosafety measures,GBF_CY_T17_219,Number of countries that implement their biosafety measures
Target 17,number of countries that have the necessary measures and means for detection and identification of products of biotechnology,GBF_CY_T17_220,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology
Target 17,number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,GBF_CY_T17_221,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making
Target 17,number of countries that establish and implement risk management measures,GBF_CY_T17_222,Number of countries that establish and implement risk management measures
Target 17,percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,GBF_CY_T17_223,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol
Target 17,number of countries with legal and technical measures for restoration and compensation,GBF_CY_T17_224,Number of countries with legal and technical measures for restoration and compensation
Target 17,percentage of parties to the nagoya - kuala lumpur supplementary protocol,GBF_CY_T17_225,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol
Target 17,percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_CY_T17_226,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity
Target 17,number of countries that establish and implement risk management measures,GBF_CY_T17_227,Number of countries that establish and implement risk management measures
Target 17,number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,GBF_CY_T17_228,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health
Target 18,number of countries with biodiversity relevant taxes,GBF_CY_T18_229,Number of countries with biodiversity-relevant taxes
Target 18,number of countries with biodiversity relevant charges and fees,GBF_CY_T18_230,Number of countries with biodiversity-relevant charges and fees
Target 18,number of countries with biodiversity relevant tradable permit schemes,GBF_CY_T18_231,Number of countries with biodiversity-relevant tradable permit schemes
Target 18,trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),GBF_CY_T18_232,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate)
Target 18,trends in the number and value of government fossil-fuel support measures,GBF_CY_T18_233,Trends in the number and value of government fossil fuel support measures
Target 18,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_CY_T18_234,Amount of fossil-fuel subsidies per unit of GDP (production and consumption)
Target 19,amount of funding provided through the global environment facility and allocated to the biodiversity focal area,GBF_CY_T19_235,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area
Target 19,"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",GBF_CY_T19_236,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget"
Target 19,amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,GBF_CY_T19_237,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system
Target 19,"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries",GBF_CY_T19_238,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries"
Target 19,dollar value of all resources made available to strengthen statistical capacity in developing countries,GBF_CY_T19_239,Dollar value of all resources made available to strengthen statistical capacity in developing countries
Target 19,amount of biodiversity-related philanthropic funding,GBF_CY_T19_240,Amount of biodiversity-related philanthropic funding
Target 19,proportion of total research budget allocated to research in the field of marine technology,GBF_CY_T19_241,Proportion of total research budget allocated to research in the field of marine technology
Target 19,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_CY_T19_242,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
Target 19,number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,GBF_CY_T19_243,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes
Target 19,"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities",GBF_CY_T19_244,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities"
Target 21,growth in number of records and species in the living planet index database,GBF_CY_T21_246,Growth in number of records and species in the Living Planet Index database
Target 21,species occurrence records accessible through the global biodiversity information facility,GBF_CY_T21_247,Growth in species occurrence records accessible through the Global Biodiversity Information Facility
Target 21,growth in marine species occurrence records accessible through ocean biodiversity information system (obis),GBF_CY_T21_248,Growth in marine species occurrence records accessible through OBIS
Target 21,proportion of known species assessed through the red list index,GBF_CY_T21_249,Proportion of known species assessed through the IUCN Red List.
Target 21,number of assessments on the red list index,GBF_CY_T21_250,Number of assessments on the IUCN Red List of threatened species
Target 21,world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors),GBF_CY_T21_251,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors)
Target 21,species status index,GBF_CY_T21_252,"Species Status Information Index
"
Target 22,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",GBF_CY_T22_253,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
Target 22,number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF_CY_T22_254,Number of countries with systems to track and make public allocations for gender equality and women's empowerment
Target 22,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_CY_T22_255,"Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
Target 22,number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,GBF_CY_T22_256,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control
Target 22,number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_CY_T22_257,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE)
Target 22,"trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",GBF_CY_T22_258,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill"
Target 22,land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],GBF_CY_T22_259,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure]
Target 22,"proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",GBF_CY_T22_260,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group"
Target 23,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",GBF_CY_T23_261,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
Target 23,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_CY_T23_262,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
Target 23,number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF_CY_T23_263,Number of countries with systems to track and make public allocations for gender equality and women's empowerment
Target 23,number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_CY_T23_264,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE)
Target 23,"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",GBF_CY_T23_265,"Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group"
Target 23,proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,GBF_CY_T23_266,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control
NA,trends in awareness and attitudes to migratory species,SPMS_1_1,Trends in awareness and attitudes to migratory species
NA,trends in integration of migratory species values in national and sectoral policies,SPMS_2_2,Trends in integration of migratory species values in national and sectoral policies
NA,status of migratory species in trade,SPMS_5_1_3,Status of migratory species in trade
NA,wild commodities index (migratory species),SPMS_5_2_4,Wild Commodities Index (migratory species)
NA,proportion of migratory fish stocks in safe biological limits,SPMS_6_5,Proportion of migratory fish stocks in safe biological limits
NA,trends in threats to migratory species,SPMS_7_6,Trends in threats to migratory species
NA,red list index (migratory species),SPMS_8_1_7,Red List Index (migratory species)
NA,red list index (cms-listed bird species),SPMS_8_1_1_8,red list index of species survival for cms-listed bird species
NA,red list index (migratory bird species),SPMS_8_1_2_9,red list index of species survival for migratory bird species
NA,red list index (cms-listed bird and mammal species),SPMS_8_1_3_10,red list index of species survival for cms-listed bird and mammal species
NA,living planet index (migratory species),SPMS_8_2_11,Living Planet Index (migratory species)
NA,wild bird index (migratory birds),SPMS_8_3_12,Wild Bird Index (migratory birds)
NA,trends in distribution of migratory species,SPMS_8_4_13,Trends in distribution of migratory species
NA,"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",SPMS_10_1_14,"Trends in conservation status, including connectivity, of identified habitats of key importance for migratory species"
NA,coverage of key habitats for migratory species in protected areas,SPMS_10_2_15,Coverage of key habitats for migratory species in protected areas
NA,trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,SPMS_10_2_1_16,Trends in protected area coverage of each Key Biodiversity Area identified for CMS-listed bird and mammal species
NA,trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,SPMS_10_2_2_17,Trends in protected area coverage of each Key Biodiversity Area identified for migratory bird and mammal species
NA,management effectiveness of areas protected specifically for migratory species,SPMS_10_3_18,Management effectiveness of areas protected specifically for migratory species.
NA,trends in delivery of ecosystem services directly dependent on migratory species,SPMS_11_19,Trends in delivery of ecosystem services directly dependent on migratory species
NA,trends in genetic diversity of selected species,SPMS_12_20,Trends in genetic diversity of selected species
NA,trends in integration of migratory species concerns in national biodiversity strategies and action plans,SPMS_13_21,Trends in integration of migratory species concerns in National Biodiversity Strategies and Action Plans
NA,"trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the strategic plan for migratory species",SPMS_14_22,"Trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the Strategic Plan for Migratory Species"
NA,number of validated publications on migratory species conservation actively disseminated for policy-relevant use,SPMS_15_23,Number of validated publications on migratory species conservation actively disseminated for policy-relevant use
NA,"aggregated international flows of funding, per annum, for achieving the goals of the strategic plan for migratory species",SPMS_16_24,"Aggregated international flows of funding, per annum, for achieving the goals of the Strategic Plan for Migratory Species."
NA,"amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the strategic plan for migratory species",SPMS_16_25,"Amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the Strategic Plan for Migratory Species."
NA,the number of parties that are in category 1 under the national legislation project,CITES_1_1_1_1,The number of Parties that are in category 1 under the national legislation project
NA,the number of parties that have designated management authorities and scientific authorities,CITES_1_1_2_2,The number of Parties that have designated Management Authorities and Scientific Authorities
NA,the number of parties subject to cites recommendations on trade,CITES_1_1_3_3,The number of Parties subject to CITES recommendations on trade
NA,the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,CITES_1_2_1_4,The number of Parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with Article VI of the Convention
NA,the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),CITES_1_2_2_5,The number of Parties making use of the simplified procedures provided for in Resolution Conf.12.3 (Rev.CoP16)
NA,the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,CITES_1_3_1_6,The number of Parties that have implemented relevant reporting under Resolutions and Decisions of the Conference of the Parties and/or Standing Committee recommendations
NA,the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,CITES_1_4_1_7,The number and proportion of species that have been found to meet the criteria contained in Resolution Conf.9.24 or its successors. This includes both the periodic review and amendment proposals
NA,"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species",CITES_1_5_1_8_a,"The number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf.16.7 on Non detriment findings related to  the population status of Appendix-II species"
