indicators_harmonized,ga,sua,ipcc,km_gbf,sdg
ocean acidification,NA,NA,NA,1,NA
eflow index,NA,NA,NA,1,NA
change in the quality of inland water ecosystems over time,NA,NA,NA,1,NA
change in the quality of coastal water ecosystems over time,NA,NA,NA,1,NA
level of erosion,NA,NA,NA,1,NA
biofuel production,NA,NA,NA,1,NA
population involved in hunting and gathering,NA,NA,NA,1,NA
forestry production and trade (wood fuel),NA,NA,NA,1,NA
trends in the legal trade of medicinal plants,NA,NA,NA,1,NA
visitor management assessment,NA,NA,NA,1,NA
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,NA,NA,NA,1,NA
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",NA,NA,NA,1,NA
trends of bilinguistic diversity and numbers of speakers of indigenous languages,NA,NA,NA,1,NA
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",NA,NA,NA,1,NA
cultural vitality index,NA,NA,NA,1,NA
unesco culture 2030 (multiple indicators),NA,NA,NA,1,NA
processes and tools to monitor the implementation of a right to a healthy environment,NA,NA,NA,1,NA
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,NA,NA,NA,1,NA
total number of internationally recognized certificates of compliance published in the abs clearing-house,NA,NA,NA,1,NA
number of checkpoint communiques published in the abs clearing-house,NA,NA,NA,1,NA
number of internationally recognized certificates of compliance for non-commercial purposes,NA,NA,NA,1,NA
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",NA,NA,NA,1,NA
finance mobilized for capacity-building,NA,NA,NA,1,NA
"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",NA,NA,NA,1,NA
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",NA,NA,NA,1,NA
number of scientists per population,NA,NA,NA,1,NA
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,NA,NA,NA,1,NA
nationally maintained research vessels,NA,NA,NA,1,NA
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,NA,NA,NA,1,NA
number of countries using natural capital accounts in planning processes,NA,NA,NA,1,NA
percentage of spatial plans utilizing information on key biodiversity areas,NA,NA,NA,1,NA
habitat patches located within marine protected areas or integrated coastal zone management (iczm),NA,NA,NA,1,NA
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),NA,NA,NA,1,NA
number of countries using ocean accounts in planning processes,NA,NA,NA,1,NA
percent of total land area that is under cultivation,NA,NA,NA,1,NA
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",NA,NA,NA,1,NA
habitat distributional range,NA,NA,NA,1,NA
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",NA,NA,NA,1,NA
increase in secondary natural forest cover,NA,NA,NA,1,NA
annual tropical primary tree cover loss,NA,NA,NA,1,NA
global ecosystem restoration index,NA,NA,NA,1,NA
percentage of cropped landscapes with at least 10 % natural land,NA,NA,NA,1,NA
status of key biodiversity areas,NA,NA,NA,1,NA
"protected area downgrading, downsizing and degazettement (pd)",NA,NA,NA,1,NA
iucn green list of protected and conserved areas,NA,NA,NA,1,NA
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),NA,NA,NA,1,NA
protected area and oecm management effectiveness (mepca) indicator,NA,NA,NA,1,NA
protected area isolation index (pai),NA,NA,NA,1,NA
protected areas network metric (pronet),NA,NA,NA,1,NA
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,NA,NA,NA,1,NA
coverage of protected areas and oecms and traditional territories (by governance type),NA,NA,NA,1,NA
ramsar management effectiveness tracking tool (r-mett),NA,NA,NA,1,NA
percentage of biosphere reserves that have a positive conservation outcome and effective management,NA,NA,NA,1,NA
extent of indigenous peoples and local communities lands that have some form of recognition,NA,NA,NA,1,NA
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",NA,NA,NA,1,NA
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",NA,NA,NA,1,NA
species threat abatement and restoration metric,NA,NA,NA,1,NA
changing status of evolutionary distinct and globally endangered species (edge index),NA,NA,NA,1,NA
number of cms daughter agreements,NA,NA,NA,1,NA
sustainable watershed and inland fisheries index,NA,NA,NA,1,NA
red list index (internationally traded species and migratory species),NA,NA,NA,1,NA
marine stewardship council fish catch,NA,NA,NA,1,NA
total catch of cetaceans under international convention for the regulation of whaling,NA,NA,NA,1,NA
by catch of vulnerable and non-target species,NA,NA,NA,1,NA
proportion of legal and illegal wildlife trade consisting of species threatened with extinction,NA,NA,NA,1,NA
illegal trade by cites species classification,NA,NA,NA,1,NA
number of countries incorporating trade in their national biodiversity policy,NA,NA,NA,1,NA
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,NA,NA,NA,1,NA
number of msc chain of custody certification holders by distribution country,NA,NA,NA,1,NA
trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),NA,NA,NA,1,NA
number of invasive alien species in national lists as per the global register of introduced and invasive species,NA,NA,NA,1,NA
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",NA,NA,NA,1,NA
trends in loss of reactive nitrogen to the environment,NA,NA,NA,1,NA
trends in nitrogen deposition,NA,NA,NA,1,NA
municipal solid waste collected and managed,NA,NA,NA,1,NA
hazardous waste generation,NA,NA,NA,1,NA
trends in the amount of litter in the water column including microplastics and on the seafloor,NA,NA,NA,1,NA
underwater noise pollution,NA,NA,NA,1,NA
"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",NA,NA,NA,1,NA
pesticide use per area of cropland,NA,NA,NA,1,NA
above-ground biomass stock in forest,NA,NA,NA,1,NA
index of coastal eutrophication potential (icep),NA,NA,NA,1,NA
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",NA,NA,NA,1,NA
spawning stock biomass (related to commercially exploited species),NA,NA,NA,1,NA
agrobiodiversity index,NA,NA,NA,1,NA
changes in soil organic carbon stocks,NA,NA,NA,1,NA
air emission accounts,NA,NA,NA,1,NA
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,NA,NA,NA,1,NA
"total number of permits, or their equivalent, granted for access to genetic resources",NA,NA,NA,1,NA
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",NA,NA,NA,1,NA
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,NA,NA,NA,1,NA
estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,NA,NA,NA,1,NA
recycling rate,NA,NA,NA,1,NA
life cycle impact assessment (lcia),NA,NA,NA,1,NA
levels of poverty in developing communities,NA,NA,NA,1,NA
number of countries that have the necessary biosafety legal and administrative measures in place,NA,NA,NA,1,NA
number of countries that implement their biosafety measures,NA,NA,NA,1,NA
number of countries that have the necessary measures and means for detection and identification of products of biotechnology,NA,NA,NA,1,NA
number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,NA,NA,NA,1,NA
number of countries that establish and implement risk management measures,NA,NA,NA,1,NA
percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,NA,NA,NA,1,NA
number of countries with legal and technical measures for restoration and compensation,NA,NA,NA,1,NA
percentage of parties to the nagoya - kuala lumpur supplementary protocol,NA,NA,NA,1,NA
percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,NA,NA,NA,1,NA
number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,NA,NA,NA,1,NA
number of countries with biodiversity-relevant taxes,NA,NA,NA,1,NA
number of countries with biodiversity-relevant charges and fees,NA,NA,NA,1,NA
number of countries with biodiversity-relevant tradable permit schemes,NA,NA,NA,1,NA
trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),NA,NA,NA,1,NA
trends in the number and value of government fossil-fuel support measures,NA,NA,NA,1,NA
amount of funding provided through the global environment facility and allocated to the biodiversity focal area,NA,NA,NA,1,NA
amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,NA,NA,NA,1,NA
"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries",NA,NA,NA,1,NA
amount of biodiversity-related philanthropic funding,NA,NA,NA,1,NA
number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,NA,NA,NA,1,NA
"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities",NA,NA,NA,1,NA
growth in number of records and species in the living planet index database,NA,NA,NA,1,NA
growth in marine species occurrence records accessible through ocean biodiversity information system (obis),NA,NA,NA,1,NA
number of assessments on the iucn red list of threatened species,NA,NA,NA,1,NA
world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors),NA,NA,NA,1,NA
"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",NA,NA,NA,1,NA
number of countries with systems to track and make public allocations for gender equality and women's empowerment,NA,NA,NA,1,NA
number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,NA,NA,NA,1,NA
"trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",NA,NA,NA,1,NA
land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],NA,NA,NA,1,NA
"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",NA,NA,NA,1,NA
