indic_id,indicator_type,Goal/target,Goal/target (explicit),Indicator name,Indicator,indicators,Availability,Time series,Update frequency,Data relevant at global scale,Data available/collated national scale,National methodology available,Institution,Other MEAs/Processes,Used in 5NR/6NR,BIP Indicator,Gender,indicators_harmonized
GBF_C_T14_99,component,Target 14,,Number of countries with Implementation of the System of Environmental Economic Accounting,Number of countries with Implementation of the System of Environmental Economic Accounting,Number of countries with Implementation of the System of Environmental Economic Accounting,Available,,Yearly,Y,Y,Data pending,United Nations Statistics Division (UNSD),SDG,Data pending,N,Data pending,number of countries with implementation of the system of environmental economic accounting
GBF_C_T15_100,component,Target 15,,Indicator based on Task Force for Naturerelated Financial Disclosures,Indicator based on Task Force for Naturerelated Financial Disclosures,Indicator based on Task Force for Naturerelated Financial Disclosures,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,indicator based on task force for naturerelated financial disclosures
GBF_C_T16_101,component,Target 16,,Food waste index,Food waste index,Food waste index,Available,,Data pending,Y,Y,Y,United Nations Statistics Division (UNSD); United Nations Environment Programme (UNEP),SDG,N,N,N,food waste index
GBF_C_T16_102,component,Target 16,,Material footprint per capita,Material footprint per capita,Material footprint per capita,Available,,2 - 3 years,Y,Y,Y,United Nations Environment Programme (UNEP),SDG,N,N,N,material footprint per capita
GBF_C_T16_103,component,Target 16,,Global environmental impacts of consumption,Global environmental impacts of consumption,Global environmental impacts of consumption,In Development,,Data Pending,Y,Y,N,Joint Nature Conservation Committee (JNCC); Stockholm Environment Institute; University of York,Data Pending,N,N,N,global environmental impacts of consumption
GBF_C_T16_104,component,Target 16,,Ecological footprint,Ecological footprint,Ecological footprint,Available,,Yearly,Y,Y,Y,Global Footprint Network,IPBES,6NR 4 out of 20 countries sampled,Y,N,ecological footprint
GBF_C_T18_106,component,Target 18,,"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated","Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated","Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",Data Pending,,Data Pending,Data Pending,Data Pending,Data Pending,Data Pending,Data Pending,Data Pending,Data Pending,Data Pending,"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated"
GBF_C_T21_109,component,Target 21,,Species status index,Species status index,Species status index,Available,,Yearly,Y,N,Y,Yale University; Map of Life (MOL); Global Biodiversity Information Facility (GBIF),IPBES,N,N,N,species status index
GBF_C_T21_110,component,Target 21,,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments","Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Available,,4 years,N,Y,Y,"United Nations Educational, Scientific and Cultural Organization's Education Sector, Division for Peace and Sustainable Development, Section of Education for Sustainable Development and Institute for Statistics(UNESCO-ED/PSD/ESD/UIS)",SDG,N,N,N,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
GBF_C_T22_111,component,Target 22,,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure","Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure","Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",Available,,No fixed releases; depends on release of relevant survey data,Y,Y,Y,United Nations (UN) Habitat; World Bank,SDG,N,N,Y,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure"
GBF_C_T23_112,component,Target 23,,Proportion of seats held by women in (a) national parliaments and (b) local governments,Proportion of seats held by women in (a) national parliaments and (b) local governments,Proportion of seats held by women in (a) national parliaments and (b) local governments,Available,,Monthly,Y,Y,Y,Inter-Parliamentary Union (IPU),SDG,N,N,Y,proportion of seats held by women in (a) national parliaments and (b) local governments
GBF_C_T23_113,component,Target 23,,Indicator on national implementation of the gender plan of action,Indicator on national implementation of the gender plan of action,Indicator on national implementation of the gender plan of action,Data Pending,,Data Pending,Data Pending,Data Pending,Data Pending,Data Pending,Data Pending,Data Pending,Data Pending,Data Pending,indicator on national implementation of the gender plan of action
GBF_C_T23_114,component,Target 23,,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure","Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure","Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",Available,,No fixed releases; depends on release of relevant survey data,Y,Y,Y,United Nations (UN) Habitat; World Bank,SDG,N,N,Y,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure"
GBF_CY_GA_115,complementary,Goal A,,Forest area as a proportion of total land area,Forest area as a proportion of total land area,Forest area as a proportion of total land area,Available,,"1990, 2000, 2010, 2015, then annually to 2020",Y,Y,Y,Food and Agriculture Organization (FAO),IPBES; SDG,6NR 7 out of 20 countries sampled,Y,N,forest area as a percentage of total land area
GBF_CY_GA_116,complementary,Goal A,,Forest distribution,Forest distribution,Forest distribution,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,forest distribution
GBF_CY_GA_117,complementary,Goal A,,Tree cover loss,Tree cover loss,Tree cover loss,Available,,Yearly,Y,N,Y,Global Forest Watch - World Resource Institute (WRI); University of Maryland Global Land Analysis & Discovery lab (GLAD),N,N,N,N,tree cover loss
GBF_CY_GA_118,complementary,Goal A,,Grassland and savannah extent,Grassland and savannah extent,Grassland and savannah extent,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,grassland and savannah extent
GBF_CY_GA_119,complementary,Goal A,,Mountain Green Cover Index,Mountain Green Cover Index,Mountain Green Cover Index,Available,,Data pending,Y,Y,Y,Food and Agriculture Organization(FAO),SDG,N,N,N,mountain green cover index
GBF_CY_GA_120,complementary,Goal A,,Peatland extent and condition,Peatland extent and condition,Peatland extent and condition,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,peatland extent and condition
GBF_CY_GA_121,complementary,Goal A,,"Permafrost thickness, depth and extent","Permafrost thickness, depth and extent","Permafrost thickness, depth and extent",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"permafrost thickness, depth and extent"
GBF_CY_GA_122,complementary,Goal A,,Continuous Global Mangrove Forest Cover,Continuous Global Mangrove Forest Cover,Continuous Global Mangrove Forest Cover,Available,,5 years,Y,N,Y,Salisbury University,N,N,Y,N,continuous global mangrove forest area
GBF_CY_GA_123,complementary,Goal A,,Trends in mangrove forest fragmentation,Trends in mangrove forest fragmentation,Trends in mangrove forest fragmentation,Available,,Data pending,Y,N,N,Griffith University (Australian Rivers Institute),N,N,N,N,trends in mangrove forest fragmentation
GBF_CY_GA_124,complementary,Goal A,,Trends in mangrove extent,Trends in mangrove extent,Trends in mangrove extent,Available,,Yearly,Y,Y,Y,Global Mangrove Watch,SDG,N,N,N,trends in mangrove extent
GBF_CY_GA_125,complementary,Goal A,,Live coral cover,Live coral cover,Live coral cover,Available,,Yearly,Y,N,Y,Global Coral Reef Monitoring Network; Global Ocean Observing System,N,6NR 8 out of 20 countries sampled,Y,N,live coral cover
GBF_CY_GA_126,complementary,Goal A,,Hard coral cover and composition,Hard coral cover and composition,Hard coral cover and composition,In development,,Data pending,Data pending,Data pending,Data pending,"Global Coral Reef Monitoring Network; Intergovernmental Oceanographic Commission - United Nations Educational, Scientific and Cultural Organization (IOC-UNESCO)",Data pending,N,N,Data pending,hard coral cover and composition
GBF_CY_GA_127,complementary,Goal A,,Global coral reef extent,Global coral reef extent,Global coral reef extent,Available,,Data pending,Y,N,N,WorldFish Centre; United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC); The Nature Conservancy (TNC); World Resources Institute (WRI),N,N,N,N,global coral reef extent
GBF_CY_GA_128,complementary,Goal A,,Global Seagrass Extent (Seagrass Cover and composition),Global Seagrass Extent (Seagrass Cover and composition),Global Seagrass Extent (Seagrass Cover and composition),In development,,Data pending,Y,Y,N,"United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC); Intergovernmental Oceanographic Commission - United Nations Educational, Scientific and Cultural Organization (IOC-UNESCO)",N,N,N,N,global seagrass extent (seagrass cover and composition)
GBF_CY_GA_129,complementary,Goal A,,Global saltmarsh extent,Global saltmarsh extent,Global saltmarsh extent,Available,,Data pending,Y,N,N,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC),N,N,N,N,global saltmarsh extent
GBF_CY_GA_130,complementary,Goal A,,Kelp canopy extent,Kelp canopy extent,Kelp canopy extent,In development,,16 days,Y,N,N,KEEP; Zooniverse; Santa Barbara Coastal; Long Term Ecological Research (SBC-LTER),N,N,N,N,kelp canopy extent
GBF_CY_GA_131,complementary,Goal A,,Macroalgal Canopy Cover and Composition,Macroalgal Canopy Cover and Composition,Macroalgal Canopy Cover and Composition,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,macroalgal canopy cover and composition
GBF_CY_GA_132,complementary,Goal A,,Cover of key benthic groups,Cover of key benthic groups,Cover of key benthic groups,In development,,Data pending,Y,Y,N,Global Coral Reef Monitoring Network,N,N,N,N,cover of key benthic groups
GBF_CY_GA_133,complementary,Goal A,,Fleshy algae cover,Fleshy algae cover,Fleshy algae cover,In development,,Data pending,Y,Y,N,Global Coral Reef Monitoring Network,N,N,N,N,fleshy algae cover
GBF_CY_GA_134,complementary,Goal A,,Wetland Extent Trends Index,Wetland Extent Trends Index,Wetland Extent Trends Index,Available,,Data pending,Y,N,Y,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC); Secretariat of the Ramsar Convention on Wetlands,Ramsar Convention on Wetlands,6NR 8 out of 20 countries sampled,Y,N,wetland extent trends index
GBF_CY_GA_135,complementary,Goal A,,Change in the extent of inland water ecosystems over time,Change in the extent of inland water ecosystems over time,Change in the extent of inland water ecosystems over time,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,change in the extent of inland water ecosystems over time
GBF_CY_GA_136,complementary,Goal A,,Forest Fragmentation Index,Forest Fragmentation Index,Forest Fragmentation Index,Available,,Yearly,Y,N,Y,Food and Agriculture Organization (FAO),N,N,N,N,forest fragmentation index
GBF_CY_GA_137,complementary,Goal A,,Forest Landscape Integrity Index,Forest Landscape Integrity Index,Forest Landscape Integrity Index,Available,,Yearly,Y,N,Y,Wildlife Conservation Society (WCS),N,N,Y,N,forest landscape integrity index
GBF_CY_GA_138,complementary,Goal A,,Biomass of selected natural ecosystems,Biomass of selected natural ecosystems,Biomass of selected natural ecosystems,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,biomass of selected natural ecosystems
GBF_CY_GA_139,complementary,Goal A,,Biodiversity Habitat Index,Biodiversity Habitat Index,Biodiversity Habitat Index,Available,,5 years,Y,Y,Y,Commonwealth Scientific and Industrial Research Organisation (CSIRO),IPBES,N,Y,N,biodiversity habitat index
GBF_CY_GA_140,complementary,Goal A,,Global Vegetation Health Products,Global Vegetation Health Products,Global Vegetation Health Products,Available,,Near real-time,Y,N,N,United Nations Platform for Space-based Information for Disaster Management and Emergency Response (UN-SPIDER); National Oceanic and Atmospheric Administration Center for Satellite Applications and Research (NOAA-STAR),N,N,N,N,global vegetation health products
GBF_CY_GA_141,complementary,Goal A,,Bioclimatic Ecosystem Resilience Index (BERI),Bioclimatic Ecosystem Resilience Index (BERI),Bioclimatic Ecosystem Resilience Index (BERI),Available,,5 years,Y,Y,Y,Commonwealth Scientific and Industrial Research Organisation (CSIRO),N,N,Y,N,bioclimatic ecosystem resilience index (beri)
GBF_CY_GA_142,complementary,Goal A,,Relative Magnitude of Fragmentation (RMF),Relative Magnitude of Fragmentation (RMF),Relative Magnitude of Fragmentation (RMF),Available,,Yearly,Y,N,Y,University of Amsterdam,N,N,N,N,relative magnitude of fragmentation (rmf)
GBF_CY_GA_143,complementary,Goal A,,Ecosystem Intactness Index,Ecosystem Intactness Index,Ecosystem Intactness Index,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,ecosystem intactness index
GBF_CY_GA_144,complementary,Goal A,,Biodiversity Intactness Index,Biodiversity Intactness Index,Biodiversity Intactness Index,Available,,Data pending,Y,N,Y,Natural History Museum (NHM),IPBES,6NR 1 out of 20 countries sampled,Y,N,biodiversity intactness index
GBF_CY_GA_145,complementary,Goal A,,Ocean Health Index,Ocean Health Index,Ocean Health Index,Available,,Yearly,Y,N,Y,National Centre for Ecological Analysis and Synthesis (NCEAS),N,6NR 1 out of 20 countries sampled,Y,N,ocean health index
GBF_CY_GA_146,complementary,Goal A,,Extent of physical damage indicator to predominant seafloor habitats physical damage,Extent of physical damage indicator to predominant seafloor habitats physical damage,Extent of physical damage indicator to predominant seafloor habitats physical damage,Available,,6 years,Y,Y,Y,Joint Nature Conservation Committee (JNCC),N,N,N,N,extent of physical damage indicator to predominant seafloor habitats physical damage
GBF_CY_GA_147,complementary,Goal A,,River Fragmentation Index,River Fragmentation Index,River Fragmentation Index,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,river fragmentation index
GBF_CY_GA_148,complementary,Goal A,,Dendritic Connectivity Index,Dendritic Connectivity Index,Dendritic Connectivity Index,Available,,Data pending,N,N,Y,Memorial University of Newfoundland,N,N,N,N,dendritic connectivity index
GBF_CY_GA_149,complementary,Goal A,,Percentage of threatened species that are improving in status according to the Red List,Percentage of threatened species that are improving in status according to the Red List,Percentage of threatened species that are improving in status according to the Red List,Available,,Anticipated 2024,Y,N,Y,International Union for Conservation of Nature (IUCN),N,N,N,N,percentage of threatened species that are improving in status
GBF_CY_GA_150,complementary,Goal A,,Number of threatened species by species group,Number of threatened species by species group,Number of threatened species by species group,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,number of threatened species by species group
GBF_CY_GA_151,complementary,Goal A,,Wild bird index,Wild bird index,Wild bird index,Available,,Yearly,N,Y,Y,USGS; BirdLife International (BLI); Royal Society for the Protection of Birds (RSPB); PanEuropean Common Bird Monitoring Scheme (PECBMS),SPMS,N,Y,N,wild bird index
GBF_CY_GA_152,complementary,Goal A,,Mean Species Abundance (MSA),Mean Species Abundance (MSA),Mean Species Abundance (MSA),Available,,2 years,Y,N,Y,Global biodiversity model for policy support (GLOBIO) consortium partner  Netherlands Environmental Assessment Agency (PBL),IPBES,N,N,N,mean species abundance (msa)
GBF_CY_GA_153,complementary,Goal A,,Species Protection Index,Species Protection Index,Species Protection Index,Available,,Yearly,Y,Y,Y,Yale University; Map of Life (MOL),IPBES,N,Y,N,species protection index
GBF_CY_GA_154,complementary,Goal A,,Changes in plankton biomass and abundance,Changes in plankton biomass and abundance,Changes in plankton biomass and abundance,Available,,Data pending,Y,N,N,Plymouth University; Healthy & Biologically Diverse Seas Evidence Group (HBDSEG),N,N,N,N,changes in plankton biomass and abundance
GBF_CY_GA_155,complementary,Goal A,,Fish abundance and biomass,Fish abundance and biomass,Fish abundance and biomass,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,fish abundance and biomass
GBF_CY_GA_156,complementary,Goal A,,Genetic scorecard for wild species,Genetic scorecard for wild species,Genetic scorecard for wild species,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,genetic scorecard for wild species
GBF_CY_GA_157,complementary,Goal A,,Species richness/Changes in local terrestrial diversity (PREDICTS),Species richness/Changes in local terrestrial diversity (PREDICTS),Species richness,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,species richness
GBF_CY_GA_158,complementary,Goal A,,Species richness/Changes in local terrestrial diversity (PREDICTS),Species richness/Changes in local terrestrial diversity (PREDICTS),Changes in local terrestrial diversity (PREDICTS),Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,local species richness (predicts)
GBF_CY_GA_159,complementary,Goal A,,Marine species richness,Marine species richness,Marine species richness,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,marine species richness
GBF_CY_GA_160,complementary,Goal A,,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species,Available,,5 years,Y,N,Y,International Center for Tropical Agriculture (CIAT); Global Crop Diversity Trust (Crop Trust),N,N,Y,N,comprehensiveness of conservation of socioeconomically as well as culturally valuable species
GBF_CY_GA_161,complementary,Goal A,,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Available,,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,6NR 4 out of 20 countries sampled,Y,N,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities
GBF_CY_GA_162,complementary,Goal A,,Proportion of local breeds classified as being at risk extinction,Proportion of local breeds classified as being at risk extinction,Proportion of local breeds classified as being at risk extinction,Available,,Yearly,N,Y,Y,Food and Agriculture Organization (FAO),IPBES; SDG,N,Y,N,proportion of local breeds classified as being at risk of extinction
GBF_CY_GA_163,complementary,Goal A,,Red List Index (wild relatives of domesticated animals),Red List Index (wild relatives of domesticated animals),Red List Index (wild relatives of domesticated animals),Available,,1988 - 2016  Annually; 2020 onwards every 4-5 years,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,red list index (wild relatives of farmed and domesticated species)
GBF_CY_GA_164,complementary,Goal A,,CMS Connectivity Indicator,CMS Connectivity Indicator,CMS Connectivity Indicator,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,cms connectivity indicator
GBF_CY_GA_165,complementary,Goal A,,Species Status Index,Species Status Index,Species Status Index,Available,,Yearly,Y,N,Y,Yale University; Map of Life (MOL); Global Biodiversity Information Facility (GBIF),IPBES,N,N,N,species status index
GBF_CY_GA_166,complementary,Goal A,,Intact Wilderness,Intact Wilderness,Intact Wilderness,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,intact wilderness
GBF_CY_GA_167,complementary,Goal A,,Expected Loss of Phylogenetic diversity,Expected Loss of Phylogenetic diversity,Expected Loss of Phylogenetic diversity,In development,,Yearly,Y,Y,N,Australian Museum; International Union for Conservation of Natur Species Survival Commission (IUCN SSC) Phylogenetic Diversity Task Force; Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),N,N,N,N,loss of phylogenetic diversity
GBF_CY_GA_168,complementary,Goal A,,Proportion of populations maintained within species,Proportion of populations maintained within species,Proportion of populations maintained within species,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,proportion of populations maintained within species
GBF_CY_GA_169,complementary,Goal A,,Free flowing rivers,Free flowing rivers,Free flowing rivers,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,free flowing rivers
GBF_CY_GB_170,complementary,Goal B,,Levels of poverty in biodiversity depended communities,Levels of poverty in biodiversity depended communities,Levels of poverty in biodiversity depended communities,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,levels of poverty in biodiversity depended communities
GBF_CY_GB_171,complementary,Goal B,,Ecological footprint,Ecological footprint,Ecological footprint,Available,,Yearly,Y,Y,Y,Global Footprint Network,IPBES,6NR 4 ouf of 20 countries sampled,Y,N,ecological footprint
GBF_CY_GB_172,complementary,Goal B,,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,number of certified forest areas under sustainable management with verified impacts on biodiversity conservation
GBF_CY_GB_173,complementary,Goal B,,Expected loss of Phylogenetic Diversity,Expected loss of Phylogenetic Diversity,Expected loss of Phylogenetic Diversity,In development,,Yearly,Y,Y,N,Australian Museum; International Union for Conservation of Natur Species Survival Commission (IUCN SSC) Phylogenetic Diversity Task Force; Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),N,N,N,N,loss of phylogenetic diversity
GBF_CY_GB_174,complementary,Goal B,,Red List Index (pollinating species),Red List Index (pollinating species),Red List Index (pollinating species),Available,,1988 - 2016  Annually; 2020 onwards every 4-5 years,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,red list index (pollinators)
GBF_CY_GB_175,complementary,Goal B,,Green status index (pollinators),Green status index (pollinators),Green status index (pollinators),Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,green status index (pollinators)
GBF_CY_GB_176,complementary,Goal B,,Air quality index,Air quality index,Air quality index,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,air quality index
GBF_CY_GB_177,complementary,Goal B,,Air pollution emissions account,Air pollution emissions account,Air pollution emissions account,Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),N,N,N,N,air pollution emissions account
GBF_CY_GB_178,complementary,Goal B,,Zoonotic disease in wildlife,Zoonotic disease in wildlife,Zoonotic disease in wildlife,Available,,Yearly,N,Y,Y,World Health Organization (WHO),N,N,N,N,zoonotic disease in wildlife
GBF_CY_GB_179,complementary,Goal B,,Climatic impact index,Climatic impact index,Climatic impact index,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,climatic impact index
GBF_CY_GB_180,complementary,Goal B,,Ocean acidification,Ocean acidification,Ocean acidification,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,ocean acidification
GBF_CY_GB_181,complementary,Goal B,,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Available,,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO) AQUASTAT,SDG,6NR 1 out of 20 countries sampled,N,N,level of water stress (freshwater withdrawal as a proportion of available freshwater resources)
GBF_CY_GB_182,complementary,Goal B,,Proportion of bodies of water with good ambient water quality,Proportion of bodies of water with good ambient water quality,Proportion of bodies of water with good ambient water quality,Available,,Data pending,Y,Y,Y,United Nations Environment Programme (UNEP); Global Environment Monitoring System(GEMS),SDG,6NR 2 out of 20 countries sampled,N,N,proportion of bodies of water with good ambient water quality
GBF_CY_GB_183,complementary,Goal B,,Eflow index,Eflow index,Eflow index,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,eflow index
GBF_CY_GB_184,complementary,Goal B,,Change in the quality of inland water ecosystems over time,Change in the quality of inland water ecosystems over time,Change in the quality of inland water ecosystems over time,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,change in the quality of inland water ecosystems over time
GBF_CY_GB_185,complementary,Goal B,,Change in the quality of coastal water ecosystems over time,Change in the quality of coastal water ecosystems over time,Change in the quality of coastal water ecosystems over time,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,change in the quality of coastal water ecosystems over time
GBF_CY_GB_186,complementary,Goal B,,Level of erosion,Level of erosion,Level of erosion,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,level of erosion
GBF_CY_GB_187,complementary,Goal B,,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Available,,Data pending,Y,Y,Y,United Nations Office for Disaster Risk Reduction (UNDRR),SDG,N,N,Y,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
GBF_CY_GB_188,complementary,Goal B,,Intact wilderness,Intact wilderness,Intact wilderness,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,intact wilderness
GBF_CY_GB_189,complementary,Goal B,,Biofuel production,Biofuel production,Biofuel production,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,biofuel production
GBF_CY_GB_190,complementary,Goal B,,Maximum fish catch potential,Maximum fish catch potential,Maximum fish catch potential,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,fish catch potential
GBF_CY_GB_191,complementary,Goal B,,Population involved in hunting and gathering,Population involved in hunting and gathering,Population involved in hunting and gathering,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,population involved in hunting and gathering
GBF_CY_GB_192,complementary,Goal B,,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale"
GBF_CY_GB_193,complementary,Goal B,,Forestry Production & Trade (Wood Fuel),Forestry Production & Trade (Wood Fuel),Forestry Production & Trade (Wood Fuel),Available,,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO),N,N,N,N,forestry production and trade (wood fuel)
GBF_CY_GB_194,complementary,Goal B,,Trends in the legal trade of medicinal plants,Trends in the legal trade of medicinal plants,Trends in the legal trade of medicinal plants,In development,,Yearly,Y,Y,N,United Nations Conference on Trade and Development (UNCTAD),N,N,N,N,trends in the legal trade of medicinal plants
GBF_CY_GB_195,complementary,Goal B,,Visitor management assessment,Visitor management assessment,Visitor management assessment,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,visitor management assessment
GBF_CY_GB_196,complementary,Goal B,,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,Available,,Data pending,N,Y,N,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",N,N,N,N,number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves
