indicator_harmonized,indic_ids,ipbes_extracted
total greenhouse gas emissions per year,GA_2_118_47,1
total imports,IAS_2_5_11,1
total land footprint,GA_2_118_47,1
total number of introduced alien species,IAS_2_15_20,1
total population,GA_2_24_29,1
total richness of endemic species,GA_2.2_21_61,1
total wood removals,GA_1_52_19,1
totem or culturally important species,IAS_4_140_116,1
trade in wild animals,SUA_4_184_143,1
trade in wild mammals,SUA_4_184_143,1
transfer of water to the atmosphere,GA_2.3_56_155,1
tree biomass,IAS_3_84_95,1
tree cover,GA_2.2_1_50;GA_2.2_37_70;GA_2.2_40_77;GA_3_15_329;GA_3_55_389;GA_3_72_395,1
trend in carbon intensity,GA_1_52_19,1
trends in adoption of multinational agreements to reduce invasive alien species threats,IAS_6_21_146,1
trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species,IAS_6_11_138;IAS_6_119_174,1
trends in extinction risk of birds impacted by invasive species,IAS_6_21_146,1
trends in fisheries certified by the msc,GA_1_52_19,1
trends in forest extent,GA_1_52_19,1
trends in invasive alien species eradication at different scales,IAS_6_21_146,1
trends in invasive alien species relevant submissions to managers,IAS_6_21_146,1
trends in invasive alien species vertebrate eradications,GA_1_52_19,1
trends in nitrogen deposition,GA_1_52_19,1
trends in numbers and spatial distribution of invasive alien species and their impacts,IAS_6_119_174,1
trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,IAS_6_11_138;IAS_6_119_174,1
trends in numbers of facilities in the region,IAS_6_21_146,1
trends in numbers of invasive alien species and their impacts,IAS_6_11_138,1
trends in pathways of introduction and spread,IAS_6_11_138;IAS_6_119_174,1
trends in pesticide use,GA_1_52_19,1
trends in potentially harmful elements of government support to agriculture (produced support estimates),GA_1_52_19,1
trends in potentially harmful elements of government support to fisheries,GA_1_52_19,1
trends in species at risk of localized extinction in a protected area,IAS_6_56_150,1
trends in successful control and eradications of invasive alien species,IAS_6_11_138,1
trends in successful eradications of invasive alien species,IAS_6_119_174,1
trends in the allocation of resources towards the prevention or control of invasive alien species,IAS_6_11_138;IAS_6_119_174,1
trends in the numbers of invasive alien species introduction events,GA_1_52_19,1
trends in the prevention and eradication and control of invasive alien species,IAS_6_119_174,1
trends in the prevention of invasive alien species,IAS_6_11_138,1
trends of populations of palatable or unpalatable species,GA_2.2_63_107,1
"trends, mechanisms and severity of invasive alien species impacts",IAS_6_11_138;IAS_6_119_174,1
tropical forest-monocrop conversions,GA_2.2_6_56,1
undp human development dashboard,VA_2_8_10,1
united nations system of environmental economic accounting,VA_2_39_33,1
uplisting of species or populations from appendix ii to appendix i,SUA_4_66_123,1
use of natural resource,VA_3_2_52,1
value of merchandise being exported,GA_2_22_28,1
variability in migration patterns,SUA_2_97_80,1
vegetation biomass,GA_2.2_37_70,1
"visitation rates to natural terrestrial, coastal, and marine areas",GA_2.3_42_143,1
visitation to national parks,GA_2.3_32_132,1
visitation to natural areas,GA_2.3_50_149,1
visitation to urban green spaces,GA_2.3_32_132,1
water availability,GA_2.3_42_143,1
water available for people relative to demand,GA_2.3_42_143,1
water footprint,GA_1_52_19;GA_3_26_355,1
water quality,GA_3_123_420,1
water quality index (watqi),GA_2_110_45,1
water quality risk index,GA_6_93_281,1
weather patterns,SUA_2_95_77,1
weighted endemisms,GA_2.2_21_61,1
wetland extent trends index,GA_1_52_19;GA_1_52_19;GA_2.2_37_70;GA_2.2_39_75;GA_3_15_329,1
wild bird index,GA_2.2_37_70,1
wild bird index (farmland birds),GA_3_15_329;GA_3_31_358,1
wild bird index (habitat specialists),GA_3_15_329;GA_3_51_381,1
wild mammal biomass,GA_2.2_37_70,1
wildlife picture index,GA_1_52_19,1
willingness to allocate time for nature´s contributions to people conservation,VA_2_37_25;VA_2_63_45,1
willingness to give up access to land or other resources to protect nature,VA_3_76_86,1
willingness to pay to protect nature or improve ecosystem services,VA_2_18_19;VA_2_63_45;VA_3_76_86,1
world happiness index,GA_2_25_34,1
world trade organisation greenbox agricultural subsidies,GA_3_15_329,1
