indicators_harmonized,ids,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_orig
agriculture orientation index for government expenditures,SDG_2_a_1_26,SDG,1,Direct Drivers,Land Conversion,NA,NA,The agriculture orientation index for government expenditures
total official flows (official development assistance plus other official flows) to the agriculture sector,SDG_2_a_2_27,SDG,1,Human Assets,State Of Economy,NA,Information On Society And Socio-Economics,Total official flows (official development assistance plus other official flows) to the agriculture sector
agricultural export subsidies,SDG_2_b_1_28,SDG,1,Governance,Legislation/Governance,NA,NA,Agricultural export subsidies
indicator of food price anomalies,SDG_2_c_1_29,SDG,1,Human Assets,Coverage Of Basic Needs,NA,NA,Indicator of food price anomalies
maternal mortality ratio,SDG_3_1_1_30,SDG,NA,Human Well-Being,Healthy Living Conditions,Human Assets,Coverage Of Basic Needs,Maternal mortality ratio
proportion of births attended by skilled health personnel,SDG_3_1_2_31,SDG,NA,Human Assets,Coverage Of Basic Needs,Human Well-Being,Healthy Living Conditions,Proportion of births attended by skilled health personnel
under-five child mortality rate,SDG_3_2_1_32,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,Under‑5 mortality rate
neonatal mortality rate,SDG_3_2_2_33,SDG,NA,Human Well-Being,Healthy Living Conditions,NA,NA,Neonatal mortality rate
"number of new hiv infections per 1,000 uninfected population, by sex, age and key populations",SDG_3_3_1_34,SDG,NA,Human Assets,Coverage Of Basic Needs,Direct Drivers,(Infectious) Diseases,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
"tuberculosis incidence per 100,000 population",SDG_3_3_2_35,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,"Tuberculosis incidence per 100,000 population"
"malaria incidence per 1,000 population",SDG_3_3_3_36,SDG,NA,Human Assets,Coverage Of Basic Needs,Direct Drivers,(Infectious) Diseases,"Malaria incidence per 1,000 population"
"hepatitis b incidence per 100,000 population",SDG_3_3_4_37,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,"Hepatitis B incidence per 100,000 population"
number of people requiring interventions against neglected tropical diseases,SDG_3_3_5_38,SDG,NA,Human Well-Being,Healthy Living Conditions,Direct Drivers,(Infectious) Diseases,Number of people requiring interventions against neglected tropical diseases
"mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",SDG_3_4_1_39,SDG,NA,Human Well-Being,Healthy Living Conditions,NA,NA,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
suicide mortality rate,SDG_3_4_2_40,SDG,NA,Human Well-Being,Wellness,NA,NA,Suicide mortality rate
"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",SDG_3_5_1_41,SDG,NA,Human Well-Being,Wellness,NA,NA,"Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders"
alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,SDG_3_5_2_42,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol
death rate due to road traffic injuries,SDG_3_6_1_43,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,Death rate due to road traffic injuries
proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,SDG_3_7_1_44,SDG,NA,Human Assets,Coverage Of Basic Needs,Governance,Broken Governance,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods
"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",SDG_3_7_2_45,SDG,NA,Human Assets,Coverage Of Basic Needs,Knowledge Systems,Information On Society And Socio-Economics,"Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group"
coverage of essential health services,SDG_3_8_1_46,SDG,NA,Human Well-Being,Wellness,NA,NA,Coverage of essential health services
proportion of population with large household expenditures on health as a share of total household expenditure or income,SDG_3_8_2_47,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,Information On Society And Socio-Economics,Proportion of population with large household expenditures on health as a share of total household expenditure or income
mortality rate attributed to unintentional poisoning,SDG_3_9_3_50,SDG,NA,Human Well-Being,Healthy Living Conditions,Direct Drivers,Pollution,Mortality rate attributed to unintentional poisoning
age-standardized prevalence of current tobacco use among persons aged 15 years and older,SDG_3_a_1_51,SDG,NA,Human Assets,Coverage Of Basic Needs,Knowledge Systems,Information On Society And Socio-Economics,Age-standardized prevalence of current tobacco use among persons aged 15 years and older
proportion of the target population covered by all vaccines included in their national programme,SDG_3_b_1_52,SDG,NA,Human Assets,Coverage Of Basic Needs,Direct Drivers,(Infectious) Diseases,Proportion of the target population covered by all vaccines included in their national programme
total net official development assistance to medical research and basic health sectors,SDG_3_b_2_53,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,Total net official development assistance to medical research and basic health sectors
proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,SDG_3_b_3_54,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis
health worker density and distribution,SDG_3_c_1_55,SDG,NA,Human Well-Being,Healthy Living Conditions,Human Assets,Coverage Of Basic Needs,Health worker density and distribution
international health regulations (ihr) capacity and health emergency preparedness,SDG_3_d_1_56,SDG,NA,Human Well-Being,Healthy Living Conditions,NA,NA,International Health Regulations (IHR) capacity and health emergency preparedness
percentage of bloodstream infections due to selected antimicrobial-resistant organisms,SDG_3_d_2_57,SDG,NA,Direct Drivers,(Infectious) Diseases,NA,NA,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms
"proportion of children and young people in grades 2/3 achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",SDG_4_1_1_a_58,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,"Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"proportion of children and young people at the end of primary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",SDG_4_1_1_b_59,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,"Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",SDG_4_1_1_c_60,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,"Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
"completion rate (primary education, lower secondary education, upper secondary education)",SDG_4_1_2_61,SDG,NA,Human Assets,Coverage Of Basic Needs,Human Well-Being,Equity,"Completion rate (primary education, lower secondary education, upper secondary education)"
"proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",SDG_4_2_1_62,SDG,NA,Human Assets,Coverage Of Basic Needs,Human Well-Being,Wellness,"Proportion of children aged 24–59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"participation rate in organized learning (one year before the official primary entry age), by sex",SDG_4_2_2_63,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,"Participation rate in organized learning (one year before the official primary entry age), by sex"
"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",SDG_4_3_1_64,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex"
"proportion of youth and adults with information and communications technology (ict) skills, by type of skill",SDG_4_4_1_65,SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,Coverage Of Basic Needs,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill"
"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",SDG_4_5_1_66,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,Ilk,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated"
"proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy, by sex",SDG_4_6_1_a_67,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex"
"proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills, by sex",SDG_4_6_1_b_68,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex"
"proportion of schools offering basic services, by type of service",SDG_4_a_1_73,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,NA,"Proportion of schools offering basic services, by type of service"
"proportion of teachers with the minimum required qualifications, by education level",SDG_4_c_1_75,SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"Proportion of teachers with the minimum required qualifications, by education level"
"whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",SDG_5_1_1_76,SDG,NA,Human Well-Being,Equity,NA,NA,"Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex"
"proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",SDG_5_2_1_77,SDG,NA,Human Well-Being,Equity,Governance,Broken Governance,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age"
"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",SDG_5_2_2_78,SDG,NA,Human Well-Being,Equity,Governance,Broken Governance,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence"
proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,SDG_5_3_1_79,SDG,NA,Human Well-Being,Equity,Governance,Broken Governance,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18
"proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",SDG_5_3_2_80,SDG,NA,Human Well-Being,Equity,Governance,Broken Governance,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age"
"proportion of time spent on unpaid domestic and care work, by sex, age and location",SDG_5_4_1_81,SDG,NA,Human Assets,Income,NA,NA,"Proportion of time spent on unpaid domestic and care work, by sex, age and location"
proportion of women in managerial positions,SDG_5_5_2_84,SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,Governance,Broken Governance,Proportion of women in managerial positions
"proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",SDG_5_6_1_85,SDG,NA,Human Well-Being,Equity,Governance,Broken Governance,"Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care"
"number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",SDG_5_6_2_86,SDG,NA,Human Well-Being,Equity,NA,NA,"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education"
"proportion of individuals who own a mobile telephone, by sex",SDG_5_b_1_90,SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"Proportion of individuals who own a mobile telephone, by sex"
proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,SDG_5_c_1_91,SDG,1,Human Well-Being,Equity,NA,NA,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment
proportion of population using safely managed sanitation services,SDG_6_2_1_a_93,SDG,NA,Human Well-Being,Healthy Living Conditions,NA,NA,Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water
proportion of population using a hand-washing facility with soap and water,SDG_6_2_1_b_94,SDG,NA,Human Well-Being,Healthy Living Conditions,NA,NA,Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water
degree of integrated water resources management,SDG_6_5_1_99,SDG,1,Governance,Nature-Based Legislation,NA,NA,Degree of integrated water resources management
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SDG_6_a_1_102,SDG,1,Human Assets,Coverage Of Basic Needs,NA,NA,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan
proportion of population with access to electricity,SDG_7_1_1_104,SDG,NA,Human Assets,Coverage Of Basic Needs,NA,Information On Society And Socio-Economics,Proportion of population with access to electricity
proportion of population with primary reliance on clean fuels and technology,SDG_7_1_2_105,SDG,1,Human Assets,Coverage Of Basic Needs,NA,Information On Society And Socio-Economics,Proportion of population with primary reliance on clean fuels and technology
renewable energy share in the total final energy consumption,SDG_7_2_1_106,SDG,1,Human Assets,Infrastructure (Build-Up Area),Ecosystem Services,Nature Contribution,Renewable energy share in the total final energy consumption
energy intensity measured in terms of primary energy and gross domestic product,SDG_7_3_1_107,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,NA,Energy intensity measured in terms of primary energy and GDP
"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",SDG_7_a_1_108,SDG,1,Governance,Nature-Based Legislation,NA,NA,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems"
installed renewable energy-generating capacity in developing countries (in watts per capita),"SDG_7_b_1_109,SDG_12_a_1_187",SDG,1,Human Assets,Infrastructure (Build-Up Area),Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,"Installed renewable energy-generating capacity in developing countries (in watts per capita),Installed renewable energy-generating capacity in developing countries (in watts per capita)"
annual growth rate of real gross domestic product,SDG_8_1_1_110,SDG,1,Human Assets,Income,NA,NA,Annual growth rate of real GDP per capita
annual growth rate of real gross domestic product per employed person,SDG_8_2_1_111,SDG,1,Human Assets,Income,NA,NA,Annual growth rate of real GDP per employed person
"proportion of informal employment in total employment, by sector and sex",SDG_8_3_1_112,SDG,1,Human Assets,Coverage Of Basic Needs,NA,NA,"Proportion of informal employment in total employment, by sector and sex"
"material footprint, material footprint per capita, and material footprint per gross domestic product","SDG_8_4_1_113,SDG_12_2_1_173",SDG,1,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,"Material footprint, material footprint per capita, and material footprint per GDP,Material footprint, material footprint per capita, and material footprint per GDP"
"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product","SDG_8_4_2_114,SDG_12_2_2_174",SDG,1,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP,Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SDG_8_5_1_115,SDG,1,Human Assets,Income,NA,NA,"Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"unemployment rate, by sex, age and persons with disabilities",SDG_8_5_2_116,SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"Unemployment rate, by sex, age and persons with disabilities"
"proportion of youth (aged 15-24 years) not in education, employment or training",SDG_8_6_1_117,SDG,1,Human Assets,Coverage Of Basic Needs,NA,NA,"Proportion of youth (aged 15–24 years) not in education, employment or training"
"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",SDG_8_7_1_118,SDG,1,Human Assets,Coverage Of Basic Needs,NA,NA,"Proportion and number of children aged 5–17 years engaged in child labour, by sex and age"
"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",SDG_8_8_1_119,SDG,1,Human Assets,Coverage Of Basic Needs,NA,NA,"Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status"
"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",SDG_8_8_2_120,SDG,1,Human Well-Being,Equity,NA,NA,"Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status"
tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,SDG_8_9_1_121,SDG,1,Human Assets,State Of Economy,NA,NA,Tourism direct GDP as a proportion of total GDP and in growth rate
"number of commercial bank branches per 100,000 adults",SDG_8_10_1_a_122,SDG,NA,Human Assets,State Of Economy,NA,NA,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"number of automated teller machines (atms) per 100,000 adults",SDG_8_10_1_b_123,SDG,NA,Human Assets,State Of Economy,NA,NA,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,SDG_8_10_2_124,SDG,1,Human Assets,State Of Economy,NA,NA,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider
aid for trade commitments and disbursements,SDG_8_a_1_125,SDG,1,Governance,Nature-Based Funding,NA,NA,Aid for Trade commitments and disbursements
"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",SDG_8_b_1_126,SDG,1,Governance,Legislation/Governance,NA,NA,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy"
proportion of the rural population who live within 2 km of an all-season road,SDG_9_1_1_127,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,NA,Proportion of the rural population who live within 2 km of an all-season road
"passenger and freight volumes, by mode of transport",SDG_9_1_2_128,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,NA,"Passenger and freight volumes, by mode of transport"
manufacturing value added as a proportion of gross domestic product and per capita,SDG_9_2_1_129,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,NA,Manufacturing value added as a proportion of GDP and per capita
manufacturing employment as a proportion of total employment,SDG_9_2_2_130,SDG,1,Human Assets,Coverage Of Basic Needs,NA,NA,Manufacturing employment as a proportion of total employment
proportion of small-scale industries in total industry value added,SDG_9_3_1_131,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,NA,Proportion of small-scale industries in total industry value added
proportion of small-scale industries with a loan or line of credit,SDG_9_3_2_132,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,Income,Proportion of small-scale industries with a loan or line of credit
research and development expenditure as a proportion of gross domestic product,SDG_9_5_1_134,SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,Research and development expenditure as a proportion of GDP
researchers (in full-time equivalent) per million inhabitants,SDG_9_5_2_135,SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,Researchers (in full-time equivalent) per million inhabitants
total official international support (official development assistance plus other official flows) to infrastructure,SDG_9_a_1_136,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,Information On Society And Socio-Economics,Total official international support (official development assistance plus other official flows) to infrastructure
proportion of medium and high-tech industry value added in total value added,SDG_9_b_1_137,SDG,1,Human Assets,State Of Economy,NA,NA,Proportion of medium and high-tech industry value added in total value added
"proportion of population covered by a mobile network, by technology",SDG_9_c_1_138,SDG,1,Human Assets,Infrastructure (Build-Up Area),NA,NA,"Proportion of population covered by a mobile network, by technology"
growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,SDG_10_1_1_139,SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population
"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",SDG_10_2_1_140,SDG,1,Human Well-Being,Equity,NA,NA,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,"SDG_10_3_1_141,SDG_16_b_1_256",SDG,1,Human Well-Being,Equity,Governance,Broken Governance,"Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law"
labour share of gross domestic product,SDG_10_4_1_142,SDG,1,Human Assets,Income,NA,NA,Labour share of GDP
redistributive impact of fiscal policy,SDG_10_4_2_143,SDG,NA,Human Assets,Income,Governance,Legislation/Governance,Redistributive impact of fiscal policy
financial soundness indicators,SDG_10_5_1_144,SDG,NA,Governance,Legislation/Governance,NA,NA,Financial Soundness Indicators
proportion of members and voting rights of developing countries in international organizations,"SDG_10_6_1_145,SDG_16_8_1_251",SDG,1,Human Well-Being,Equity,NA,NA,"Proportion of members and voting rights of developing countries in international organizations,Proportion of members and voting rights of developing countries in international organizations"
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,SDG_10_7_1_146,SDG,NA,Human Assets,State Of Economy,NA,Income,Recruitment cost borne by employee as a proportion of monthly income earned in country of destination
"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",SDG_10_7_2_147,SDG,1,Human Well-Being,Equity,NA,NA,"Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people"
number of people who died or disappeared in the process of migration towards an international destination,SDG_10_7_3_148,SDG,NA,Governance,Broken Governance,NA,NA,Number of people who died or disappeared in the process of migration towards an international destination
"proportion of the population who are refugees, by country of origin",SDG_10_7_4_149,SDG,1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"Proportion of the population who are refugees, by country of origin"
proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,SDG_10_a_1_150,SDG,NA,Governance,Legislation/Governance,NA,NA,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",SDG_10_b_1_151,SDG,1,Governance,National/International Cooperation,NA,NA,"Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"
remittance costs as a proportion of the amount remitted,SDG_10_c_1_152,SDG,NA,Human Assets,Income,NA,State Of Economy,Remittance costs as a proportion of the amount remitted
"proportion of urban population living in slums, informal settlements or inadequate housing",SDG_11_1_1_153,SDG,NA,Human Assets,Coverage Of Basic Needs,Governance,Broken Governance,"Proportion of urban population living in slums, informal settlements or inadequate housing"
"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",SDG_11_2_1_154,SDG,NA,Human Assets,Infrastructure (Build-Up Area),NA,Coverage Of Basic Needs,"Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities"
ratio of land consumption rate to population growth rate,SDG_11_3_1_155,SDG,1,Ecosystem Services,Nature Contribution,Human Assets,Coverage Of Basic Needs,Ratio of land consumption rate to population growth rate
proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,SDG_11_3_2_156,SDG,NA,Human Assets,Infrastructure (Build-Up Area),Human Well-Being,Equity,Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically
"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",SDG_11_4_1_157,SDG,1,Human Assets,State Of Economy,NA,Information On Society And Socio-Economics,"Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)"
damage to critical infrastructure,SDG_11_5_3_a_160,SDG,NA,Human Assets,Infrastructure (Build-Up Area),Knowledge Systems,Information On Society And Socio-Economics,"(a) Damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters"
"number of disruptions to basic services, attributed to disasters",SDG_11_5_3_b_161,SDG,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"(a) Damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters"
"proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",SDG_11_6_1_162,SDG,NA,Human Assets,Infrastructure (Build-Up Area),NA,NA,"Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities"
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",SDG_11_7_1_164,SDG,NA,Human Assets,Infrastructure (Build-Up Area),NA,NA,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities"
"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",SDG_11_7_2_165,SDG,1,Governance,Broken Governance,NA,NA,"Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
number of countries that have national urban policies or regional development plans that respond to population dynamics,SDG_11_a_1_a_166,SDG,1,Governance,Legislation/Governance,NA,NA,Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space
number of countries that have national urban policies or regional development plans that ensure balanced territorial development,SDG_11_a_1_b_167,SDG,1,Governance,Legislation/Governance,NA,NA,Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space
number of countries that have national urban policies or regional development plans that increase local fiscal space,SDG_11_a_1_c_168,SDG,1,Governance,Legislation/Governance,NA,NA,Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space
"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",SDG_12_1_1_172,SDG,1,Governance,Nature-Based Legislation,NA,NA,"Number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production"
food loss index,SDG_12_3_1_a_175,SDG,1,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,(a) Food loss index and (b) food waste index
"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",SDG_12_4_1_177,SDG,NA,Governance,Nature-Based Legislation,NA,NA,"Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement"
hazardous waste generated per capita,SDG_12_4_2_a_178,SDG,1,Direct Drivers,Pollution,NA,NA,"(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment"
"proportion of hazardous waste treated, by type of treatment",SDG_12_4_2_b_179,SDG,1,Direct Drivers,Pollution,NA,NA,"(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment"
"national recycling rate, tons of material recycled",SDG_12_5_1_180,SDG,1,Governance,Nature-Based Legislation,NA,NA,"National recycling rate, tons of material recycled"
number of countries implementing sustainable public procurement policies and action plans,SDG_12_7_1_182,SDG,NA,Governance,Nature-Based Legislation,NA,NA,Number of countries implementing sustainable public procurement policies and action plans3
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG_12_b_1_188,SDG,1,Governance,Legislation/Governance,NA,NA,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",SDG_13_2_1_193,SDG,1,Governance,Nature-Based Legislation,NA,NA,"Number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the United Nations Framework Convention on Climate Change"
total greenhouse gas emissions per year,SDG_13_2_2_194,SDG,1,Direct Drivers,Climate Change,NA,NA,Total greenhouse gas emissions per year
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG_13_a_1_199,SDG,1,Human Assets,State Of Economy,NA,NA,Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025
