indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,ipbes_assess
abundance of sulfate reducing microorganisms,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
carbon sequestration,NA,1,GA,1,1,0,1,1,1,NA,1,Ecosystem Services,NA,Nature Contribution,NA,GA
concentration of greenhouse gases in the atmosphere,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Climate Change,NA,GA
prevented emissions and uptake of greenhouse gases by ecosystems,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Climate Change,NA,GA
number of deaths caused by extreme climatic events,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA,GA
food security and climate change,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Direct Drivers,Coverage Of Basic Needs,Climate Change,GA
number of undernourished people,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs,GA
crop production breaks caused by climate change,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Climate Change,NA,GA
"economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand",NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,Climate Change,GA
extent of marine vegetation,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Marine),NA,GA
extent of marine calcification,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Direct Drivers,State Of Ecosystems,Pollution,GA
net primary production seaweed aquaculture,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
extent of coral reefs,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
land use change that causes a change in et,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Change In Ecosystems,NA,GA
change in terrestrial biomass,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,GA
change in extent of wetlands and inland water bodies,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Change In Ecosystems,NA,GA
"biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration)",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
water availability,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,Ecosystem Services,Coverage Of Basic Needs,Nature Contribution,GA
water available for people relative to demand,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions,GA
extent of irrigated area,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
water shortage,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions,GA
desertification,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,Change In Ecosystems,GA
how much kw hrs that are dependent on water ag (irrigated area),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
suspended organic carbon,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
existence of non-crop or urban in a place dominated by either,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GA
capacity of ecosystem to filter (or add) constituent components (extent of vegetation),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Ecosystem Services,State Of Ecosystems (Coverage),Nature Contribution,GA
concentration of constituents (pollutants) in the water,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,GA
reduced incidence of water borne disease,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,(Infectious) Diseases,NA,GA
avoided water treatment costs,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,NA,NA,NA,GA
rain-use efficiency adjusted ndvi,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
crop yield,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Ecosystem Services,Coverage Of Basic Needs,Specific Monetary Valuation Of Nature Contribution,GA
soil depth,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
food security,NA,1,"GA,GEO",1,2,0,2,1,1,NA,1,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs,GA
soil biodiversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
soil quality,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
soil degradation impact on crop productivity,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA,GA
coral reefs distribution and extent,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,State Of Ecosystems (Marine),GA
mangrove distribution and abundance,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GA
saltmarsh distribution and abundance,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
coastal forest distribution and extent,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,State Of Ecosystems (Coverage),GA
globally available combined bathy/topo,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
globally available data for waves and wind,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Knowledge Systems,Abiotic Conditions,NA,GA
globally available continental shelf,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Marine),NA,GA
thousands of deaths each year,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Knowledge Systems,Healthy Living Conditions,Coverage Of Basic Needs,GA
billions of dollars each year,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,GA
fraction of people die due to flood,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,Human Well-Being,Natural Drivers,Healthy Living Conditions,GA
fraction of people infected with disease of flood,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,(Infectious) Diseases,GA
post-traumatic stress disorder score,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Wellness,NA,GA
cumulative exposure indicators,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,Ecosystem Services,Pollution,Nature Contribution,GA
psychological health indicators,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Wellness,Healthy Living Conditions,GA
direct tangible damage loss,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA,GA
landscape inundated by the flood,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
"absolute damage to roads and transportation, power plant,etc",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
lowered incidence and impact of hazards,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
lowered flood peaks,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA,GA
lowered fuel load (fires),NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA,GA
coastal protection,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Area Conservation,NA,GA
landslides stabilization,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
incidence of hazards,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,GA
reduced morbidity and premature mortality,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
reduced property loss,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,GA
near- or on-farm habitat diversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
landscape complexity,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
abundance of alternative hosts species,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
avoided costs of pesticide use,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Governance,Healthy Living Conditions,Nature-Based Funding,GA
avoided costs of health treatment of vbd,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Governance,Healthy Living Conditions,Nature-Based Funding,GA
reduced pesticide use,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,GA
reduced prevalence of vbd,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,(Infectious) Diseases,NA,GA
diversity of biological controllers of pests,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
diversity of competent hosts of vector-borne and zoonotic diseases,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,(Infectious) Diseases,NA,GA
abundance of wild and managed biological controllers of pests,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
abundance of competent hosts of vector-born and zoonotic diseases,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
avoided pest damage to crop and livestock,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Governance,Healthy Living Conditions,Nature-Based Funding,GA
reduced incidence rate of vector-borne and zoonotic diseases,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,(Infectious) Diseases,NA,GA
"tonnage of biomass (sugar cane, corn, palm oil)",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
land area in biomass production,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GA
tonnage of fuelwood,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
biomass estimates in forests,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,GA
numbers of livestock and use rate,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
"tonnage of biomass (sugar cane, corn, palm oil), other energy crops",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
yield (production) in tonnage,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
biofuel yield in joules or liters,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
"biofuel yield in joules or liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
biofuel yield in joules or liters from industrial effluents and/or municipal solid waste,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
biofuel yield joules or liters from algal/microalgae biomass,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
population directly reliant on biomass,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
kwh x price,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,GA
tons of oil equivalent x price,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Income,NA,GA
land suitability and extent of bioenergy crop and livestock producing and harvesting areas,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Ecosystem Services,State Of Ecosystems,Nature Contribution,GA
diversity and abundance of species for bioenergy use,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
energy content of bioenergy crops,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
tonnage of animal waste used for energy,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
increased energy security,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
revenue from bioenergy production,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,Ecosystem Services,State Of Economy,Nature Contribution,GA
yield per hectare converted to caloric or nutrient yield,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
agrodiversity and landraces known to date for major crops,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Biodiversity,Nature Contribution,State Of Biodiversity,GA
remote sensing of croplands,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
types of agroecosystems,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
landed catch,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
aquaculture production,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
quantity of fish produced for animal/aquaculture feed,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
mean length of catch,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Biodiversity,Nature Contribution,State Of Biodiversity,GA
large fish indicator,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
trophic level of the landed catch,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
mean length of fish in the community,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Biodiversity,Nature Contribution,State Of Biodiversity,GA
proportion of predatory fish,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
trophic level of the community,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
proportion of non-declining species in the surveyed community,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
change in mean fish size,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,GA
trends in fisheries certified by the msc,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,GA
status of assessed fish stocks,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
indicator of unsustainable fisheries (iuu),NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
ebfm performance index,NA,1,GA,1,1,0,1,1,1,1,NA,Governance,Ecosystem Services,Nature-Based Legislation,Specific Mention Of Sustainable Use Of Species/Ecosystems,GA
fisheries management effectiveness index,NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
fisheries management index,NA,1,GA,1,1,0,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
value of production,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,GA
value of catch,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Ecosystem Services,State Of Economy,Nature Contribution,GA
"nutritional output (calories, nutrients)",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
farm size distribution,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
nutrition derived from fish,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
fisheries revenues,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
gross value added (gva),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,GA
potential catch loss,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
production of fish meal and fish oil use in aquaculture/animal feeds,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
number of jobs,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,GA
arable land remaining,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
kcal capita,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions,GA
dietary diversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions,GA
hunger,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions,GA
malnutrition,NA,1,"GA,GEO",1,2,0,2,1,1,NA,1,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions,GA
timber harvest (m3/ha/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
grass/fodder (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
bamboos and rattans market value,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
market value,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,GA
gums (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
resins (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
latexes (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
oil (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
waxes (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
tannins (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
dyes (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
cork (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
bark (kg),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
cotton (t/ha),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
flax (t/ha/year)),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
jute yields (t/ha/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
sisal yields (t/ha/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
hemp yields (t/ha/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
silk cocoons (t/hear),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
coral solid units (number/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
pearls sold units (number/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
shell sold units (number/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
ornamental plants sold units (number/year or kg/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
pet fish sold units (number and species diversity/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
pet bird sold units (number and species diversity/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
pet reptile sold units (number and species diversity/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
pet amphibian sold units (number and species diversity/year),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
"other living organism for assistance number, stock density (number of horse/household)",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
health benefits provide by companion animals,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Ecosystem Services,Healthy Living Conditions,Nature Contribution,GA
"supply of fiber crops, resins, gum arabic",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
trade of silk,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Ecosystem Services,Income,Nature Contribution,GA
"production of industrial roundwood, paper pulps",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
export and import of commodity data,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,NA,NA,GA
export and import data,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,NA,NA,GA
number of traded live animals/plants listed in cites databases,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
land suitability and extent of cotton producing area,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Ecosystem Services,State Of Ecosystems,Nature Contribution,GA
volume of round wood production,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
tonnage of cotton production,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
number of people employed in forest industry,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,GA
"number of people employed in garment industry (include fibre, cotton industry)",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,GA
map of medicinal plants overlaying plant richness at the global level,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
percentage of new drugs discovered over the last 30 years based on natural medicinal products,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
"biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)",NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
medicinal plants known to date and accessible for health care as a proxy for all natural medicinal products (national medicines policies),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
genetic resources and especially agrodiversity known to date and its linkage to food security,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
more than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from national medicines policies and more than 70% of drugs to treat cancers derive directly from national medicines policies,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Ecosystem Services,Healthy Living Conditions,Nature Contribution,GA
percentage of world population relying almost entirely on national medicines policies,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Ecosystem Services,Healthy Living Conditions,Nature Contribution,GA
percentage of modern drugs based on national medicines policies or bio-inspired molecules used for diseases at the global level,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
"percentages of wild plant collection harvested, traded",NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,GA
new drugs production and sales,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,GA
maps showing areas where humans mostly rely national medicines policies for health,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
biodiversity intactness index (for plants and vertebrates),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GA
ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,GA
"elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles",NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GA
"care, mental health, cultural security, life-satisfaction",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Human Well-Being,Healthy Living Conditions,Wellness,GA
diversity and economic value of bioinspired production,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
areas including all uoa where people mainly rely on nature for their well being,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Ecosystem Services,Recreation,Nature Contribution,GA
recognition of ilpcs lifestyles in close interaction with nature and their access to their lands and resources,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Ilk,NA,GA
human mobility to access different natural habitats for outdoor recreation,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Recreation,NA,GA
indirect access to natural products from natural habitats,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
creation of new rural urban network,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
visitation rates of parks,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Human Well-Being,Nature Contribution,NA,GA
people in proximity to parks or natural areas,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,Recreation,GA
indigenous lands,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,Ecosystems,Ilk,State Of Ecosystems,GA
green space in cities,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
