indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,meas
alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
death rate due to road traffic injuries,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Coverage Of Basic Needs,Broken Governance,SDG
"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Knowledge Systems,Coverage Of Basic Needs,Information On Society And Socio-Economics,SDG
coverage of essential health services,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Wellness,NA,SDG
proportion of population with large household expenditures on health as a share of total household expenditure or income,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,Information On Society And Socio-Economics,SDG
mortality rate attributed to unintentional poisoning,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution,SDG
age-standardized prevalence of current tobacco use among persons aged 15 years and older,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Knowledge Systems,Coverage Of Basic Needs,Information On Society And Socio-Economics,SDG
proportion of the target population covered by all vaccines included in their national programme,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Direct Drivers,Coverage Of Basic Needs,(Infectious) Diseases,SDG
total net official development assistance to medical research and basic health sectors,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
health worker density and distribution,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs,SDG
international health regulations (ihr) capacity and health emergency preparedness,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA,SDG
percentage of bloodstream infections due to selected antimicrobial-resistant organisms,1,0,SDG,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,(Infectious) Diseases,NA,SDG
"proportion of children and young people in grades 2/3 achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"proportion of children and young people at the end of primary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"completion rate (primary education, lower secondary education, upper secondary education)",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Equity,SDG
"proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Wellness,SDG
"participation rate in organized learning (one year before the official primary entry age), by sex",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"proportion of youth and adults with information and communications technology (ict) skills, by type of skill",1,0,SDG,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,Coverage Of Basic Needs,SDG
"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,Ilk,SDG
"proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy, by sex",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills, by sex",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"proportion of schools offering basic services, by type of service",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"proportion of teachers with the minimum required qualifications, by education level",1,0,SDG,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
"whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA,SDG
"proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,Governance,Equity,Broken Governance,SDG
"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,Governance,Equity,Broken Governance,SDG
proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,Governance,Equity,Broken Governance,SDG
"proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,Governance,Equity,Broken Governance,SDG
"proportion of time spent on unpaid domestic and care work, by sex, age and location",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Income,NA,SDG
proportion of women in managerial positions,1,0,SDG,NA,1,1,0,0,1,NA,NA,Knowledge Systems,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
"proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,Governance,Equity,Broken Governance,SDG
"number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA,SDG
"proportion of individuals who own a mobile telephone, by sex",1,0,SDG,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA,SDG
proportion of population using safely managed sanitation services,1,1,"GEO,SDG",NA,2,1,1,0,1,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,SDG
proportion of population using a hand-washing facility with soap and water,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA,SDG
degree of integrated water resources management,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
proportion of population with access to electricity,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,Information On Society And Socio-Economics,SDG
proportion of population with primary reliance on clean fuels and technology,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,Information On Society And Socio-Economics,SDG
renewable energy share in the total final energy consumption,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,Ecosystem Services,Infrastructure (Build-Up Area),Nature Contribution,SDG
energy intensity measured in terms of primary energy and gross domestic product,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,SDG
"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
installed renewable energy-generating capacity in developing countries (in watts per capita),1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,Ecosystem Services,Infrastructure (Build-Up Area),Specific Mention Of Sustainable Use Of Species/Ecosystems,SDG
annual growth rate of real gross domestic product,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Income,NA,SDG
annual growth rate of real gross domestic product per employed person,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Income,NA,SDG
"proportion of informal employment in total employment, by sector and sex",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"material footprint, material footprint per capita, and material footprint per gross domestic product",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,SDG
"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,SDG
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Income,NA,SDG
"unemployment rate, by sex, age and persons with disabilities",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
"proportion of youth (aged 15-24 years) not in education, employment or training",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA,SDG
tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,SDG
"number of commercial bank branches per 100,000 adults",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,State Of Economy,NA,SDG
"number of automated teller machines (atms) per 100,000 adults",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,State Of Economy,NA,SDG
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,SDG
aid for trade commitments and disbursements,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA,SDG
"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
proportion of the rural population who live within 2 km of an all-season road,1,1,"GA,SUA,SDG",1,3,1,2,2,1,1,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,SDG
"passenger and freight volumes, by mode of transport",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,SDG
manufacturing value added as a proportion of gross domestic product and per capita,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,SDG
manufacturing employment as a proportion of total employment,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,SDG
proportion of small-scale industries in total industry value added,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,SDG
proportion of small-scale industries with a loan or line of credit,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),Income,SDG
research and development expenditure as a proportion of gross domestic product,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
researchers (in full-time equivalent) per million inhabitants,1,0,SDG,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
total official international support (official development assistance plus other official flows) to infrastructure,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),Information On Society And Socio-Economics,SDG
proportion of medium and high-tech industry value added in total value added,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,SDG
"proportion of population covered by a mobile network, by technology",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,SDG
growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA,SDG
proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Well-Being,Governance,Equity,Broken Governance,SDG
labour share of gross domestic product,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Income,NA,SDG
redistributive impact of fiscal policy,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Income,Legislation/Governance,SDG
financial soundness indicators,1,0,SDG,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
proportion of members and voting rights of developing countries in international organizations,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA,SDG
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,State Of Economy,Income,SDG
"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA,SDG
number of people who died or disappeared in the process of migration towards an international destination,1,0,SDG,NA,1,1,0,0,1,NA,NA,Governance,NA,Broken Governance,NA,SDG
"proportion of the population who are refugees, by country of origin",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,1,0,SDG,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,SDG
remittance costs as a proportion of the amount remitted,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Income,State Of Economy,SDG
"proportion of urban population living in slums, informal settlements or inadequate housing",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Coverage Of Basic Needs,Broken Governance,SDG
"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),Coverage Of Basic Needs,SDG
ratio of land consumption rate to population growth rate,1,1,"SUA,GEO,SDG",1,3,1,2,1,1,1,NA,Ecosystem Services,Human Assets,Nature Contribution,Coverage Of Basic Needs,SDG
proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Human Well-Being,Infrastructure (Build-Up Area),Equity,SDG
"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,State Of Economy,Information On Society And Socio-Economics,SDG
damage to critical infrastructure,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Knowledge Systems,Infrastructure (Build-Up Area),Information On Society And Socio-Economics,SDG
"number of disruptions to basic services, attributed to disasters",1,0,SDG,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
"proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,SDG
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,SDG
"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Broken Governance,NA,SDG
number of countries that have national urban policies or regional development plans that respond to population dynamics,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
number of countries that have national urban policies or regional development plans that ensure balanced territorial development,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
number of countries that have national urban policies or regional development plans that increase local fiscal space,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
food loss index,1,1,"SUA,SDG",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,SDG
"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",1,0,SDG,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
hazardous waste generated per capita,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,SDG
"proportion of hazardous waste treated, by type of treatment",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,SDG
"national recycling rate, tons of material recycled",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
number of countries implementing sustainable public procurement policies and action plans,1,0,SDG,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
total greenhouse gas emissions per year,1,1,"GA,SUA,SDG",1,3,1,2,2,1,1,NA,Direct Drivers,NA,Climate Change,NA,SDG
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,SDG
number of countries using ecosystem-based approaches to managing marine areas,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
average marine acidity (ph) measured at agreed suite of representative sampling stations,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Ecosystems,Direct Drivers,State Of Ecosystems (Marine),Climate Change,SDG
coverage of protected areas in relation to marine areas,1,1,"SUA,GEO,SDG",1,3,1,2,1,1,1,NA,Ecosystems,NA,Area Conservation,NA,SDG
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Ecosystem Services,Governance,Specific Monetary Valuation Of Nature Contribution,Nature-Based Legislation,SDG
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,Ecosystem Services,Nature-Based Legislation,Specific Mention Of Sustainable Use Of Species/Ecosystems,SDG
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Ecosystems,NA,Area Conservation,NA,SDG
coverage by protected areas of important sites for mountain biodiversity,1,1,"GA,SUA,SDG",1,3,1,2,2,1,1,NA,Ecosystems,NA,Area Conservation,NA,SDG
proportion of traded wildlife that was poached or illicitly trafficked,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,SDG
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,1,1,"SUA,IAS,GEO,SDG",1,4,1,3,2,1,1,NA,Governance,NA,Nature-Based Legislation,NA,SDG
number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
official development assistance on conservation and sustainable use of biodiversity,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
revenue generated and finance mobilized from biodiversity-relevant economic instruments,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SDG
"number of victims of intentional homicide per 100,000 population, by sex and age",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
"conflict-related deaths per 100,000 population, by sex, age and cause",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
proportion of population subjected to physical violence in the previous 12 months,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
proportion of population subjected to psychological violence in the previous 12 months,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
proportion of population subjected to sexual violence in the previous 12 months,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
proportion of population that feel safe walking alone around the area they live after dark,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,Knowledge Systems,Equity,Information On Society And Socio-Economics,SDG
proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,Governance,Wellness,Broken Governance,SDG
unsentenced detainees as a proportion of overall prison population,1,0,SDG,NA,1,1,0,0,1,NA,NA,Governance,Knowledge Systems,Broken Governance,Information On Society And Socio-Economics,SDG
"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",1,0,SDG,NA,1,1,0,0,1,NA,NA,Knowledge Systems,Governance,Information On Society And Socio-Economics,Legislation/Governance,SDG
total value of inward and outward illicit financial flows (in current united states dollars),1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,State Of Economy,Broken Governance,SDG
"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",1,0,SDG,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA,SDG
"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Human Well-Being,Information On Society And Socio-Economics,Wellness,SDG
"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,State Of Economy,Legislation/Governance,SDG
proportion of population satisfied with their last experience of public services,1,0,SDG,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SDG
"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Knowledge Systems,Information On Society And Socio-Economics,Information On Society And Socio-Economics,SDG
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,Governance,Information On Society And Socio-Economics,Broken Governance,SDG
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA,SDG
existence of independent national human rights institutions in compliance with the paris principles,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA,SDG
"total government revenue as a proportion of gross domestic product, by source",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,SDG
proportion of domestic budget funded by domestic taxes,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,SDG
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,SDG
additional financial resources mobilized for developing countries from multiple sources,1,0,SDG,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,SDG
volume of remittances (in united states dollars) as a proportion of total gross domestic product,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,SDG
