indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd
"the comprehensiveness of national legislative provisions for wildlife conservation, management and use, including international trade in protected species of wildlife",NA,NA,NA,NA,1,NA,NA
the category in which cites implementation legislation has been placed under the cites national legislation project,NA,NA,NA,NA,1,NA,NA
the extent to which national provisions for international cooperation in criminal matters are applied to wildlife crime,NA,NA,NA,NA,1,NA,NA
the existence of provisions against corruption in national legislation that can be used in the investigation and prosecution of wildlife crime,NA,NA,NA,NA,1,NA,NA
the existence of national legislation for organized crime that can be used in the investigation and prosecution of wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent to which a combination of relevant national legislation and criminal law is used to prosecute wildlife crime in support of legislation enacted to combat wildlife crime,NA,NA,NA,NA,1,NA,NA
the capacity of national law enforcement agencies to prepare wildlife crime case files and give evidence in court,NA,NA,NA,NA,1,NA,NA
the percentage of wildlife crime cases that were prosecuted in court,NA,NA,NA,NA,1,NA,NA
the percentage of wildlife crime cases that were resolved with administrative penalties,NA,NA,NA,NA,1,NA,NA
the capacity of prosecutors to manage wildlife crime cases,NA,NA,NA,NA,1,NA,NA
the existence of national guidelines for the prosecution of wildlife crime,NA,NA,NA,NA,1,NA,NA
the percentage of wildlife crime cases that were brought to trial which resulted in convictions,NA,NA,NA,NA,1,NA,NA
the extent to which national legislation penalizes wildlife crime offences in a manner that reflects the nature and severity of the crime,NA,NA,NA,NA,1,NA,NA
the existence of national guidelines for the sentencing of offenders convicted with wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent of awareness of wildlife crime among the judiciary and the appropriateness of the verdicts handed down,NA,NA,NA,NA,1,NA,NA
the existence of provisions for asset forfeiture and recovery in national legislation that can be applied to wildlife crime,NA,NA,NA,NA,1,NA,NA
the use of asset forfeiture and recovery legislation in wildlife crime cases,NA,NA,NA,NA,1,NA,NA
the extent to which the drivers of wildlife crime in the country are known and understood,NA,NA,NA,NA,1,NA,NA
the extent to which activities to address the demand of illicit wildlife products are implemented,NA,NA,NA,NA,1,NA,NA
the extent of awareness-raising materials and/or programmes in place to increase the awareness of the regulated community of the laws that apply to the sustainable use of wildlife,NA,NA,NA,NA,1,NA,NA
the extent to which local communities are engaged in law enforcement activities to combat wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent to which livelihoods and social capacity building are considered in activities to combat wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent of awareness-raising materials and/or programmes in place to increase public awareness of wildlife crime,NA,NA,NA,NA,1,NA,NA
the overall conservation status of wetlands,NA,NA,NA,NA,NA,1,NA
status and trends in wetland ecosystem extent,NA,NA,NA,NA,NA,1,NA
trends in conservation status - qualitative assessment,NA,NA,NA,NA,NA,1,NA
the status of the ecological character of ramsar sites,NA,NA,NA,NA,NA,1,NA
trends in the status of ramsar site ecological character - qualitative assessment,NA,NA,NA,NA,NA,1,NA
trends in water quality,NA,NA,NA,NA,NA,1,NA
trends in dissolved nitrate (or nitrogen) concentration,NA,NA,NA,NA,NA,1,NA
trends in biological oxygen demand (bod),NA,NA,NA,NA,NA,1,NA
the frequency of threats affecting ramsar sites,NA,NA,NA,NA,NA,1,NA
the frequency of threats affecting ramsar sites - qualitative assessment,NA,NA,NA,NA,NA,1,NA
wetland sites with successfully implemented conservation or wise use management plans,NA,NA,NA,NA,NA,1,NA
overall population trends of wetland taxa,NA,NA,NA,NA,NA,1,NA
trends in the status of waterbird biogeographic populations,NA,NA,NA,NA,NA,1,NA
changes in threat status of wetland taxa,NA,NA,NA,NA,NA,1,NA
trends in the status of globally-threatened wetland-dependent birds,NA,NA,NA,NA,NA,1,NA
trends in the status of globally-threatened wetland-dependent amphibians,NA,NA,NA,NA,NA,1,NA
the proportion of candidate ramsar sites designated so far for wetland types/features,NA,NA,NA,NA,NA,1,NA
coverage of the wetland resource by designated ramsar sites,NA,NA,NA,NA,NA,1,NA
trends in land cover,NA,NA,NA,NA,NA,NA,1
trends in land productivity,NA,NA,NA,NA,NA,NA,1
